* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -38.0 dBFS, measurement signal peak level -21.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -42.2 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 7:37:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.0187 ms (-6.4 mm, -0.25 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT L with no timing offset
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 32.344, 150.1955
1.015000, 33.123, 151.3248
1.030000, 33.855, 152.3838
1.044000, 34.489, 153.3139
1.060000, 35.142, 154.3124
1.075000, 35.677, 155.1889
1.090000, 36.130, 156.0096
1.106000, 36.530, 156.8248
1.120000, 36.834, 157.4906
1.138000, 37.181, 158.2943
1.150000, 37.389, 158.8049
1.172000, 37.725, 159.5926
1.180000, 37.834, 159.7555
1.206000, 38.140, 160.2790
1.220000, 38.279, 160.5578
1.241000, 38.456, 160.9801
1.250000, 38.522, 161.1644
1.265000, 38.619, 161.4780
1.280000, 38.703, 161.8011
1.315000, 38.855, 162.6001
1.320000, 38.873, 162.7199
1.340000, 38.938, 163.2146
1.360000, 38.995, 163.7397
1.380000, 39.048, 164.1247
1.400000, 39.103, 164.4719
1.430000, 39.196, 165.0401
1.450000, 39.270, 165.4463
1.475000, 39.377, 165.9620
1.500000, 39.481, 166.4352
1.525000, 39.572, 166.8539
1.550000, 39.650, 167.2331
1.575000, 39.716, 167.4969
1.600000, 39.769, 167.5857
1.625000, 39.812, 167.6792
1.650000, 39.844, 167.7882
1.675000, 39.867, 167.9226
1.700000, 39.880, 168.0912
1.725000, 39.885, 168.3018
1.750000, 39.883, 168.5622
1.775000, 39.874, 168.8163
1.800000, 39.858, 169.0091
1.825000, 39.837, 169.2619
1.850000, 39.809, 169.5341
1.875000, 39.773, 169.7773
1.900000, 39.728, 169.9827
1.925000, 39.676, 170.1607
