* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -36.5 dBFS, measurement signal peak level -21.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -42.2 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 7:38:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.0183 ms (-6.3 mm, -0.25 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT R with no timing offset
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.115, 30.9848
1.015000, 42.372, 31.0299
1.030000, 42.631, 31.3383
1.044000, 42.873, 31.8283
1.060000, 43.149, 32.5911
1.075000, 43.405, 33.4536
1.090000, 43.658, 34.2709
1.106000, 43.927, 34.3760
1.120000, 44.172, 33.8401
1.138000, 44.503, 33.1879
1.150000, 44.734, 32.8845
1.172000, 45.177, 32.4687
1.180000, 45.343, 32.2702
1.206000, 45.901, 31.8286
1.220000, 46.210, 31.6882
1.241000, 46.684, 31.5694
1.250000, 46.889, 31.5444
1.265000, 47.235, 31.5282
1.280000, 47.582, 31.5355
1.315000, 48.395, 31.6008
1.320000, 48.511, 31.6122
1.340000, 48.971, 31.6555
1.360000, 49.424, 31.6935
1.380000, 49.867, 31.5476
1.400000, 50.297, 31.3146
1.430000, 50.913, 30.9129
1.450000, 51.300, 30.6094
1.475000, 51.757, 30.2281
1.500000, 52.193, 29.9414
1.525000, 52.613, 29.7790
1.550000, 53.019, 29.7211
1.575000, 53.413, 29.6521
1.600000, 53.795, 29.4774
1.625000, 54.167, 29.3456
1.650000, 54.529, 29.2407
1.675000, 54.884, 29.1494
1.700000, 55.232, 29.0607
1.725000, 55.574, 28.9651
1.750000, 55.911, 28.8553
1.775000, 56.246, 28.6624
1.800000, 56.578, 28.3221
1.825000, 56.908, 27.9618
1.850000, 57.236, 27.6033
1.875000, 57.558, 27.2814
1.900000, 57.874, 27.0047
1.925000, 58.184, 26.7688
1.950000, 58.488, 26.5691
1.975000, 58.787, 26.3388
2.000000, 59.081, 26.0140
2.030000, 59.428, 25.6516
2.060000, 59.769, 25.3032
2.090000, 60.104, 24.9604
2.120000, 60.433, 24.6152
2.140000, 60.651, 24.3804
2.180000, 61.080, 23.8308
2.200000, 61.292, 23.4907
