* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.0 dBFS, measurement signal peak level -34.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:25:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.1274 ms (-44 mm, -1.72 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -13.5 ppm
* Measurement: Balanced L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.846, 16.6262
1.015000, 48.846, 16.0923
1.030000, 48.852, 15.4448
1.044000, 48.864, 14.7290
1.060000, 48.884, 13.7683
1.075000, 48.911, 12.7185
1.090000, 48.945, 11.5164
1.106000, 48.987, 10.0788
1.120000, 49.027, 8.7297
1.138000, 49.080, 6.9010
1.150000, 49.117, 5.6234
1.172000, 49.187, 3.1527
1.180000, 49.215, 2.2113
1.206000, 49.310, -1.0136
1.220000, 49.366, -2.8570
1.241000, 49.459, -5.7631
1.250000, 49.502, -7.0597
1.265000, 49.579, -9.2864
1.280000, 49.662, -11.5916
1.315000, 49.886, -17.2379
1.320000, 49.922, -18.0704
1.340000, 50.074, -21.4489
1.360000, 50.245, -24.8829
1.380000, 50.433, -28.3403
1.400000, 50.642, -31.7875
1.430000, 50.996, -36.8709
1.450000, 51.262, -40.1879
1.475000, 51.634, -44.4506
1.500000, 52.056, -48.8122
1.525000, 52.529, -52.9247
1.550000, 53.046, -56.7271
1.575000, 53.599, -60.2345
1.600000, 54.183, -63.4776
1.625000, 54.790, -66.4917
1.650000, 55.413, -69.3133
1.675000, 56.045, -71.9762
1.700000, 56.679, -74.5109
1.725000, 57.310, -76.9442
1.750000, 57.928, -79.2984
1.775000, 58.529, -81.5924
1.800000, 59.105, -83.8401
1.825000, 59.652, -86.0431
1.850000, 60.178, -88.1642
1.875000, 60.695, -90.1537
1.900000, 61.206, -92.0075
1.925000, 61.711, -93.7424
1.950000, 62.211, -95.3774
1.975000, 62.704, -96.9300
2.000000, 63.190, -98.4164
2.030000, 63.765, -100.1326
2.060000, 64.328, -101.7954
2.090000, 64.879, -103.4233
2.120000, 65.417, -105.0321
2.140000, 65.769, -106.1003
2.180000, 66.452, -108.2382
2.200000, 66.784, -109.3047
2.240000, 67.428, -111.3881
2.270000, 67.893, -112.8860
2.300000, 68.345, -114.3307
2.330000, 68.784, -115.7293
2.360000, 69.211, -117.0892
2.400000, 69.764, -118.8557
2.430000, 70.167, -120.1549
2.470000, 70.690, -121.8660
2.500000, 71.074, -123.1416
2.540000, 71.575, -124.8424
2.580000, 72.064, -126.5440
2.620000, 72.536, -128.2270
2.650000, 72.879, -129.4684
2.690000, 73.322, -131.0932
2.720000, 73.645, -132.2897
2.760000, 74.063, -133.8577
2.800000, 74.469, -135.3986
2.850000, 74.960, -137.2944
2.900000, 75.437, -139.1677
2.950000, 75.900, -141.0296
3.000000, 76.345, -142.8815
3.040000, 76.688, -144.3491
3.070000, 76.937, -145.4385
3.110000, 77.261, -146.8733
3.150000, 77.576, -148.2865
3.200000, 77.957, -150.0219
3.250000, 78.327, -151.7247
3.300000, 78.686, -153.4016
3.350000, 79.033, -155.0665
3.400000, 79.366, -156.7229
3.450000, 79.687, -158.3629
3.500000, 79.996, -159.9784
3.550000, 80.295, -161.5639
3.600000, 80.584, -163.1158
3.650000, 80.866, -164.6351
3.700000, 81.140, -166.1321
3.750000, 81.403, -167.6186
3.820000, 81.755, -169.6778
3.870000, 81.997, -171.1246
3.950000, 82.369, -173.3833
4.000000, 82.593, -174.7554
4.060000, 82.855, -176.3675
4.120000, 83.106, -177.9583
4.180000, 83.347, -179.5298
4.250000, 83.618, 178.6689
4.310000, 83.842, 177.1597
4.370000, 84.060, 175.6862
4.440000, 84.306, 174.0066
4.500000, 84.510, 172.5894
4.550000, 84.674, 171.4229
4.620000, 84.897, 169.8151
4.680000, 85.083, 168.4637
4.750000, 85.294, 166.9205
4.820000, 85.499, 165.4078
4.870000, 85.641, 164.3412
4.940000, 85.834, 162.8667
5.000000, 85.995, 161.6215
5.080000, 86.205, 159.9899
5.150000, 86.383, 158.5880
5.220000, 86.556, 157.2047
5.300000, 86.748, 155.6434
5.380000, 86.933, 154.1051
5.450000, 87.091, 152.7795
5.520000, 87.245, 151.4713
5.600000, 87.416, 149.9919
5.700000, 87.622, 148.1653
5.800000, 87.819, 146.3699
5.900000, 88.009, 144.6066
6.000000, 88.191, 142.8654
6.080000, 88.331, 141.4896
6.150000, 88.450, 140.3022
6.220000, 88.566, 139.1317
6.300000, 88.694, 137.8106
6.400000, 88.847, 136.1794
6.500000, 88.994, 134.5775
6.600000, 89.135, 133.0117
6.700000, 89.269, 131.4768
6.800000, 89.398, 129.9697
6.900000, 89.521, 128.4982
7.000000, 89.640, 127.0661
7.100000, 89.754, 125.6676
7.200000, 89.863, 124.3033
7.300000, 89.970, 122.9794
7.400000, 90.073, 121.6968
7.500000, 90.172, 120.4514
7.620000, 90.290, 119.0063
7.750000, 90.416, 117.5059
7.880000, 90.540, 116.0697
8.000000, 90.655, 114.7916
8.120000, 90.773, 113.5561
8.250000, 90.903, 112.2634
8.380000, 91.038, 110.9970
8.500000, 91.166, 109.8398
8.620000, 91.299, 108.6924
8.750000, 91.446, 107.4365
8.850000, 91.561, 106.4492
9.000000, 91.737, 104.9348
9.120000, 91.876, 103.6814
9.250000, 92.024, 102.2672
9.380000, 92.167, 100.7996
9.500000, 92.290, 99.4042
9.620000, 92.404, 97.9660
9.750000, 92.514, 96.3690
9.880000, 92.600, 94.7612
10.000000, 92.653, 93.2737
10.150000, 92.687, 91.4266
10.300000, 92.690, 89.6516
10.440000, 92.667, 88.0719
10.600000, 92.618, 86.3982
10.750000, 92.559, 84.9989
10.900000, 92.493, 83.7654
11.060000, 92.421, 82.6522
11.200000, 92.363, 81.8477
11.380000, 92.306, 80.9924
11.500000, 92.284, 80.5176
11.720000, 92.280, 79.7414
11.800000, 92.292, 79.4595
12.060000, 92.373, 78.4627
12.200000, 92.434, 77.8137
12.410000, 92.536, 76.6758
12.500000, 92.577, 76.1269
12.650000, 92.640, 75.1379
12.800000, 92.691, 74.0916
13.150000, 92.754, 71.5875
13.200000, 92.758, 71.2421
13.400000, 92.763, 69.9238
13.600000, 92.763, 68.7311
13.800000, 92.768, 67.6728
14.000000, 92.787, 66.7016
14.300000, 92.853, 65.2813
14.500000, 92.918, 64.2508
14.750000, 93.005, 62.7924
15.000000, 93.078, 61.1410
15.250000, 93.119, 59.3786
15.500000, 93.115, 57.6583
15.750000, 93.068, 56.1369
16.000000, 92.995, 54.9563
16.250000, 92.925, 54.1661
16.500000, 92.887, 53.7195
16.750000, 92.901, 53.4756
17.000000, 92.970, 53.2466
17.250000, 93.080, 52.8864
17.500000, 93.206, 52.3193
17.750000, 93.326, 51.5658
18.000000, 93.426, 50.7019
18.250000, 93.505, 49.8199
18.500000, 93.567, 48.9915
18.750000, 93.625, 48.2385
