* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -37.0 dBFS, measurement signal peak level -32.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:37:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.1144 ms (-39 mm, -1.54 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 30.8 ppm
* Measurement: Custom EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 54.119, 29.1350
1.015000, 54.236, 28.5464
1.030000, 54.354, 27.8773
1.044000, 54.465, 27.1762
1.060000, 54.591, 26.2796
1.075000, 54.710, 25.3419
1.090000, 54.828, 24.3076
1.106000, 54.954, 23.1085
1.120000, 55.062, 22.0041
1.138000, 55.200, 20.5318
1.150000, 55.291, 19.5217
1.172000, 55.456, 17.6160
1.180000, 55.516, 16.9067
1.206000, 55.710, 14.5453
1.220000, 55.816, 13.2393
1.241000, 55.975, 11.2361
1.250000, 56.045, 10.3613
1.265000, 56.161, 8.8813
1.280000, 56.280, 7.3730
1.315000, 56.568, 3.7368
1.320000, 56.610, 3.2032
1.340000, 56.784, 1.0307
1.360000, 56.964, -1.2061
1.380000, 57.153, -3.5124
1.400000, 57.351, -5.8931
1.430000, 57.665, -9.6146
1.450000, 57.889, -12.2002
1.475000, 58.186, -15.5294
1.500000, 58.501, -18.8873
1.525000, 58.835, -22.2113
1.550000, 59.184, -25.4724
1.575000, 59.548, -28.6550
1.600000, 59.923, -31.7523
1.625000, 60.309, -34.7641
1.650000, 60.702, -37.6948
1.675000, 61.102, -40.5526
1.700000, 61.506, -43.3477
1.725000, 61.911, -46.0911
1.750000, 62.317, -48.7944
1.775000, 62.722, -51.4687
1.800000, 63.122, -54.1238
1.825000, 63.518, -56.7625
1.850000, 63.914, -59.3613
1.875000, 64.313, -61.8794
1.900000, 64.719, -64.2999
1.925000, 65.128, -66.6213
1.950000, 65.541, -68.8478
1.975000, 65.955, -70.9864
2.000000, 66.369, -73.0454
2.030000, 66.864, -75.4244
2.060000, 67.356, -77.7189
2.090000, 67.841, -79.9455
2.120000, 68.317, -82.1201
2.140000, 68.628, -83.5483
2.180000, 69.234, -86.3689
2.200000, 69.528, -87.7632
2.240000, 70.103, -90.4948
2.270000, 70.525, -92.4751
2.300000, 70.939, -94.3927
2.330000, 71.345, -96.2494
2.360000, 71.745, -98.0489
2.400000, 72.266, -100.3684
2.430000, 72.648, -102.0559
2.470000, 73.146, -104.2490
2.500000, 73.511, -105.8599
2.540000, 73.987, -107.9752
2.580000, 74.450, -110.0634
2.620000, 74.898, -112.1213
2.650000, 75.224, -113.6383
2.690000, 75.648, -115.6195
2.720000, 75.958, -117.0721
2.760000, 76.360, -118.9636
2.800000, 76.751, -120.8048
2.850000, 77.225, -123.0408
2.900000, 77.685, -125.2141
2.950000, 78.131, -127.3423
3.000000, 78.560, -129.4439
3.040000, 78.891, -131.1028
3.070000, 79.132, -132.3295
3.110000, 79.446, -133.9372
3.150000, 79.750, -135.5094
3.200000, 80.120, -137.4214
3.250000, 80.479, -139.2729
3.300000, 80.828, -141.0705
3.350000, 81.165, -142.8350
3.400000, 81.490, -144.5771
3.450000, 81.802, -146.2899
3.500000, 82.103, -147.9645
3.550000, 82.396, -149.5935
3.600000, 82.681, -151.1715
3.650000, 82.959, -152.6972
3.700000, 83.230, -154.1804
3.750000, 83.492, -155.6352
3.820000, 83.845, -157.6267
3.870000, 84.088, -159.0125
3.950000, 84.466, -161.1562
4.000000, 84.697, -162.4460
4.060000, 84.969, -163.9444
4.120000, 85.233, -165.3989
4.180000, 85.490, -166.8166
4.250000, 85.783, -168.4285
4.310000, 86.029, -169.7762
4.370000, 86.272, -171.0937
4.440000, 86.552, -172.5914
4.500000, 86.788, -173.8416
4.550000, 86.982, -174.8637
4.620000, 87.249, -176.2733
4.680000, 87.475, -177.4688
4.750000, 87.736, -178.8554
4.820000, 87.993, 179.7691
4.870000, 88.176, 178.7967
4.940000, 88.428, 177.4462
5.000000, 88.640, 176.2933
5.080000, 88.918, 174.7528
5.150000, 89.157, 173.3955
5.220000, 89.391, 172.0312
5.300000, 89.653, 170.4690
5.380000, 89.908, 168.9064
