* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -37.6 dBFS, measurement signal peak level -32.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:39:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay 0.0217 ms (7.5 mm, 0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 44.1 ppm
* Measurement: Custom EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 51.668, 26.2387
1.015000, 51.788, 26.0066
1.030000, 51.912, 25.6455
1.044000, 52.029, 25.1864
1.060000, 52.165, 24.5109
1.075000, 52.294, 23.7258
1.090000, 52.424, 22.7930
1.106000, 52.565, 21.6608
1.120000, 52.690, 20.6067
1.138000, 52.855, 19.2061
1.150000, 52.967, 18.2492
1.172000, 53.179, 16.4490
1.180000, 53.258, 15.7799
1.206000, 53.521, 13.5505
1.220000, 53.667, 12.3141
1.241000, 53.891, 10.4092
1.250000, 53.990, 9.5731
1.265000, 54.157, 8.1518
1.280000, 54.329, 6.6934
1.315000, 54.744, 3.1313
1.320000, 54.805, 2.6028
1.340000, 55.055, 0.4349
1.360000, 55.312, -1.8236
1.380000, 55.577, -4.1792
1.400000, 55.850, -6.6375
1.430000, 56.275, -10.5271
1.450000, 56.569, -13.2549
1.475000, 56.952, -16.7687
1.500000, 57.356, -20.2581
1.525000, 57.781, -23.6351
1.550000, 58.226, -26.8770
1.575000, 58.686, -29.9815
1.600000, 59.160, -32.9560
1.625000, 59.644, -35.8136
1.650000, 60.135, -38.5709
1.675000, 60.631, -41.2459
1.700000, 61.129, -43.8563
1.725000, 61.626, -46.4191
1.750000, 62.119, -48.9498
1.775000, 62.605, -51.4619
1.800000, 63.082, -53.9660
1.825000, 63.547, -56.4622
1.850000, 64.006, -58.9139
1.875000, 64.464, -61.2665
1.900000, 64.923, -63.5038
1.925000, 65.381, -65.6315
1.950000, 65.839, -67.6602
1.975000, 66.295, -69.6024
2.000000, 66.748, -71.4708
2.030000, 67.286, -73.6330
2.060000, 67.818, -75.7276
2.090000, 68.340, -77.7737
2.120000, 68.852, -79.7885
2.140000, 69.186, -81.1221
2.180000, 69.838, -83.7810
2.200000, 70.154, -85.1054
2.240000, 70.770, -87.7037
2.270000, 71.219, -89.5836
2.300000, 71.659, -91.4017
2.330000, 72.088, -93.1621
2.360000, 72.508, -94.8708
2.400000, 73.054, -97.0808
2.430000, 73.454, -98.6968
2.470000, 73.974, -100.8110
