* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -36.0 dBFS, measurement signal peak level -35.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:55:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.4786 ms (-164 mm, -6.46 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 6.2 ppm
* Measurement: Default L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.537, 19.1415
1.015000, 57.653, 18.0678
1.030000, 57.770, 16.9484
1.044000, 57.881, 15.8589
1.060000, 58.010, 14.5572
1.075000, 58.133, 13.2782
1.090000, 58.260, 11.9392
1.106000, 58.397, 10.4484
1.120000, 58.517, 9.1030
1.138000, 58.670, 7.3314
1.150000, 58.773, 6.1285
1.172000, 58.959, 3.8857
1.180000, 59.027, 3.0599
1.206000, 59.247, 0.3455
1.220000, 59.367, -1.1324
1.241000, 59.547, -3.3662
1.250000, 59.625, -4.3291
1.265000, 59.755, -5.9404
1.280000, 59.887, -7.5595
1.315000, 60.201, -11.3668
1.320000, 60.246, -11.9142
1.340000, 60.431, -14.1134
1.360000, 60.621, -16.3295
1.380000, 60.815, -18.5649
1.400000, 61.015, -20.8226
1.430000, 61.325, -24.2581
1.450000, 61.541, -26.5852
1.475000, 61.820, -29.5287
1.500000, 62.111, -32.4750
1.525000, 62.414, -35.3905
1.550000, 62.727, -38.2570
1.575000, 63.048, -41.0637
1.600000, 63.377, -43.8051
1.625000, 63.712, -46.4799
1.650000, 64.051, -49.0902
1.675000, 64.394, -51.6406
1.700000, 64.739, -54.1377
1.725000, 65.085, -56.5890
1.750000, 65.430, -59.0028
1.775000, 65.773, -61.3875
1.800000, 66.113, -63.7516
1.825000, 66.449, -66.1001
1.850000, 66.784, -68.4252
1.875000, 67.121, -70.7068
1.900000, 67.460, -72.9323
1.925000, 67.801, -75.0967
1.950000, 68.144, -77.1987
1.975000, 68.487, -79.2389
2.000000, 68.829, -81.2201
2.030000, 69.238, -83.5249
2.060000, 69.644, -85.7586
2.090000, 70.045, -87.9304
2.120000, 70.440, -90.0504
2.140000, 70.699, -91.4401
2.180000, 71.206, -94.1753
2.200000, 71.453, -95.5247
2.240000, 71.939, -98.1814
2.270000, 72.296, -100.1274
2.300000, 72.649, -102.0278
2.330000, 72.996, -103.8806
2.360000, 73.338, -105.6858
2.400000, 73.785, -108.0211
2.430000, 74.114, -109.7223
2.470000, 74.544, -111.9303
2.500000, 74.859, -113.5466
2.540000, 75.272, -115.6578
2.580000, 75.673, -117.7303
2.620000, 76.064, -119.7717
2.650000, 76.350, -121.2796
2.690000, 76.722, -123.2536
2.720000, 76.994, -124.7039
2.760000, 77.349, -126.5950
2.800000, 77.696, -128.4366
2.850000, 78.118, -130.6707
2.900000, 78.529, -132.8345
2.950000, 78.928, -134.9417
3.000000, 79.314, -137.0117
3.040000, 79.613, -138.6417
3.070000, 79.832, -139.8463
3.110000, 80.118, -141.4254
3.150000, 80.397, -142.9714
3.200000, 80.737, -144.8548
3.250000, 81.068, -146.6825
3.300000, 81.393, -148.4585
3.350000, 81.708, -150.1959
3.400000, 82.014, -151.9034
3.450000, 82.310, -153.5793
3.500000, 82.599, -155.2209
3.550000, 82.881, -156.8259
3.600000, 83.156, -158.3929
3.650000, 83.427, -159.9224
3.700000, 83.693, -161.4186
3.750000, 83.952, -162.8875
3.820000, 84.305, -164.9025
3.870000, 84.550, -166.3133
3.950000, 84.932, -168.5240
4.000000, 85.166, -169.8786
4.060000, 85.442, -171.4790
4.120000, 85.712, -173.0543
4.180000, 85.976, -174.6065
4.250000, 86.276, -176.3911
4.310000, 86.528, -177.9019
4.370000, 86.774, -179.3990
4.440000, 87.054, 178.8667
4.500000, 87.289, 177.3894
4.550000, 87.481, 176.1662
4.620000, 87.743, 174.4676
4.680000, 87.961, 173.0248
4.750000, 88.207, 171.3539
4.820000, 88.446, 169.6868
4.870000, 88.612, 168.4954
4.940000, 88.837, 166.8330
5.000000, 89.023, 165.4207
5.080000, 89.262, 163.5643
5.150000, 89.462, 161.9620
5.220000, 89.652, 160.3647
5.300000, 89.859, 158.5464
5.380000, 90.056, 156.7569
5.450000, 90.219, 155.2297
5.520000, 90.375, 153.7397
5.600000, 90.542, 152.0626
5.700000, 90.738, 150.0051
5.800000, 90.921, 148.0228
5.900000, 91.095, 146.1379
6.000000, 91.257, 144.3305
6.080000, 91.380, 142.9333
6.150000, 91.485, 141.7505
6.220000, 91.590, 140.6097
6.300000, 91.709, 139.3593
6.400000, 91.855, 137.8644
6.500000, 92.001, 136.4215
6.600000, 92.152, 135.0151
6.700000, 92.308, 133.6520
6.800000, 92.468, 132.3215
6.900000, 92.632, 130.9861
7.000000, 92.800, 129.6233
7.100000, 92.973, 128.2426
7.200000, 93.148, 126.8364
7.300000, 93.322, 125.3802
7.400000, 93.492, 123.8601
7.500000, 93.659, 122.2852
7.620000, 93.851, 120.3398
7.750000, 94.041, 118.1581
7.880000, 94.212, 115.8920
8.000000, 94.350, 113.7792
8.120000, 94.464, 111.6738
8.250000, 94.562, 109.3853
8.380000, 94.634, 107.1592
8.500000, 94.678, 105.2066
8.620000, 94.700, 103.3394
8.750000, 94.708, 101.4600
8.850000, 94.705, 100.1505
9.000000, 94.689, 98.3978
9.120000, 94.677, 97.1752
9.250000, 94.674, 96.0502
9.380000, 94.682, 95.1138
9.500000, 94.710, 94.3582
9.620000, 94.764, 93.6852
9.750000, 94.847, 93.0221
9.880000, 94.950, 92.3330
10.000000, 95.059, 91.6327
10.150000, 95.210, 90.6503
10.300000, 95.369, 89.4682
10.440000, 95.519, 88.1700
10.600000, 95.683, 86.4832
10.750000, 95.820, 84.7051
10.900000, 95.935, 82.7843
11.060000, 96.022, 80.6569
11.200000, 96.066, 78.7500
11.380000, 96.076, 76.3561
11.500000, 96.055, 74.8313
11.720000, 95.970, 72.2708
11.800000, 95.928, 71.4478
12.060000, 95.765, 69.2022
12.200000, 95.677, 68.2973
12.410000, 95.559, 67.3129
12.500000, 95.520, 67.0066
12.650000, 95.475, 66.6293
12.800000, 95.456, 66.3499
13.150000, 95.524, 65.7529
13.200000, 95.544, 65.6429
13.400000, 95.642, 65.0917
13.600000, 95.756, 64.3341
13.800000, 95.867, 63.3626
14.000000, 95.960, 62.2258
14.300000, 96.050, 60.3346
14.500000, 96.073, 59.0560
14.750000, 96.064, 57.5492
15.000000, 96.026, 56.2246
15.250000, 95.977, 55.1315
15.500000, 95.931, 54.2617
15.750000, 95.898, 53.5715
16.000000, 95.887, 52.9865
16.250000, 95.899, 52.4230
16.500000, 95.930, 51.8124
16.750000, 95.973, 51.1046
17.000000, 96.021, 50.2810
17.250000, 96.065, 49.3489
17.500000, 96.098, 48.3347
17.750000, 96.116, 47.2790
18.000000, 96.118, 46.2243
18.250000, 96.107, 45.2103
18.500000, 96.087, 44.2663
18.750000, 96.064, 43.4056
19.000000, 96.044, 42.6270
19.250000, 96.033, 41.9129
19.500000, 96.031, 41.2377
19.750000, 96.038, 40.5753
20.000000, 96.052, 39.9047
20.299999, 96.073, 39.0771
20.600000, 96.093, 38.2313
20.900000, 96.110, 37.3897
21.200001, 96.123, 36.5789
21.400000, 96.130, 36.0640
21.799999, 96.147, 35.0955
22.000000, 96.158, 34.6337
22.400000, 96.185, 33.7244
22.700001, 96.206, 33.0362
23.000000, 96.226, 32.3388
23.299999, 96.240, 31.6411
23.600000, 96.248, 30.9576
24.000000, 96.253, 30.0875
24.299999, 96.254, 29.4691
24.700001, 96.253, 28.6819
25.000000, 96.250, 28.1131
25.400000, 96.243, 27.3833
25.799999, 96.232, 26.6955
26.200001, 96.220, 26.0575
26.500000, 96.213, 25.6091
26.900000, 96.209, 25.0409
27.200001, 96.210, 24.6285
27.600000, 96.219, 24.0834
28.000000, 96.236, 23.5177
28.500000, 96.266, 22.7192
29.000000, 96.286, 21.7782
29.500000, 96.271, 20.7917
30.000000, 96.218, 19.9971
30.400000, 96.169, 19.6201
30.700001, 96.146, 19.4692
31.100000, 96.147, 19.3186
31.500000, 96.175, 19.0625
32.000000, 96.209, 18.4860
32.500000, 96.200, 17.7952
33.000000, 96.156, 17.2906
33.500000, 96.120, 17.0634
34.000000, 96.126, 16.9089
34.500000, 96.158, 16.5872
35.000000, 96.180, 16.0765
35.500000, 96.177, 15.5256
36.000000, 96.164, 15.0475
36.500000, 96.153, 14.6287
37.000000, 96.147, 14.2134
37.500000, 96.138, 13.7972
38.200001, 96.124, 13.2708
38.700001, 96.122, 12.9231
39.500000, 96.131, 12.2791
40.000000, 96.130, 11.7860
40.599998, 96.108, 11.1735
41.200001, 96.066, 10.6764
41.799999, 96.026, 10.3621
42.500000, 96.010, 10.0748
43.099998, 96.013, 9.7339
43.700001, 96.007, 9.3413
44.400002, 95.998, 8.9573
45.000000, 96.005, 8.6332
45.500000, 96.013, 8.2862
46.200001, 95.999, 7.7739
46.799999, 95.975, 7.5020
47.500000, 95.977, 7.3372
48.200001, 96.010, 6.9770
48.700001, 96.015, 6.5497
49.400002, 95.975, 5.9982
50.000000, 95.924, 5.7754
50.799999, 95.883, 5.6853
51.500000, 95.863, 5.6320
52.200001, 95.858, 5.6725
53.000000, 95.908, 5.5635
53.799999, 95.947, 4.8900
54.500000, 95.903, 4.2063
55.200001, 95.828, 3.8800
56.000000, 95.776, 3.7439
57.000000, 95.735, 3.4996
58.000000, 95.722, 3.3027
59.000000, 95.752, 2.6503
60.000000, 95.682, 1.6142
60.799999, 95.558, 1.3754
61.500000, 95.491, 1.7081
62.200001, 95.492, 2.1838
63.000000, 95.560, 2.5398
64.000000, 95.672, 2.2437
65.000000, 95.684, 1.5591
66.000000, 95.676, 1.0983
67.000000, 95.662, 0.3054
68.000000, 95.612, -0.3995
69.000000, 95.584, -1.2640
70.000000, 95.480, -1.7977
71.000000, 95.472, -1.5565
72.000000, 95.493, -1.8159
73.000000, 95.413, -1.3965
74.000000, 95.448, -0.5922
75.000000, 95.413, -0.7146
76.199997, 95.227, 0.0197
77.500000, 95.199, 0.3840
