* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -37.1 dBFS, measurement signal peak level -35.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:46:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.3001 ms (-103 mm, -4.05 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -17.7 ppm
* Measurement: Default R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.026, -21.8173
1.015000, 57.199, -23.2029
1.030000, 57.374, -24.5916
1.044000, 57.538, -25.8922
1.060000, 57.728, -27.3860
1.075000, 57.907, -28.7956
1.090000, 58.089, -30.2154
1.106000, 58.285, -31.7387
1.120000, 58.458, -33.0717
1.138000, 58.681, -34.7781
1.150000, 58.831, -35.9091
1.172000, 59.107, -37.9656
1.180000, 59.208, -38.7074
1.206000, 59.536, -41.0930
1.220000, 59.714, -42.3605
1.241000, 59.981, -44.2378
1.250000, 60.096, -45.0332
1.265000, 60.287, -46.3465
1.280000, 60.479, -47.6441
1.315000, 60.926, -50.6101
1.320000, 60.990, -51.0268
1.340000, 61.246, -52.6761
1.360000, 61.501, -54.2980
1.380000, 61.756, -55.8931
1.400000, 62.010, -57.4624
1.430000, 62.390, -59.7699
1.450000, 62.642, -61.2782
1.475000, 62.956, -63.1251
1.500000, 63.269, -64.9145
1.525000, 63.583, -66.6427
1.550000, 63.897, -68.3147
1.575000, 64.211, -69.9362
1.600000, 64.524, -71.5127
1.625000, 64.837, -73.0494
1.650000, 65.149, -74.5510
1.675000, 65.460, -76.0220
1.700000, 65.770, -77.4664
1.725000, 66.078, -78.8877
1.750000, 66.384, -80.2891
1.775000, 66.688, -81.6736
1.800000, 66.989, -83.0431
1.825000, 67.289, -84.3967
1.850000, 67.586, -85.7225
1.875000, 67.881, -87.0057
1.900000, 68.175, -88.2455
1.925000, 68.467, -89.4473
1.950000, 68.757, -90.6170
1.975000, 69.046, -91.7602
2.000000, 69.333, -92.8817
2.030000, 69.675, -94.2052
2.060000, 70.015, -95.5110
2.090000, 70.352, -96.8051
2.120000, 70.686, -98.0926
2.140000, 70.908, -98.9495
2.180000, 71.348, -100.6622
2.200000, 71.566, -101.5139
2.240000, 71.998, -103.1754
2.270000, 72.320, -104.3739
2.300000, 72.639, -105.5375
2.330000, 72.956, -106.6745
2.360000, 73.270, -107.7927
2.400000, 73.684, -109.2667
2.430000, 73.992, -110.3677
2.470000, 74.398, -111.8402
2.500000, 74.700, -112.9541
2.540000, 75.097, -114.4578
2.580000, 75.490, -115.9724
2.620000, 75.878, -117.4617
2.650000, 76.166, -118.5543
2.690000, 76.546, -119.9849
2.720000, 76.827, -121.0444
2.760000, 77.198, -122.4482
2.800000, 77.564, -123.8517
2.850000, 78.014, -125.6206
2.900000, 78.456, -127.4206
2.950000, 78.888, -129.2509
3.000000, 79.312, -131.0769
3.040000, 79.646, -132.5227
3.070000, 79.892, -133.5990
3.110000, 80.216, -135.0260
3.150000, 80.534, -136.4481
3.200000, 80.924, -138.2268
3.250000, 81.305, -140.0166
3.300000, 81.677, -141.8262
3.350000, 82.039, -143.6514
3.400000, 82.393, -145.4786
3.450000, 82.737, -147.2984
3.500000, 83.073, -149.1067
3.550000, 83.400, -150.9027
3.600000, 83.718, -152.6890
3.650000, 84.027, -154.4717
3.700000, 84.327, -156.2617
3.750000, 84.618, -158.0630
3.820000, 85.010, -160.5849
3.870000, 85.279, -162.3714
3.950000, 85.694, -165.1846
4.000000, 85.942, -166.9115
4.060000, 86.230, -168.9669
