* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -32.9 dBFS, measurement signal peak level -32.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:34:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -1.1639 ms (-399 mm, -(1 ft 3.72 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 16.7 ppm
* Measurement: Instrument L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.629, 22.5473
1.015000, 55.756, 21.6927
1.030000, 55.884, 20.7694
1.044000, 56.005, 19.8422
1.060000, 56.145, 18.7009
1.075000, 56.277, 17.5477
1.090000, 56.412, 16.3121
1.106000, 56.556, 14.9132
1.120000, 56.683, 13.6444
1.138000, 56.846, 11.9740
1.150000, 56.955, 10.8405
1.172000, 57.155, 8.7274
1.180000, 57.228, 7.9490
1.206000, 57.467, 5.3872
1.220000, 57.597, 3.9891
1.241000, 57.795, 1.8692
1.250000, 57.880, 0.9525
1.265000, 58.024, -0.5865
1.280000, 58.169, -2.1398
1.315000, 58.517, -5.8244
1.320000, 58.568, -6.3583
1.340000, 58.775, -8.5146
1.360000, 58.986, -10.7069
1.380000, 59.203, -12.9391
1.400000, 59.427, -15.2151
1.430000, 59.775, -18.7196
1.450000, 60.016, -21.1194
1.475000, 60.329, -24.1728
1.500000, 60.657, -27.2205
1.525000, 60.998, -30.2146
1.550000, 61.353, -33.1365
1.575000, 61.717, -35.9781
1.600000, 62.091, -38.7379
1.625000, 62.472, -41.4187
1.650000, 62.859, -44.0266
1.675000, 63.249, -46.5701
1.700000, 63.641, -49.0589
1.725000, 64.033, -51.5032
1.750000, 64.424, -53.9136
1.775000, 64.812, -56.3000
1.800000, 65.195, -58.6715
1.825000, 65.572, -61.0316
1.850000, 65.947, -63.3635
1.875000, 66.323, -65.6360
1.900000, 66.701, -67.8353
1.925000, 67.080, -69.9592
1.950000, 67.460, -72.0098
1.975000, 67.840, -73.9911
2.000000, 68.219, -75.9090
2.030000, 68.671, -78.1360
2.060000, 69.119, -80.2931
2.090000, 69.560, -82.3929
2.120000, 69.994, -84.4478
2.140000, 70.278, -85.7988
2.180000, 70.834, -88.4687
2.200000, 71.105, -89.7899
2.240000, 71.635, -92.3880
2.270000, 72.024, -94.2830
2.300000, 72.406, -96.1274
2.330000, 72.782, -97.9210
2.360000, 73.152, -99.6657
2.400000, 73.634, -101.9214
2.430000, 73.988, -103.5659
2.470000, 74.450, -105.7047
2.500000, 74.789, -107.2755
2.540000, 75.232, -109.3358
2.580000, 75.663, -111.3673
2.620000, 76.081, -113.3711
2.650000, 76.387, -114.8509
2.690000, 76.783, -116.7870
2.720000, 77.074, -118.2090
2.760000, 77.451, -120.0632
2.800000, 77.819, -121.8699
2.850000, 78.266, -124.0650
2.900000, 78.700, -126.1972
2.950000, 79.122, -128.2822
3.000000, 79.528, -130.3385
3.040000, 79.842, -131.9612
3.070000, 80.072, -133.1613
3.110000, 80.370, -134.7351
3.150000, 80.661, -136.2755
3.200000, 81.015, -138.1510
3.250000, 81.359, -139.9696
3.300000, 81.693, -141.7367
3.350000, 82.018, -143.4703
3.400000, 82.331, -145.1802
3.450000, 82.633, -146.8611
3.500000, 82.925, -148.5061
3.550000, 83.210, -150.1095
3.600000, 83.487, -151.6672
3.650000, 83.758, -153.1786
3.700000, 84.023, -154.6523
3.750000, 84.279, -156.0998
