* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -33.6 dBFS, measurement signal peak level -33.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:31:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.1876 ms (-64 mm, -2.53 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -13.7 ppm
* Measurement: Instrument R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 50.953, -20.6155
1.015000, 51.500, -22.3220
1.030000, 52.030, -23.9946
1.044000, 52.508, -25.5330
1.060000, 53.028, -27.2722
1.075000, 53.488, -28.8906
1.090000, 53.918, -30.4999
1.106000, 54.348, -32.1926
1.120000, 54.710, -33.6255
1.138000, 55.163, -35.3845
1.150000, 55.459, -36.5073
1.172000, 55.989, -38.4720
1.180000, 56.178, -39.1591
1.206000, 56.778, -41.3038
1.220000, 57.093, -42.4093
1.241000, 57.557, -44.0124
1.250000, 57.752, -44.6817
1.265000, 58.072, -45.7765
1.280000, 58.388, -46.8486
1.315000, 59.106, -49.2794
1.320000, 59.206, -49.6201
1.340000, 59.604, -50.9705
1.360000, 59.996, -52.3049
1.380000, 60.381, -53.6281
1.400000, 60.762, -54.9444
1.430000, 61.325, -56.9138
1.450000, 61.696, -58.2265
1.475000, 62.154, -59.8554
1.500000, 62.600, -61.4335
1.525000, 63.033, -62.9477
1.550000, 63.455, -64.4044
1.575000, 63.865, -65.8125
1.600000, 64.264, -67.1805
1.625000, 64.654, -68.5164
1.650000, 65.035, -69.8275
1.675000, 65.409, -71.1206
1.700000, 65.776, -72.4019
1.725000, 66.136, -73.6768
1.750000, 66.492, -74.9506
1.775000, 66.844, -76.2276
1.800000, 67.192, -77.5116
1.825000, 67.538, -78.8029
1.850000, 67.880, -80.0900
1.875000, 68.215, -81.3556
1.900000, 68.544, -82.5948
1.925000, 68.866, -83.8090
1.950000, 69.182, -85.0008
1.975000, 69.493, -86.1728
2.000000, 69.798, -87.3278
2.030000, 70.158, -88.6954
2.060000, 70.512, -90.0475
2.090000, 70.860, -91.3887
2.120000, 71.203, -92.7235
2.140000, 71.429, -93.6120
2.180000, 71.875, -95.3895
2.200000, 72.096, -96.2778
2.240000, 72.530, -98.0377
2.270000, 72.848, -99.3344
2.300000, 73.160, -100.6104
2.330000, 73.467, -101.8672
2.360000, 73.768, -103.1066
2.400000, 74.162, -104.7358
2.430000, 74.453, -105.9431
2.470000, 74.833, -107.5378
2.500000, 75.115, -108.7257
2.540000, 75.485, -110.3027
2.580000, 75.849, -111.8713
2.620000, 76.206, -113.4216
2.650000, 76.469, -114.5686
2.690000, 76.813, -116.0771
2.720000, 77.066, -117.1937
2.760000, 77.398, -118.6646
2.800000, 77.724, -120.1177
2.850000, 78.124, -121.9136
2.900000, 78.517, -123.6924
2.950000, 78.903, -125.4559
3.000000, 79.280, -127.1961
3.040000, 79.576, -128.5685
3.070000, 79.794, -129.5864
3.110000, 80.081, -130.9297
3.150000, 80.363, -132.2586
3.200000, 80.710, -133.9025
3.250000, 81.050, -135.5309
3.300000, 81.386, -137.1466
3.350000, 81.715, -138.7464
3.400000, 82.038, -140.3259
3.450000, 82.355, -141.8855
3.500000, 82.665, -143.4272
3.550000, 82.970, -144.9540
3.600000, 83.270, -146.4692
3.650000, 83.566, -147.9758
3.700000, 83.856, -149.4737
3.750000, 84.142, -150.9595
3.820000, 84.533, -153.0168
3.870000, 84.806, -154.4707
3.950000, 85.233, -156.7747
4.000000, 85.494, -158.2047
4.060000, 85.802, -159.9145
4.120000, 86.102, -161.6171
4.180000, 86.396, -163.3086
4.250000, 86.731, -165.2638
4.310000, 87.010, -166.9232
4.370000, 87.282, -168.5694
4.440000, 87.592, -170.4814
4.500000, 87.850, -172.1177
4.550000, 88.059, -173.4756
4.620000, 88.345, -175.3595
4.680000, 88.583, -176.9530
4.750000, 88.851, -178.7862
4.820000, 89.110, 179.3958
4.870000, 89.290, 178.1000
4.940000, 89.533, 176.2979
5.000000, 89.734, 174.7751
5.080000, 89.992, 172.7898
5.150000, 90.209, 171.0944
5.220000, 90.417, 169.4192
5.300000, 90.643, 167.5279
5.380000, 90.859, 165.6817
5.450000, 91.041, 164.1195
5.520000, 91.216, 162.6091
5.600000, 91.407, 160.9272
5.700000, 91.633, 158.8869
5.800000, 91.849, 156.9410
5.900000, 92.059, 155.1089
6.000000, 92.260, 153.3741
6.080000, 92.416, 152.0464
6.150000, 92.551, 150.9291
6.220000, 92.688, 149.8558
6.300000, 92.844, 148.6859
6.400000, 93.040, 147.2986
6.500000, 93.237, 145.9668
6.600000, 93.441, 144.6701
6.700000, 93.651, 143.4164
6.800000, 93.867, 142.1953
6.900000, 94.087, 140.9666
