* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -29.6 dBFS, measurement signal peak level -29.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:42:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.1903 ms (-65 mm, -2.57 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 10.7 ppm
* Measurement: No EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.052, 12.5552
1.015000, 55.167, 10.9040
1.030000, 55.286, 9.2260
1.044000, 55.401, 7.6326
1.060000, 55.539, 5.7754
1.075000, 55.676, 3.9958
1.090000, 55.819, 2.1760
1.106000, 55.980, 0.1929
1.120000, 56.124, -1.5674
1.138000, 56.314, -3.8516
1.150000, 56.444, -5.3827
1.172000, 56.686, -8.1975
1.180000, 56.775, -9.2214
1.206000, 57.072, -12.5411
1.220000, 57.234, -14.3194
1.241000, 57.483, -16.9687
1.250000, 57.591, -18.0963
1.265000, 57.772, -19.9637
1.280000, 57.956, -21.8151
1.315000, 58.393, -26.0681
1.320000, 58.456, -26.6677
1.340000, 58.711, -29.0464
1.360000, 58.969, -31.3932
1.380000, 59.230, -33.7091
1.400000, 59.493, -35.9953
1.430000, 59.893, -39.3724
1.450000, 60.161, -41.5905
1.475000, 60.502, -44.3170
1.500000, 60.851, -46.9615
1.525000, 61.209, -49.5078
1.550000, 61.576, -51.9561
1.575000, 61.949, -54.3107
1.600000, 62.328, -56.5780
1.625000, 62.710, -58.7651
1.650000, 63.095, -60.8800
1.675000, 63.481, -62.9305
1.700000, 63.866, -64.9247
1.725000, 64.249, -66.8700
1.750000, 64.628, -68.7737
1.775000, 65.002, -70.6423
1.800000, 65.369, -72.4815
1.825000, 65.729, -74.2935
1.850000, 66.083, -76.0675
1.875000, 66.435, -77.7866
1.900000, 66.784, -79.4468
1.925000, 67.131, -81.0512
1.950000, 67.476, -82.6040
1.975000, 67.818, -84.1100
2.000000, 68.157, -85.5737
2.030000, 68.561, -87.2811
2.060000, 68.959, -88.9423
2.090000, 69.352, -90.5645
2.120000, 69.739, -92.1549
2.140000, 69.993, -93.2006
2.180000, 70.494, -95.2634
2.200000, 70.740, -96.2800
2.240000, 71.223, -98.2662
2.270000, 71.578, -99.7066
2.300000, 71.928, -101.1064
2.330000, 72.272, -102.4695
2.360000, 72.610, -103.7997
2.400000, 73.053, -105.5294
2.430000, 73.380, -106.7987
2.470000, 73.808, -108.4613
2.500000, 74.124, -109.6906
2.540000, 74.538, -111.3115
2.580000, 74.945, -112.9112
2.620000, 75.343, -114.4771
2.650000, 75.635, -115.6257
2.690000, 76.018, -117.1247
2.720000, 76.299, -118.2268
2.760000, 76.668, -119.6704
2.800000, 77.029, -121.0887
2.850000, 77.471, -122.8335
2.900000, 77.904, -124.5550
2.950000, 78.328, -126.2562
3.000000, 78.741, -127.9276
3.040000, 79.064, -129.2398
3.070000, 79.301, -130.2100
3.110000, 79.613, -131.4863
3.150000, 79.918, -132.7448
3.200000, 80.292, -134.2969
3.250000, 80.659, -135.8300
3.300000, 81.018, -137.3481
3.350000, 81.369, -138.8497
3.400000, 81.711, -140.3309
3.450000, 82.045, -141.7908
3.500000, 82.372, -143.2303
3.550000, 82.691, -144.6512
3.600000, 83.004, -146.0559
3.650000, 83.310, -147.4472
3.700000, 83.610, -148.8270
3.750000, 83.904, -150.1947
3.820000, 84.303, -152.0860
3.870000, 84.580, -153.4189
3.950000, 85.012, -155.5208
4.000000, 85.274, -156.8171
4.060000, 85.583, -158.3591
4.120000, 85.882, -159.8896
4.180000, 86.174, -161.4065
4.250000, 86.504, -163.1543
4.310000, 86.779, -164.6313
4.370000, 87.048, -166.0890
4.440000, 87.352, -167.7715
4.500000, 87.605, -169.2038
4.550000, 87.811, -170.3886
4.620000, 88.090, -172.0287
4.680000, 88.323, -173.4132
4.750000, 88.587, -175.0025
4.820000, 88.843, -176.5716
4.870000, 89.021, -177.6849
4.940000, 89.262, -179.2293
5.000000, 89.462, 179.4656
5.080000, 89.721, 177.7593
5.150000, 89.940, 176.2976
5.220000, 90.152, 174.8547
5.300000, 90.385, 173.2267
5.380000, 90.609, 171.6303
5.450000, 90.800, 170.2667
5.520000, 90.985, 168.9342
5.600000, 91.188, 167.4393
5.700000, 91.433, 165.6099
5.800000, 91.668, 163.8354
5.900000, 91.895, 162.1225
6.000000, 92.114, 160.4601
6.080000, 92.283, 159.1629
6.150000, 92.428, 158.0532
6.220000, 92.571, 156.9682
6.300000, 92.732, 155.7574
6.400000, 92.928, 154.2817
6.500000, 93.120, 152.8416
6.600000, 93.310, 151.4326
6.700000, 93.497, 150.0540
6.800000, 93.681, 148.7014
6.900000, 93.863, 147.3658
7.000000, 94.042, 146.0410
7.100000, 94.219, 144.7268
7.200000, 94.393, 143.4215
7.300000, 94.563, 142.1200
7.400000, 94.729, 140.8174
7.500000, 94.891, 139.5145
7.620000, 95.078, 137.9572
7.750000, 95.272, 136.2782
7.880000, 95.454, 134.6034
8.000000, 95.614, 133.0784
8.120000, 95.763, 131.5844
8.250000, 95.913, 129.9953
8.380000, 96.054, 128.4569
8.500000, 96.176, 127.0968
8.620000, 96.292, 125.7892
8.750000, 96.412, 124.4379
8.850000, 96.504, 123.4517
9.000000, 96.641, 122.0518
9.120000, 96.753, 120.9840
9.250000, 96.880, 119.8741
9.380000, 97.013, 118.8023
9.500000, 97.143, 117.8148
9.620000, 97.280, 116.8152
