* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -30.6 dBFS, measurement signal peak level -30.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:41:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay 0.1833 ms (63 mm, 2.48 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -16.2 ppm
* Measurement: No EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 59.441, 18.5492
1.015000, 59.535, 17.8061
1.030000, 59.630, 17.0236
1.044000, 59.718, 16.2556
1.060000, 59.820, 15.3307
1.075000, 59.917, 14.4155
1.090000, 60.015, 13.4520
1.106000, 60.120, 12.3751
1.120000, 60.211, 11.4019
1.138000, 60.325, 10.1183
1.150000, 60.401, 9.2442
1.172000, 60.538, 7.6064
1.180000, 60.587, 6.9999
1.206000, 60.746, 4.9911
1.220000, 60.831, 3.8863
1.241000, 60.960, 2.1997
1.250000, 61.015, 1.4662
1.265000, 61.108, 0.2296
1.280000, 61.201, -1.0246
1.315000, 61.425, -4.0211
1.320000, 61.457, -4.4573
1.340000, 61.590, -6.2234
1.360000, 61.727, -8.0244
1.380000, 61.869, -9.8620
1.400000, 62.016, -11.7378
1.430000, 62.247, -14.6276
1.450000, 62.410, -16.6068
1.475000, 62.623, -19.1324
1.500000, 62.846, -21.6842
1.525000, 63.077, -24.2372
1.550000, 63.316, -26.7795
1.575000, 63.562, -29.3038
1.600000, 63.815, -31.8054
1.625000, 64.074, -34.2823
1.650000, 64.338, -36.7343
1.675000, 64.608, -39.1628
1.700000, 64.881, -41.5708
1.725000, 65.159, -43.9618
1.750000, 65.439, -46.3401
1.775000, 65.723, -48.7103
1.800000, 66.008, -51.0768
1.825000, 66.295, -53.4406
1.850000, 66.587, -55.7887
1.875000, 66.885, -58.0975
1.900000, 67.190, -60.3539
1.925000, 67.501, -62.5538
1.950000, 67.817, -64.6959
1.975000, 68.136, -66.7811
2.000000, 68.457, -68.8120
2.030000, 68.845, -71.1822
2.060000, 69.233, -73.4867
2.090000, 69.620, -75.7338
2.120000, 70.002, -77.9328
2.140000, 70.254, -79.3764
2.180000, 70.749, -82.2204
2.200000, 70.992, -83.6223
2.240000, 71.473, -86.3696
2.270000, 71.832, -88.3680
2.300000, 72.188, -90.3099
2.330000, 72.543, -92.1962
2.360000, 72.894, -94.0293
2.400000, 73.358, -96.3971
2.430000, 73.701, -98.1214
2.470000, 74.151, -100.3612
2.500000, 74.482, -102.0034
2.540000, 74.915, -104.1525
2.580000, 75.337, -106.2628
2.620000, 75.749, -108.3308
2.650000, 76.053, -109.8496
2.690000, 76.450, -111.8284
2.720000, 76.742, -113.2774
2.760000, 77.124, -115.1631
2.800000, 77.498, -116.9985
2.850000, 77.955, -119.2279
2.900000, 78.400, -121.3944
2.950000, 78.833, -123.5110
