* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (2- E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.5 dBFS, measurement signal peak level -33.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -19.2 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 12:27:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.7454 ms (-256 mm, -10.07 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 5.1 ppm
* Measurement: Popular L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 50.080, -69.5271
1.015000, 50.405, -68.7033
1.030000, 50.730, -67.9793
1.044000, 51.035, -67.3920
1.060000, 51.383, -66.8227
1.075000, 51.710, -66.3835
1.090000, 52.035, -66.0270
1.106000, 52.385, -65.7026
1.120000, 52.695, -65.4148
1.138000, 53.102, -65.0175
1.150000, 53.378, -64.7430
1.172000, 53.893, -64.2430
1.180000, 54.083, -64.0674
1.206000, 54.708, -63.5407
1.220000, 55.048, -63.2942
1.241000, 55.561, -62.9852
1.250000, 55.782, -62.8776
1.265000, 56.151, -62.7339
1.280000, 56.520, -62.6372
1.315000, 57.377, -62.6041
1.320000, 57.499, -62.6221
1.340000, 57.983, -62.7513
1.360000, 58.460, -62.9730
1.380000, 58.930, -63.2866
1.400000, 59.391, -63.6910
1.430000, 60.061, -64.4632
1.450000, 60.491, -65.0812
1.475000, 61.011, -65.9281
1.500000, 61.516, -66.7649
1.525000, 62.009, -67.5603
1.550000, 62.491, -68.3269
1.575000, 62.964, -69.0805
1.600000, 63.426, -69.8343
1.625000, 63.879, -70.5997
1.650000, 64.324, -71.3861
1.675000, 64.760, -72.2013
1.700000, 65.188, -73.0518
1.725000, 65.608, -73.9431
1.750000, 66.022, -74.8796
1.775000, 66.429, -75.8652
1.800000, 66.830, -76.9023
1.825000, 67.225, -77.9874
1.850000, 67.613, -79.0968
1.875000, 67.992, -80.1979
1.900000, 68.364, -81.2808
1.925000, 68.727, -82.3471
1.950000, 69.082, -83.4000
1.975000, 69.430, -84.4433
2.000000, 69.771, -85.4806
2.030000, 70.171, -86.7225
2.060000, 70.563, -87.9674
2.090000, 70.948, -89.2213
2.120000, 71.325, -90.4899
2.140000, 71.573, -91.3465
2.180000, 72.061, -93.0915
2.200000, 72.301, -93.9790
2.240000, 72.771, -95.7628
2.270000, 73.114, -97.0936
2.300000, 73.448, -98.4131
2.330000, 73.775, -99.7199
2.360000, 74.094, -101.0136
2.400000, 74.510, -102.7194
2.430000, 74.814, -103.9860
2.470000, 75.211, -105.6617
2.500000, 75.503, -106.9118
2.540000, 75.885, -108.5750
2.580000, 76.259, -110.2396
2.620000, 76.622, -111.9055
2.650000, 76.888, -113.1509
2.690000, 77.232, -114.7994
2.720000, 77.484, -116.0231
2.760000, 77.812, -117.6343
2.800000, 78.133, -119.2198
2.850000, 78.523, -121.1642
2.900000, 78.903, -123.0684
2.950000, 79.273, -124.9425
3.000000, 79.631, -126.8026
3.040000, 79.909, -128.2795
3.070000, 80.112, -129.3772
3.110000, 80.377, -130.8233
3.150000, 80.636, -132.2457
3.200000, 80.953, -133.9856
3.250000, 81.262, -135.6796
3.300000, 81.566, -137.3292
3.350000, 81.861, -138.9469
3.400000, 82.148, -140.5414
3.450000, 82.427, -142.1104
3.500000, 82.699, -143.6499
3.550000, 82.965, -145.1562
3.600000, 83.227, -146.6262
3.650000, 83.485, -148.0585
3.700000, 83.740, -149.4556
3.750000, 83.989, -150.8232
3.820000, 84.330, -152.6945
3.870000, 84.568, -154.0029
3.950000, 84.943, -156.0511
4.000000, 85.175, -157.3042
4.060000, 85.450, -158.7795
4.120000, 85.722, -160.2216
4.180000, 85.990, -161.6348
4.250000, 86.299, -163.2570
4.310000, 86.559, -164.6331
4.370000, 86.817, -166.0020
4.440000, 87.115, -167.5894
4.500000, 87.368, -168.9354
4.550000, 87.576, -170.0472
4.620000, 87.863, -171.5936
4.680000, 88.105, -172.9156
4.750000, 88.382, -174.4611
4.820000, 88.653, -176.0131
4.870000, 88.844, -177.1232
4.940000, 89.106, -178.6745
5.000000, 89.326, -179.9988
5.080000, 89.610, 178.2441
5.150000, 89.850, 176.7090
5.220000, 90.082, 175.1665
5.300000, 90.338, 173.4020
5.380000, 90.583, 171.6550
5.450000, 90.789, 170.1526
5.520000, 90.986, 168.6728
5.600000, 91.201, 166.9907
5.700000, 91.453, 164.9113
5.800000, 91.691, 162.8993
5.900000, 91.913, 160.9763
6.000000, 92.121, 159.1146
6.080000, 92.277, 157.6708
6.150000, 92.409, 156.4542
6.220000, 92.538, 155.2902
6.300000, 92.681, 154.0220
6.400000, 92.852, 152.5130
6.500000, 93.020, 151.0810
6.600000, 93.189, 149.7289
6.700000, 93.360, 148.4627
6.800000, 93.533, 147.2650
6.900000, 93.710, 146.1027
7.000000, 93.894, 144.9616
7.100000, 94.085, 143.8505
7.200000, 94.281, 142.7476
7.300000, 94.481, 141.6154
7.400000, 94.685, 140.4433
7.500000, 94.892, 139.2412
7.620000, 95.140, 137.7434
7.750000, 95.402, 136.0211
7.880000, 95.657, 134.2021
8.000000, 95.880, 132.4617
8.120000, 96.086, 130.6634
8.250000, 96.292, 128.6487
8.380000, 96.475, 126.6162
8.500000, 96.623, 124.7467
8.620000, 96.752, 122.8770
8.750000, 96.870, 120.8989
8.850000, 96.946, 119.4339
9.000000, 97.040, 117.3163
9.120000, 97.100, 115.7162
9.250000, 97.155, 114.1022
9.380000, 97.201, 112.6019
9.500000, 97.241, 111.3152
9.620000, 97.282, 110.1279
9.750000, 97.328, 108.9409
9.880000, 97.371, 107.8300
10.000000, 97.407, 106.8622
10.150000, 97.451, 105.7137
10.300000, 97.498, 104.5909
10.440000, 97.545, 103.5531
10.600000, 97.603, 102.3645
10.750000, 97.663, 101.2316
10.900000, 97.726, 100.0857
11.060000, 97.790, 98.8569
11.200000, 97.843, 97.7795
11.380000, 97.907, 96.4113
11.500000, 97.948, 95.5160
11.720000, 98.020, 93.9139
11.800000, 98.048, 93.3460
12.060000, 98.144, 91.5417
12.200000, 98.201, 90.5853
12.410000, 98.290, 89.1550
12.500000, 98.328, 88.5373
12.650000, 98.392, 87.4990
12.800000, 98.454, 86.4509
13.150000, 98.579, 83.9816
13.200000, 98.594, 83.6320
13.400000, 98.650, 82.2533
13.600000, 98.696, 80.9326
13.800000, 98.736, 79.6907
14.000000, 98.773, 78.5374
14.300000, 98.833, 76.9596
14.500000, 98.880, 75.9777
14.750000, 98.950, 74.7746
15.000000, 99.028, 73.5529
15.250000, 99.110, 72.2831
15.500000, 99.184, 70.9766
15.750000, 99.242, 69.6688
16.000000, 99.284, 68.4106
16.250000, 99.315, 67.2438
16.500000, 99.342, 66.1837
16.750000, 99.376, 65.2155
17.000000, 99.422, 64.2926
17.250000, 99.480, 63.3617
17.500000, 99.545, 62.3753
17.750000, 99.608, 61.3126
18.000000, 99.661, 60.1835
18.250000, 99.700, 59.0211
18.500000, 99.722, 57.8727
18.750000, 99.732, 56.7803
19.000000, 99.734, 55.7719
19.250000, 99.738, 54.8518
19.500000, 99.748, 54.0004
19.750000, 99.767, 53.1846
20.000000, 99.796, 52.3655
20.299999, 99.837, 51.3368
20.600000, 99.878, 50.2391
20.900000, 99.910, 49.0865
21.200001, 99.927, 47.9203
21.400000, 99.929, 47.1609
21.799999, 99.918, 45.7427
22.000000, 99.908, 45.1006
22.400000, 99.886, 43.9580
22.700001, 99.874, 43.2101
23.000000, 99.870, 42.5327
23.299999, 99.872, 41.9056
23.600000, 99.882, 41.3107
24.000000, 99.908, 40.5342
24.299999, 99.934, 39.9341
24.700001, 99.973, 39.0676
25.000000, 99.997, 38.3580
25.400000, 100.010, 37.3703
25.799999, 99.996, 36.4319
26.200001, 99.967, 35.6392
26.500000, 99.947, 35.1443
26.900000, 99.935, 34.5303
27.200001, 99.936, 34.0222
27.600000, 99.929, 33.2273
28.000000, 99.889, 32.3922
28.500000, 99.790, 31.6353
29.000000, 99.705, 31.4544
29.500000, 99.726, 31.5401
30.000000, 99.847, 31.1953
30.400000, 99.951, 30.3712
30.700001, 99.996, 29.5161
31.100000, 99.999, 28.3052
31.500000, 99.951, 27.2744
32.000000, 99.872, 26.4252
32.500000, 99.827, 25.9349
33.000000, 99.826, 25.5330
33.500000, 99.851, 25.0648
34.000000, 99.890, 24.4929
34.500000, 99.933, 23.7986
35.000000, 99.965, 22.9906
35.500000, 99.973, 22.1479
36.000000, 99.961, 21.3718
36.500000, 99.944, 20.6967
37.000000, 99.931, 20.0841
37.500000, 99.922, 19.4887
38.200001, 99.917, 18.6514
38.700001, 99.919, 18.0219
39.500000, 99.921, 16.9153
40.000000, 99.913, 16.2146
40.599998, 99.901, 15.4427
41.200001, 99.898, 14.7192
41.799999, 99.901, 13.9646
42.500000, 99.895, 13.0573
43.099998, 99.881, 12.3478
43.700001, 99.869, 11.7167
44.400002, 99.864, 10.9857
45.000000, 99.858, 10.3035
45.500000, 99.846, 9.7040
46.200001, 99.817, 8.8699
46.799999, 99.786, 8.1965
47.500000, 99.754, 7.4531
48.200001, 99.730, 6.6886
48.700001, 99.711, 6.1160
49.400002, 99.676, 5.3492
50.000000, 99.647, 4.7836
50.799999, 99.628, 4.0707
51.500000, 99.618, 3.3511
52.200001, 99.592, 2.5691
53.000000, 99.540, 1.7117
53.799999, 99.472, 0.9387
54.500000, 99.408, 0.3776
55.200001, 99.363, -0.1207
56.000000, 99.336, -0.8186
57.000000, 99.291, -1.8770
58.000000, 99.239, -2.8098
59.000000, 99.201, -3.7288
60.000000, 99.137, -4.5292
60.799999, 99.090, -4.9997
61.500000, 99.053, -5.4311
62.200001, 99.008, -5.8969
63.000000, 98.956, -6.5138
64.000000, 98.871, -7.5794
65.000000, 98.762, -8.5920
66.000000, 98.719, -9.6683
67.000000, 98.725, -10.9681
68.000000, 98.804, -12.8595
69.000000, 98.696, -15.5569
70.000000, 98.332, -16.0386
71.000000, 98.240, -14.3140
72.000000, 98.358, -13.7363
73.000000, 98.375, -14.0213
74.000000, 98.308, -14.3344
75.000000, 98.200, -14.6516
76.199997, 98.067, -15.2106
77.500000, 97.920, -16.0421
78.800003, 97.804, -16.9075
80.000000, 97.725, -17.6593
81.199997, 97.659, -18.3608
82.500000, 97.575, -19.0542
83.800003, 97.464, -19.6232
85.000000, 97.362, -20.0513
86.199997, 97.260, -20.4781
87.500000, 97.181, -20.8699
88.500000, 97.136, -21.3252
