* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.7 dBFS, measurement signal peak level -31.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:37:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0322 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.1 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.013, 111.3175
1.015000, 67.811, 116.4681
1.030000, 67.636, 121.3776
1.044000, 67.498, 125.7093
1.060000, 67.375, 130.3399
1.075000, 67.293, 134.3632
1.090000, 67.248, 138.0854
1.106000, 67.242, 141.7610
1.120000, 67.277, 144.7832
1.138000, 67.374, 148.4459
1.150000, 67.469, 150.7567
1.172000, 67.703, 154.6459
1.180000, 67.804, 155.8889
1.206000, 68.191, 159.6676
1.220000, 68.430, 161.5434
1.241000, 68.823, 164.1661
1.250000, 69.001, 165.2244
1.265000, 69.311, 166.9062
1.280000, 69.633, 168.4913
1.315000, 70.412, 171.8473
1.320000, 70.525, 172.2906
1.340000, 70.976, 173.9806
1.360000, 71.422, 175.5494
1.380000, 71.853, 176.8742
1.400000, 72.264, 178.0425
1.430000, 72.827, 179.6102
1.450000, 73.156, -179.4574
1.475000, 73.518, -178.3891
1.500000, 73.850, -177.3718
1.525000, 74.166, -176.3816
1.550000, 74.469, -175.4191
1.575000, 74.760, -174.5595
1.600000, 75.040, -173.8630
1.625000, 75.311, -173.2017
1.650000, 75.573, -172.5780
1.675000, 75.827, -171.9935
1.700000, 76.074, -171.4497
1.725000, 76.316, -170.9480
1.750000, 76.553, -170.4891
1.775000, 76.786, -170.1274
1.800000, 77.017, -169.9147
1.825000, 77.246, -169.7431
1.850000, 77.472, -169.6053
1.875000, 77.691, -169.4851
1.900000, 77.904, -169.3753
1.925000, 78.111, -169.2736
1.950000, 78.312, -169.1777
1.975000, 78.507, -169.1380
2.000000, 78.698, -169.2032
2.030000, 78.921, -169.2852
2.060000, 79.139, -169.3780
2.090000, 79.351, -169.4830
2.120000, 79.560, -169.6021
2.140000, 79.697, -169.6904
2.180000, 79.968, -169.9435
2.200000, 80.101, -170.1324
2.240000, 80.362, -170.5343
2.270000, 80.552, -170.8516
2.300000, 80.737, -171.1769
2.330000, 80.917, -171.5064
2.360000, 81.092, -171.8381
2.400000, 81.320, -172.3979
2.430000, 81.487, -172.8316
2.470000, 81.706, -173.4043
2.500000, 81.867, -173.8298
2.540000, 82.078, -174.3929
2.580000, 82.285, -174.9981
2.620000, 82.487, -175.6979
2.650000, 82.635, -176.2285
2.690000, 82.827, -176.9400
2.720000, 82.968, -177.4723
2.760000, 83.152, -178.1717
2.800000, 83.332, -178.9477
2.850000, 83.553, -179.9079
2.900000, 83.769, 179.1623
2.950000, 83.982, 178.2572
3.000000, 84.189, 177.2864
3.040000, 84.350, 176.4850
3.070000, 84.468, 175.8876
3.110000, 84.624, 175.0997
3.150000, 84.777, 174.3251
3.200000, 84.966, 173.3240
3.250000, 85.154, 172.3282
3.300000, 85.341, 171.3669
3.350000, 85.526, 170.4339
3.400000, 85.708, 169.4610
3.450000, 85.887, 168.4816
3.500000, 86.065, 167.5220
3.550000, 86.242, 166.5852
3.600000, 86.419, 165.6257
3.650000, 86.597, 164.6718
3.700000, 86.776, 163.7440
3.750000, 86.954, 162.8403
3.820000, 87.203, 161.5475
3.870000, 87.381, 160.6299
3.950000, 87.667, 159.1873
4.000000, 87.847, 158.2642
4.060000, 88.064, 157.1533
4.120000, 88.283, 156.0662
4.180000, 88.503, 154.9896
