* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.8 dBFS, measurement signal peak level -31.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:38:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0311 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.1 ppm
* Measurement: Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 54.739, -86.3409
1.015000, 54.894, -84.9091
1.030000, 55.049, -83.8103
1.044000, 55.192, -83.0706
1.060000, 55.351, -82.5496
1.075000, 55.493, -82.3647
1.090000, 55.628, -82.4587
1.106000, 55.766, -82.8079
1.120000, 55.892, -83.2243
1.138000, 56.065, -83.8201
1.150000, 56.189, -84.2350
1.172000, 56.431, -85.0971
1.180000, 56.523, -85.5026
1.206000, 56.839, -86.7993
1.220000, 57.019, -87.4870
1.241000, 57.298, -88.5075
1.250000, 57.421, -88.9427
1.265000, 57.630, -89.6683
1.280000, 57.843, -90.3990
1.315000, 58.355, -92.1549
1.320000, 58.429, -92.4148
1.340000, 58.729, -93.4871
1.360000, 59.031, -94.6180
1.380000, 59.333, -95.9550
1.400000, 59.634, -97.4337
1.430000, 60.082, -99.8549
1.450000, 60.375, -101.6199
1.475000, 60.737, -103.9647
1.500000, 61.102, -106.3232
1.525000, 61.474, -108.5888
1.550000, 61.850, -110.7220
1.575000, 62.232, -112.7829
1.600000, 62.617, -114.8327
1.625000, 63.005, -116.7546
1.650000, 63.394, -118.5681
1.675000, 63.785, -120.2949
1.700000, 64.175, -121.9578
1.725000, 64.563, -123.5788
1.750000, 64.949, -125.1782
1.775000, 65.332, -126.8284
1.800000, 65.711, -128.5963
1.825000, 66.085, -130.3816
1.850000, 66.456, -132.1573
1.875000, 66.827, -133.8663
1.900000, 67.198, -135.4807
1.925000, 67.569, -136.9948
1.950000, 67.939, -138.4099
1.975000, 68.307, -139.7843
2.000000, 68.673, -141.1766
2.030000, 69.108, -142.7524
2.060000, 69.538, -144.2501
2.090000, 69.961, -145.6913
2.120000, 70.377, -147.0966
2.140000, 70.649, -148.0230
2.180000, 71.180, -149.9253
2.200000, 71.439, -150.9273
2.240000, 71.946, -152.9034
2.270000, 72.317, -154.3314
2.300000, 72.680, -155.7002
2.330000, 73.037, -157.0068
2.360000, 73.386, -158.2532
2.400000, 73.842, -159.9474
2.430000, 74.175, -161.1784
2.470000, 74.610, -162.7600
2.500000, 74.928, -163.9134
2.540000, 75.343, -165.4256
2.580000, 75.747, -166.9681
2.620000, 76.138, -168.5858
2.650000, 76.423, -169.7809
2.690000, 76.793, -171.3366
2.720000, 77.063, -172.4677
2.760000, 77.413, -173.9193
2.800000, 77.753, -175.3980
2.850000, 78.163, -177.1785
2.900000, 78.560, -178.8822
2.950000, 78.941, 179.4564
3.000000, 79.306, 177.7237
3.040000, 79.587, 176.3180
3.070000, 79.790, 175.2788
3.110000, 80.053, 173.9248
3.150000, 80.308, 172.6163
3.200000, 80.614, 170.9980
3.250000, 80.907, 169.4405
3.300000, 81.190, 167.9580
3.350000, 81.459, 166.5028
3.400000, 81.714, 164.9900
3.450000, 81.957, 163.4745
3.500000, 82.187, 162.0072
3.550000, 82.407, 160.6123
3.600000, 82.618, 159.2599
3.650000, 82.819, 157.9821
3.700000, 83.011, 156.7696
3.750000, 83.191, 155.5815
3.820000, 83.425, 153.8995
3.870000, 83.582, 152.7401
3.950000, 83.820, 151.0350
4.000000, 83.962, 150.0527
4.060000, 84.126, 148.9718
4.120000, 84.279, 147.9744
4.180000, 84.422, 147.0330
4.250000, 84.582, 145.9795
4.310000, 84.717, 145.1768
4.370000, 84.853, 144.4761
4.440000, 85.014, 143.7583
4.500000, 85.149, 143.2505
4.550000, 85.262, 142.8903
4.620000, 85.422, 142.4249
4.680000, 85.566, 142.0752
4.750000, 85.745, 141.7293
4.820000, 85.937, 141.4367
4.870000, 86.081, 141.2806
4.940000, 86.291, 141.1170
5.000000, 86.480, 140.9723
5.080000, 86.743, 140.7335
5.150000, 86.986, 140.4852
5.220000, 87.243, 140.2116
5.300000, 87.550, 139.8881
5.380000, 87.867, 139.5045
5.450000, 88.147, 139.0554
5.520000, 88.429, 138.5146
5.600000, 88.755, 137.8061
5.700000, 89.167, 136.8051
5.800000, 89.572, 135.6662
5.900000, 89.962, 134.3476
6.000000, 90.339, 132.8837
6.080000, 90.631, 131.6305
6.150000, 90.875, 130.5041
6.220000, 91.109, 129.3326
6.300000, 91.361, 127.9424
6.400000, 91.657, 126.1317
6.500000, 91.931, 124.2893
6.600000, 92.182, 122.4694
6.700000, 92.409, 120.6368
6.800000, 92.614, 118.8007
6.900000, 92.800, 117.0091
7.000000, 92.968, 115.3020
7.100000, 93.116, 113.6426
7.200000, 93.250, 112.0436
7.300000, 93.372, 110.5328
7.400000, 93.486, 109.1298
7.500000, 93.590, 107.8079
7.620000, 93.708, 106.3296
7.750000, 93.835, 104.8714
7.880000, 93.963, 103.5456
8.000000, 94.083, 102.4094
8.120000, 94.210, 101.3277
8.250000, 94.355, 100.2170
8.380000, 94.505, 99.1309
8.500000, 94.648, 98.1138
8.620000, 94.794, 97.0886
8.750000, 94.950, 95.9581
8.850000, 95.067, 95.0614
9.000000, 95.234, 93.6836
9.120000, 95.359, 92.5699
9.250000, 95.482, 91.3605
9.380000, 95.592, 90.1559
9.500000, 95.683, 89.0732
9.620000, 95.764, 88.0381
9.750000, 95.839, 86.9670
9.880000, 95.900, 85.9665
10.000000, 95.943, 85.1221
10.150000, 95.981, 84.1326
10.300000, 96.017, 83.2402
10.440000, 96.050, 82.4897
10.600000, 96.096, 81.6866
10.750000, 96.152, 80.9556
10.900000, 96.217, 80.2263
11.060000, 96.293, 79.3906
11.200000, 96.361, 78.5925
11.380000, 96.444, 77.5061
11.500000, 96.493, 76.7413
11.720000, 96.567, 75.2980
11.800000, 96.588, 74.7704
12.060000, 96.635, 73.0791
12.200000, 96.649, 72.2092
12.410000, 96.659, 71.0141
12.500000, 96.661, 70.5518
12.650000, 96.665, 69.8481
12.800000, 96.672, 69.2134
13.150000, 96.723, 67.8915
13.200000, 96.735, 67.7036
13.400000, 96.796, 66.9363
13.600000, 96.871, 66.1017
13.800000, 96.953, 65.1690
14.000000, 97.030, 64.1369
14.300000, 97.125, 62.4199
14.500000, 97.168, 61.2466
14.750000, 97.200, 59.8319
15.000000, 97.217, 58.5355
15.250000, 97.234, 57.3681
15.500000, 97.260, 56.3347
15.750000, 97.300, 55.3892
16.000000, 97.355, 54.4667
16.250000, 97.419, 53.4994
16.500000, 97.482, 52.4937
16.750000, 97.538, 51.4673
17.000000, 97.584, 50.4608
17.250000, 97.619, 49.5010
17.500000, 97.648, 48.6312
17.750000, 97.675, 47.8557
18.000000, 97.704, 47.1533
18.250000, 97.737, 46.4834
18.500000, 97.769, 45.8349
18.750000, 97.797, 45.2102
19.000000, 97.816, 44.6309
19.250000, 97.828, 44.1238
19.500000, 97.838, 43.7328
19.750000, 97.857, 43.4592
20.000000, 97.895, 43.2585
20.299999, 97.977, 42.9658
20.600000, 98.091, 42.4446
20.900000, 98.213, 41.5400
21.200001, 98.302, 40.2099
21.400000, 98.324, 39.1441
21.799999, 98.244, 36.9089
22.000000, 98.139, 35.9271
22.400000, 97.838, 34.6907
22.700001, 97.596, 34.6441
23.000000, 97.423, 35.3090
23.299999, 97.374, 36.3335
23.600000, 97.463, 37.2154
24.000000, 97.718, 37.4577
24.299999, 97.927, 36.7828
24.700001, 98.125, 35.0533
25.000000, 98.187, 33.5001
25.400000, 98.171, 31.5775
25.799999, 98.098, 30.1440
26.200001, 98.032, 29.2137
26.500000, 98.008, 28.7279
26.900000, 98.012, 28.1959
27.200001, 98.036, 27.8129
27.600000, 98.087, 27.2817
28.000000, 98.156, 26.6736
28.500000, 98.252, 25.6668
29.000000, 98.307, 24.3687
29.500000, 98.277, 23.0743
30.000000, 98.181, 22.2343
30.400000, 98.110, 21.9824
30.700001, 98.086, 21.9322
31.100000, 98.096, 21.8210
31.500000, 98.127, 21.4805
32.000000, 98.142, 20.7768
32.500000, 98.111, 20.0678
33.000000, 98.071, 19.5733
33.500000, 98.054, 19.2030
34.000000, 98.055, 18.8217
34.500000, 98.061, 18.4614
35.000000, 98.082, 18.1791
35.500000, 98.134, 17.8207
36.000000, 98.189, 17.2028
36.500000, 98.197, 16.4324
37.000000, 98.155, 15.8355
37.500000, 98.117, 15.5055
38.200001, 98.113, 14.9120
38.700001, 98.081, 14.1650
39.500000, 97.933, 13.1107
40.000000, 97.863, 12.5270
40.599998, 97.780, 11.2274
41.200001, 97.518, 9.7139
41.799999, 97.097, 9.8385
42.500000, 96.945, 12.6312
43.099998, 97.315, 14.0457
