* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.5 dBFS, measurement signal peak level -31.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:42:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0314 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.1 ppm
* Measurement: Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.559, 91.1414
1.015000, 70.305, 93.7334
1.030000, 70.069, 96.3527
1.044000, 69.865, 98.8188
1.060000, 69.656, 101.6581
1.075000, 69.483, 104.3355
1.090000, 69.335, 107.0234
1.106000, 69.205, 109.8999
1.120000, 69.112, 112.4273
1.138000, 69.018, 115.6902
1.150000, 68.969, 117.8706
1.172000, 68.909, 121.7782
1.180000, 68.895, 123.1038
1.206000, 68.881, 127.3955
1.220000, 68.890, 129.6837
1.241000, 68.924, 133.0729
1.250000, 68.946, 134.5062
1.265000, 68.990, 136.8652
1.280000, 69.044, 139.1823
1.315000, 69.201, 144.3995
1.320000, 69.226, 145.1209
1.340000, 69.334, 147.9419
1.360000, 69.450, 150.6582
1.380000, 69.572, 153.1324
1.400000, 69.697, 155.4401
1.430000, 69.884, 158.6779
1.450000, 70.007, 160.6883
1.475000, 70.162, 163.0606
1.500000, 70.331, 165.3397
1.525000, 70.522, 167.5481
1.550000, 70.732, 169.6788
1.575000, 70.959, 171.6523
1.600000, 71.199, 173.4052
1.625000, 71.449, 175.0641
1.650000, 71.707, 176.6263
1.675000, 71.969, 178.0910
1.700000, 72.232, 179.4581
1.725000, 72.494, -179.2721
1.750000, 72.751, -178.0979
1.775000, 73.000, -177.0714
1.800000, 73.239, -176.2416
1.825000, 73.465, -175.4961
1.850000, 73.682, -174.8173
1.875000, 73.895, -174.1782
1.900000, 74.105, -173.5692
1.925000, 74.313, -172.9891
1.950000, 74.518, -172.4365
1.975000, 74.721, -171.9626
2.000000, 74.920, -171.6166
2.030000, 75.157, -171.2354
2.060000, 75.388, -170.8978
2.090000, 75.615, -170.6052
2.120000, 75.837, -170.3587
2.140000, 75.982, -170.2207
2.180000, 76.264, -170.0618
2.200000, 76.402, -170.0632
2.240000, 76.669, -170.1176
2.270000, 76.862, -170.1934
2.300000, 77.051, -170.2921
2.330000, 77.234, -170.4092
2.360000, 77.412, -170.5421
2.400000, 77.643, -170.8573
2.430000, 77.812, -171.1223
2.470000, 78.031, -171.4894
2.500000, 78.192, -171.7749
2.540000, 78.401, -172.1700
2.580000, 78.605, -172.6292
2.620000, 78.802, -173.2053
2.650000, 78.945, -173.6564
2.690000, 79.130, -174.2764
2.720000, 79.264, -174.7491
2.760000, 79.438, -175.3785
2.800000, 79.607, -176.0928
2.850000, 79.813, -176.9844
2.900000, 80.013, -177.8517
2.950000, 80.208, -178.7029
3.000000, 80.394, -179.6377
3.040000, 80.538, 179.5764
3.070000, 80.643, 178.9849
3.110000, 80.780, 178.2000
3.150000, 80.914, 177.4261
3.200000, 81.078, 176.4276
3.250000, 81.241, 175.4416
3.300000, 81.402, 174.5002
3.350000, 81.561, 173.5906
3.400000, 81.716, 172.6381
3.450000, 81.868, 171.6775
3.500000, 82.018, 170.7383
3.550000, 82.168, 169.8280
3.600000, 82.320, 168.9058
3.650000, 82.475, 168.0040
3.700000, 82.632, 167.1449
3.750000, 82.789, 166.3237
3.820000, 83.011, 165.1617
3.870000, 83.171, 164.3450
3.950000, 83.435, 163.0732
4.000000, 83.605, 162.2635
4.060000, 83.816, 161.3028
4.120000, 84.033, 160.3900
4.180000, 84.256, 159.5047
4.250000, 84.522, 158.4417
4.310000, 84.755, 157.5276
4.370000, 84.992, 156.5909
4.440000, 85.276, 155.4436
4.500000, 85.525, 154.4749
4.550000, 85.737, 153.6779
4.620000, 86.037, 152.5203
4.680000, 86.295, 151.4973
4.750000, 86.595, 150.2616
4.820000, 86.896, 148.9548
4.870000, 87.112, 148.0059
4.940000, 87.415, 146.6718
5.000000, 87.672, 145.4993
5.080000, 88.009, 143.8938
5.150000, 88.295, 142.4539
5.220000, 88.576, 140.9549
5.300000, 88.889, 139.2118
5.380000, 89.193, 137.4657
5.450000, 89.448, 135.9223
5.520000, 89.692, 134.3807
5.600000, 89.958, 132.5841
5.700000, 90.272, 130.3115
5.800000, 90.564, 128.0899
5.900000, 90.833, 125.9240
6.000000, 91.078, 123.7742
6.080000, 91.257, 122.0723
6.150000, 91.404, 120.6432
6.220000, 91.540, 119.2675
6.300000, 91.684, 117.7597
6.400000, 91.844, 115.9386
6.500000, 91.989, 114.2118
6.600000, 92.121, 112.6367
6.700000, 92.241, 111.1960
6.800000, 92.349, 109.8735
6.900000, 92.453, 108.6664
7.000000, 92.556, 107.6001
7.100000, 92.659, 106.6619
7.200000, 92.763, 105.8308
7.300000, 92.873, 105.0717
7.400000, 92.993, 104.3904
7.500000, 93.120, 103.7771
7.620000, 93.283, 103.0831
7.750000, 93.473, 102.3210
7.880000, 93.677, 101.5439
8.000000, 93.871, 100.7877
8.120000, 94.065, 99.9471
8.250000, 94.276, 98.9523
