* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.2 dBFS, measurement signal peak level -33.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:13:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0393 ms (-13 mm, -0.53 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.5 ppm
* Measurement: CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.881, -148.5574
1.015000, 68.934, -149.7421
1.030000, 68.992, -150.8850
1.044000, 69.053, -151.9224
1.060000, 69.128, -153.0828
1.075000, 69.204, -154.1545
1.090000, 69.287, -155.2161
1.106000, 69.384, -156.3326
1.120000, 69.478, -157.2772
1.138000, 69.614, -158.4275
1.150000, 69.714, -159.1503
1.172000, 69.912, -160.4699
1.180000, 69.990, -161.0116
1.206000, 70.256, -162.6524
1.220000, 70.409, -163.4668
1.241000, 70.648, -164.6031
1.250000, 70.754, -165.0603
1.265000, 70.934, -165.7852
1.280000, 71.118, -166.4666
1.315000, 71.556, -167.9065
1.320000, 71.620, -168.0969
1.340000, 71.874, -168.8250
1.360000, 72.127, -169.5013
1.380000, 72.378, -170.2653
1.400000, 72.624, -171.0446
1.430000, 72.980, -172.1635
1.450000, 73.207, -172.8842
1.475000, 73.479, -173.7530
1.500000, 73.746, -174.5590
1.525000, 74.011, -175.2886
1.550000, 74.276, -175.9443
1.575000, 74.540, -176.6035
1.600000, 74.803, -177.3309
1.625000, 75.065, -178.0038
1.650000, 75.325, -178.6303
1.675000, 75.583, -179.2179
1.700000, 75.839, -179.7740
1.725000, 76.092, 179.6941
1.750000, 76.343, 179.1805
1.775000, 76.592, 178.6255
1.800000, 76.837, 177.9728
1.825000, 77.079, 177.3260
1.850000, 77.318, 176.6886
1.875000, 77.555, 176.0745
1.900000, 77.789, 175.4897
1.925000, 78.021, 174.9352
1.950000, 78.250, 174.4117
1.975000, 78.477, 173.8668
2.000000, 78.701, 173.2495
2.030000, 78.967, 172.5450
2.060000, 79.230, 171.8696
2.090000, 79.489, 171.2181
2.120000, 79.745, 170.5850
2.140000, 79.914, 170.1703
2.180000, 80.247, 169.3005
2.200000, 80.412, 168.8207
2.240000, 80.735, 167.8763
2.270000, 80.974, 167.1881
2.300000, 81.209, 166.5209
2.330000, 81.440, 165.8759
2.360000, 81.668, 165.2523
2.400000, 81.968, 164.3354
2.430000, 82.188, 163.6543
2.470000, 82.478, 162.7738
2.500000, 82.692, 162.1308
2.540000, 82.973, 161.2917
2.580000, 83.248, 160.4265
2.620000, 83.519, 159.4902
2.650000, 83.718, 158.7998
2.690000, 83.979, 157.8975
2.720000, 84.171, 157.2368
2.760000, 84.423, 156.3830
2.800000, 84.670, 155.4679
2.850000, 84.971, 154.3485
2.900000, 85.266, 153.2682
2.950000, 85.553, 152.2161
3.000000, 85.832, 151.1060
3.040000, 86.049, 150.2026
3.070000, 86.209, 149.5349
3.110000, 86.419, 148.6614
3.150000, 86.623, 147.8102
3.200000, 86.874, 146.7234
3.250000, 87.118, 145.6494
3.300000, 87.356, 144.6110
3.350000, 87.588, 143.5939
3.400000, 87.813, 142.5296
3.450000, 88.032, 141.4588
3.500000, 88.244, 140.4143
3.550000, 88.452, 139.4041
3.600000, 88.654, 138.3856
3.650000, 88.851, 137.3859
3.700000, 89.044, 136.4139
3.750000, 89.230, 135.4560
3.820000, 89.483, 134.0786
3.870000, 89.658, 133.1077
3.950000, 89.928, 131.6167
4.000000, 90.093, 130.6951
4.060000, 90.285, 129.6108
4.120000, 90.472, 128.5529
4.180000, 90.652, 127.5068
4.250000, 90.857, 126.2720
