* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -33.9 dBFS, measurement signal peak level -33.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:28:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0330 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.744, -149.4223
1.015000, 70.774, -150.5752
1.030000, 70.811, -151.6898
1.044000, 70.852, -152.7037
1.060000, 70.906, -153.8402
1.075000, 70.965, -154.8923
1.090000, 71.030, -155.9377
1.106000, 71.110, -157.0438
1.120000, 71.190, -157.9897
1.138000, 71.308, -159.1580
1.150000, 71.395, -159.9019
1.172000, 71.571, -161.2754
1.180000, 71.640, -161.8408
1.206000, 71.881, -163.5694
1.220000, 72.019, -164.4360
1.241000, 72.237, -165.6540
1.250000, 72.334, -166.1470
1.265000, 72.499, -166.9318
1.280000, 72.668, -167.6726
1.315000, 73.073, -169.2460
1.320000, 73.132, -169.4546
1.340000, 73.368, -170.2533
1.360000, 73.603, -170.9957
1.380000, 73.837, -171.8211
1.400000, 74.066, -172.6571
1.430000, 74.399, -173.8521
1.450000, 74.610, -174.6183
1.475000, 74.864, -175.5416
1.500000, 75.114, -176.4066
1.525000, 75.364, -177.2013
1.550000, 75.615, -177.9260
1.575000, 75.865, -178.6561
1.600000, 76.116, -179.4544
1.625000, 76.365, 179.8034
1.650000, 76.614, 179.1102
1.675000, 76.861, 178.4594
1.700000, 77.106, 177.8442
1.725000, 77.350, 177.2579
1.750000, 77.590, 176.6945
1.775000, 77.829, 176.0948
1.800000, 78.064, 175.4021
1.825000, 78.296, 174.7195
1.850000, 78.525, 174.0477
1.875000, 78.751, 173.3974
1.900000, 78.975, 172.7744
1.925000, 79.198, 172.1804
1.950000, 79.418, 171.6171
1.975000, 79.636, 171.0325
2.000000, 79.851, 170.3767
2.030000, 80.107, 169.6281
2.060000, 80.360, 168.9116
2.090000, 80.610, 168.2227
2.120000, 80.856, 167.5564
2.140000, 81.018, 167.1222
2.180000, 81.339, 166.2191
2.200000, 81.497, 165.7251
2.240000, 81.808, 164.7529
2.270000, 82.037, 164.0429
2.300000, 82.263, 163.3530
2.330000, 82.486, 162.6852
2.360000, 82.705, 162.0394
2.400000, 82.993, 161.0943
2.430000, 83.206, 160.3940
2.470000, 83.484, 159.4910
2.500000, 83.690, 158.8340
2.540000, 83.960, 157.9805
2.580000, 84.226, 157.1049
2.620000, 84.486, 156.1594
2.650000, 84.677, 155.4617
2.690000, 84.928, 154.5497
2.720000, 85.113, 153.8819
2.760000, 85.355, 153.0193
2.800000, 85.593, 152.0966
2.850000, 85.883, 150.9705
2.900000, 86.166, 149.8875
2.950000, 86.442, 148.8364
3.000000, 86.711, 147.7290
3.040000, 86.920, 146.8281
3.070000, 87.074, 146.1624
3.110000, 87.275, 145.2918
3.150000, 87.472, 144.4440
3.200000, 87.712, 143.3625
3.250000, 87.947, 142.2954
3.300000, 88.176, 141.2661
3.350000, 88.399, 140.2595
3.400000, 88.615, 139.2065
3.450000, 88.825, 138.1473
3.500000, 89.030, 137.1148
3.550000, 89.229, 136.1168
3.600000, 89.423, 135.1110
3.650000, 89.613, 134.1248
3.700000, 89.798, 133.1672
3.750000, 89.977, 132.2244
3.820000, 90.220, 130.8687
3.870000, 90.388, 129.9136
3.950000, 90.648, 128.4476
4.000000, 90.806, 127.5417
4.060000, 90.991, 126.4766
4.120000, 91.170, 125.4381
4.180000, 91.343, 124.4117
4.250000, 91.539, 123.2000
4.310000, 91.703, 122.2016
4.370000, 91.862, 121.2384
4.440000, 92.044, 120.1162
4.500000, 92.194, 119.1800
4.550000, 92.317, 118.4180
4.620000, 92.484, 117.3437
4.680000, 92.625, 116.4452
4.750000, 92.785, 115.4370
4.820000, 92.942, 114.4332
4.870000, 93.051, 113.7277
4.940000, 93.201, 112.7651
5.000000, 93.327, 111.9440
5.080000, 93.491, 110.8676
5.150000, 93.632, 109.9585
5.220000, 93.769, 109.0497
5.300000, 93.922, 108.0296
5.380000, 94.072, 107.0354
5.450000, 94.200, 106.1659
5.520000, 94.325, 105.3209
5.600000, 94.465, 104.3652
5.700000, 94.636, 103.1802
5.800000, 94.801, 102.0247
5.900000, 94.962, 100.8854
6.000000, 95.117, 99.7684
6.080000, 95.238, 98.8795
6.150000, 95.341, 98.1222
6.220000, 95.441, 97.3664
6.300000, 95.553, 96.5184
6.400000, 95.689, 95.4753
6.500000, 95.821, 94.4448
6.600000, 95.948, 93.4420
6.700000, 96.071, 92.4538
6.800000, 96.191, 91.4869
6.900000, 96.306, 90.5347
7.000000, 96.419, 89.6084
7.100000, 96.528, 88.6963
7.200000, 96.633, 87.8053
7.300000, 96.737, 86.9286
7.400000, 96.837, 86.0734
7.500000, 96.936, 85.2297
7.620000, 97.050, 84.2407
7.750000, 97.171, 83.1956
7.880000, 97.288, 82.1667
8.000000, 97.393, 81.2409
8.120000, 97.495, 80.3306
8.250000, 97.603, 79.3619
8.380000, 97.707, 78.4143
8.500000, 97.801, 77.5532
8.620000, 97.891, 76.7078
8.750000, 97.987, 75.8086
8.850000, 98.058, 75.1274
9.000000, 98.161, 74.1277
9.120000, 98.242, 73.3424
9.250000, 98.326, 72.5079
9.380000, 98.409, 71.6919
9.500000, 98.483, 70.9493
9.620000, 98.556, 70.2222
9.750000, 98.631, 69.4487
9.880000, 98.698, 68.6876
10.000000, 98.748, 68.0013
10.150000, 98.797, 67.1350
10.300000, 98.839, 66.2933
10.440000, 98.871, 65.5291
10.600000, 98.904, 64.6803
10.750000, 98.937, 63.9079
10.900000, 98.969, 63.1571
11.060000, 99.003, 62.3632
11.200000, 99.031, 61.6633
11.380000, 99.065, 60.7895
11.500000, 99.087, 60.2228
11.720000, 99.127, 59.2148
11.800000, 99.142, 58.8577
12.060000, 99.194, 57.7161
12.200000, 99.223, 57.0969
12.410000, 99.268, 56.1907
12.500000, 99.287, 55.8101
12.650000, 99.317, 55.1856
12.800000, 99.346, 54.5734
13.150000, 99.409, 53.1667
13.200000, 99.418, 52.9665
13.400000, 99.453, 52.1799
13.600000, 99.488, 51.4171
13.800000, 99.522, 50.6789
14.000000, 99.555, 49.9629
14.300000, 99.602, 48.8983
14.500000, 99.632, 48.2146
14.750000, 99.669, 47.3873
15.000000, 99.707, 46.5854
15.250000, 99.749, 45.7808
15.500000, 99.791, 44.9957
15.750000, 99.832, 44.2304
16.000000, 99.870, 43.4843
16.250000, 99.907, 42.7370
16.500000, 99.942, 42.0102
16.750000, 99.976, 41.3045
17.000000, 100.010, 40.6175
17.250000, 100.044, 39.9339
17.500000, 100.078, 39.2661
17.750000, 100.111, 38.6142
18.000000, 100.142, 37.9755
18.250000, 100.172, 37.3378
18.500000, 100.201, 36.7126
18.750000, 100.230, 36.1017
19.000000, 100.258, 35.5046
19.250000, 100.286, 34.9081
19.500000, 100.314, 34.3248
19.750000, 100.341, 33.7540
20.000000, 100.367, 33.1949
20.299999, 100.397, 32.5254
20.600000, 100.425, 31.8723
20.900000, 100.452, 31.2361
21.200001, 100.477, 30.6093
21.400000, 100.493, 30.1985
21.799999, 100.523, 29.3995
22.000000, 100.537, 29.0096
22.400000, 100.566, 28.2353
22.700001, 100.586, 27.6675
23.000000, 100.606, 27.1094
23.299999, 100.624, 26.5546
23.600000, 100.642, 26.0101
24.000000, 100.665, 25.3016
24.299999, 100.681, 24.7771
24.700001, 100.703, 24.0948
25.000000, 100.718, 23.5954
25.400000, 100.738, 22.9352
25.799999, 100.757, 22.2891
26.200001, 100.775, 21.6510
26.500000, 100.787, 21.1771
26.900000, 100.802, 20.5574
27.200001, 100.813, 20.0994
27.600000, 100.826, 19.5012
28.000000, 100.838, 18.9205
28.500000, 100.852, 18.2101
29.000000, 100.866, 17.5178
29.500000, 100.879, 16.8329
30.000000, 100.890, 16.1613
30.400000, 100.896, 15.6306
30.700001, 100.900, 15.2398
31.100000, 100.904, 14.7273
31.500000, 100.907, 14.2213
32.000000, 100.910, 13.6025
32.500000, 100.913, 12.9935
33.000000, 100.914, 12.3991
33.500000, 100.915, 11.8148
34.000000, 100.916, 11.2426
34.500000, 100.918, 10.6779
35.000000, 100.920, 10.1241
35.500000, 100.920, 9.5798
36.000000, 100.921, 9.0483
36.500000, 100.920, 8.5247
37.000000, 100.920, 8.0079
37.500000, 100.918, 7.4940
38.200001, 100.913, 6.7896
38.700001, 100.908, 6.2983
39.500000, 100.898, 5.5280
40.000000, 100.892, 5.0550
40.599998, 100.883, 4.4973
41.200001, 100.873, 3.9561
41.799999, 100.864, 3.4248
42.500000, 100.854, 2.8105
43.099998, 100.845, 2.2935
43.700001, 100.836, 1.7869
44.400002, 100.825, 1.2075
45.000000, 100.815, 0.7198
45.500000, 100.806, 0.3208
46.200001, 100.793, -0.2264
46.799999, 100.782, -0.6916
47.500000, 100.767, -1.2311
48.200001, 100.751, -1.7597
48.700001, 100.739, -2.1290
49.400002, 100.721, -2.6368
50.000000, 100.706, -3.0635
50.799999, 100.684, -3.6210
51.500000, 100.666, -4.1018
52.200001, 100.647, -4.5779
53.000000, 100.624, -5.1138
53.799999, 100.599, -5.6378
54.500000, 100.576, -6.0850
55.200001, 100.553, -6.5220
56.000000, 100.526, -7.0124
57.000000, 100.491, -7.6147
58.000000, 100.456, -8.2045
59.000000, 100.419, -8.7816
