* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.2 dBFS, measurement signal peak level -32.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:56:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0335 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.7 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.275, -174.7800
1.015000, 71.421, -175.6742
1.030000, 71.567, -176.5345
1.044000, 71.703, -177.3156
1.060000, 71.858, -178.1915
1.075000, 72.001, -179.0042
1.090000, 72.141, -179.8138
1.106000, 72.289, 179.3320
1.120000, 72.423, 178.6120
1.138000, 72.601, 177.7433
1.150000, 72.725, 177.2035
1.172000, 72.959, 176.2080
1.180000, 73.047, 175.7805
1.206000, 73.340, 174.4969
1.220000, 73.503, 173.8660
1.241000, 73.751, 172.9941
1.250000, 73.858, 172.6462
1.265000, 74.039, 172.0986
1.280000, 74.221, 171.5885
1.315000, 74.649, 170.5275
1.320000, 74.710, 170.3890
1.340000, 74.955, 169.8636
1.360000, 75.197, 169.3828
1.380000, 75.436, 168.8076
1.400000, 75.672, 168.2111
1.430000, 76.014, 167.3564
1.450000, 76.235, 166.8055
1.475000, 76.501, 166.1389
1.500000, 76.761, 165.5166
1.525000, 77.018, 164.9503
1.550000, 77.271, 164.4402
1.575000, 77.522, 163.9118
1.600000, 77.769, 163.3038
1.625000, 78.014, 162.7415
1.650000, 78.255, 162.2194
1.675000, 78.494, 161.7321
1.700000, 78.730, 161.2744
1.725000, 78.964, 160.8405
1.750000, 79.194, 160.4259
1.775000, 79.423, 159.9723
1.800000, 79.648, 159.4239
1.825000, 79.872, 158.8842
1.850000, 80.093, 158.3521
1.875000, 80.310, 157.8359
1.900000, 80.526, 157.3403
1.925000, 80.738, 156.8676
1.950000, 80.948, 156.4197
1.975000, 81.155, 155.9456
2.000000, 81.359, 155.3958
2.030000, 81.601, 154.7698
2.060000, 81.839, 154.1722
2.090000, 82.075, 153.5995
2.120000, 82.306, 153.0481
2.140000, 82.459, 152.6902
2.180000, 82.761, 151.9405
2.200000, 82.909, 151.5235
2.240000, 83.202, 150.7021
2.270000, 83.417, 150.1004
2.300000, 83.629, 149.5146
2.330000, 83.837, 148.9469
2.360000, 84.042, 148.3977
2.400000, 84.310, 147.5774
2.430000, 84.508, 146.9685
2.470000, 84.768, 146.1861
2.500000, 84.959, 145.6196
2.540000, 85.210, 144.8879
2.580000, 85.457, 144.1361
2.620000, 85.699, 143.3137
2.650000, 85.877, 142.7069
2.690000, 86.110, 141.9132
2.720000, 86.282, 141.3322
2.760000, 86.506, 140.5827
2.800000, 86.726, 139.7711
2.850000, 86.995, 138.7822
2.900000, 87.257, 137.8362
2.950000, 87.513, 136.9240
3.000000, 87.762, 135.9570
3.040000, 87.955, 135.1680
3.070000, 88.098, 134.5854
3.110000, 88.284, 133.8245
3.150000, 88.466, 133.0844
3.200000, 88.689, 132.1350
3.250000, 88.907, 131.1979
3.300000, 89.119, 130.2977
3.350000, 89.326, 129.4214
3.400000, 89.527, 128.4998
3.450000, 89.723, 127.5718
3.500000, 89.913, 126.6685
3.550000, 90.099, 125.7970
3.600000, 90.280, 124.9145
3.650000, 90.457, 124.0484
3.700000, 90.630, 123.2097
3.750000, 90.798, 122.3865
3.820000, 91.026, 121.1981
3.870000, 91.184, 120.3605
3.950000, 91.429, 119.0762
4.000000, 91.578, 118.2787
4.060000, 91.753, 117.3396
4.120000, 91.923, 116.4260
4.180000, 92.088, 115.5233
4.250000, 92.275, 114.4523
4.310000, 92.431, 113.5699
4.370000, 92.584, 112.7171
4.440000, 92.757, 111.7178
4.500000, 92.902, 110.8841
4.550000, 93.020, 110.2058
4.620000, 93.182, 109.2451
4.680000, 93.317, 108.4399
4.750000, 93.471, 107.5350
4.820000, 93.623, 106.6294
4.870000, 93.728, 105.9915
4.940000, 93.874, 105.1207
5.000000, 93.995, 104.3755
5.080000, 94.154, 103.3960
5.150000, 94.290, 102.5679
5.220000, 94.422, 101.7367
5.300000, 94.570, 100.8020
5.380000, 94.714, 99.8902
5.450000, 94.837, 99.0907
5.520000, 94.958, 98.3140
5.600000, 95.093, 97.4345
5.700000, 95.256, 96.3422
5.800000, 95.415, 95.2773
5.900000, 95.569, 94.2272
6.000000, 95.717, 93.1988
6.080000, 95.833, 92.3799
6.150000, 95.931, 91.6832
6.220000, 96.028, 90.9875
6.300000, 96.136, 90.2078
6.400000, 96.266, 89.2500
6.500000, 96.393, 88.3036
6.600000, 96.515, 87.3831
6.700000, 96.634, 86.4757
6.800000, 96.750, 85.5886
6.900000, 96.862, 84.7139
7.000000, 96.972, 83.8622
7.100000, 97.079, 83.0226
7.200000, 97.182, 82.2018
7.300000, 97.284, 81.3923
7.400000, 97.383, 80.6011
7.500000, 97.480, 79.8187
