* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -32.4 dBFS, measurement signal peak level -32.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:18:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay 0.0192 ms (6.6 mm, 0.26 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.774, -144.7342
1.015000, 71.776, -145.8740
1.030000, 71.786, -146.9821
1.044000, 71.802, -147.9949
1.060000, 71.831, -149.1355
1.075000, 71.867, -150.1961
1.090000, 71.914, -151.2542
1.106000, 71.975, -152.3792
1.120000, 72.040, -153.3481
1.138000, 72.139, -154.5549
1.150000, 72.215, -155.3294
1.172000, 72.370, -156.7682
1.180000, 72.432, -157.3597
1.206000, 72.650, -159.1797
1.220000, 72.777, -160.0987
1.241000, 72.979, -161.3980
1.250000, 73.070, -161.9265
1.265000, 73.224, -162.7707
1.280000, 73.383, -163.5713
1.315000, 73.766, -165.2829
1.320000, 73.822, -165.5110
1.340000, 74.046, -166.3867
1.360000, 74.270, -167.2045
1.380000, 74.494, -168.1034
1.400000, 74.714, -169.0110
1.430000, 75.033, -170.3098
1.450000, 75.237, -171.1427
1.475000, 75.482, -172.1474
1.500000, 75.724, -173.0918
1.525000, 75.969, -173.9639
1.550000, 76.215, -174.7631
1.575000, 76.462, -175.5648
1.600000, 76.711, -176.4313
1.625000, 76.959, -177.2387
1.650000, 77.208, -177.9939
1.675000, 77.455, -178.7039
1.700000, 77.702, -179.3757
1.725000, 77.946, 179.9836
1.750000, 78.189, 179.3680
1.775000, 78.428, 178.7177
1.800000, 78.664, 177.9760
1.825000, 78.897, 177.2455
1.850000, 79.126, 176.5270
1.875000, 79.353, 175.8314
1.900000, 79.579, 175.1647
1.925000, 79.802, 174.5286
1.950000, 80.024, 173.9249
1.975000, 80.244, 173.3018
2.000000, 80.461, 172.6090
2.030000, 80.720, 171.8180
2.060000, 80.975, 171.0612
2.090000, 81.228, 170.3337
