* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -33.9 dBFS, measurement signal peak level -32.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:11:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.1022 ms (-35 mm, -1.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.5 ppm
* Measurement: Spring L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.390, -175.3333
1.015000, 71.523, -176.2014
1.030000, 71.657, -177.0384
1.044000, 71.782, -177.7999
1.060000, 71.926, -178.6554
1.075000, 72.059, -179.4509
1.090000, 72.191, 179.7551
1.106000, 72.332, 178.9150
1.120000, 72.459, 178.2040
1.138000, 72.630, 177.3421
1.150000, 72.749, 176.8040
1.172000, 72.975, 175.8069
1.180000, 73.059, 175.3774
1.206000, 73.342, 174.0840
1.220000, 73.499, 173.4460
1.241000, 73.739, 172.5619
1.250000, 73.843, 172.2083
1.265000, 74.018, 171.6509
1.280000, 74.195, 171.1307
1.315000, 74.611, 170.0463
1.320000, 74.670, 169.9045
1.340000, 74.908, 169.3663
1.360000, 75.144, 168.8733
1.380000, 75.377, 168.2867
1.400000, 75.606, 167.6797
1.430000, 75.940, 166.8108
1.450000, 76.155, 166.2514
1.475000, 76.415, 165.5745
1.500000, 76.669, 164.9402
1.525000, 76.920, 164.3601
1.550000, 77.168, 163.8349
1.575000, 77.414, 163.2907
1.600000, 77.657, 162.6666
1.625000, 77.897, 162.0884
1.650000, 78.135, 161.5510
1.675000, 78.370, 161.0493
1.700000, 78.603, 160.5781
1.725000, 78.832, 160.1321
1.750000, 79.060, 159.7066
1.775000, 79.285, 159.2433
1.800000, 79.507, 158.6868
1.825000, 79.727, 158.1400
1.850000, 79.944, 157.6014
1.875000, 80.159, 157.0781
1.900000, 80.370, 156.5748
1.925000, 80.579, 156.0939
1.950000, 80.786, 155.6376
1.975000, 80.990, 155.1551
2.000000, 81.191, 154.5972
2.030000, 81.430, 153.9620
2.060000, 81.665, 153.3559
2.090000, 81.897, 152.7759
2.120000, 82.125, 152.2183
2.140000, 82.276, 151.8572
2.180000, 82.573, 151.1027
2.200000, 82.719, 150.6841
2.240000, 83.007, 149.8599
2.270000, 83.219, 149.2557
2.300000, 83.428, 148.6672
2.330000, 83.633, 148.0969
2.360000, 83.835, 147.5452
2.400000, 84.100, 146.7218
2.430000, 84.294, 146.1112
2.470000, 84.550, 145.3275
2.500000, 84.739, 144.7610
2.540000, 84.986, 144.0308
2.580000, 85.230, 143.2819
2.620000, 85.468, 142.4630
2.650000, 85.643, 141.8589
2.690000, 85.873, 141.0688
2.720000, 86.042, 140.4907
2.760000, 86.263, 139.7453
2.800000, 86.480, 138.9382
2.850000, 86.744, 137.9556
2.900000, 87.003, 137.0173
2.950000, 87.255, 136.1142
3.000000, 87.500, 135.1573
3.040000, 87.691, 134.3768
3.070000, 87.832, 133.8008
3.110000, 88.015, 133.0488
3.150000, 88.195, 132.3176
3.200000, 88.415, 131.3798
3.250000, 88.629, 130.4544
3.300000, 88.839, 129.5664
3.350000, 89.044, 128.7030
3.400000, 89.242, 127.7952
3.450000, 89.435, 126.8812
3.500000, 89.624, 125.9920
3.550000, 89.807, 125.1345
3.600000, 89.986, 124.2656
3.650000, 90.162, 123.4130
3.700000, 90.333, 122.5877
3.750000, 90.500, 121.7783
3.820000, 90.726, 120.6097
3.870000, 90.882, 119.7861
3.950000, 91.126, 118.5233
4.000000, 91.274, 117.7384
4.060000, 91.448, 116.8136
4.120000, 91.617, 115.9141
4.180000, 91.781, 115.0254
4.250000, 91.968, 113.9702
4.310000, 92.123, 113.1004
4.370000, 92.276, 112.2592
4.440000, 92.449, 111.2720
4.500000, 92.594, 110.4481
4.550000, 92.712, 109.7775
4.620000, 92.873, 108.8268
4.680000, 93.008, 108.0296
4.750000, 93.163, 107.1328
4.820000, 93.314, 106.2340
4.870000, 93.420, 105.6005
4.940000, 93.565, 104.7351
5.000000, 93.687, 103.9938
5.080000, 93.846, 103.0191
5.150000, 93.981, 102.1944
5.220000, 94.114, 101.3660
5.300000, 94.261, 100.4336
5.380000, 94.405, 99.5237
5.450000, 94.528, 98.7256
5.520000, 94.648, 97.9504
5.600000, 94.782, 97.0723
5.700000, 94.945, 95.9813
5.800000, 95.103, 94.9178
5.900000, 95.256, 93.8696
6.000000, 95.404, 92.8431
6.080000, 95.519, 92.0260
6.150000, 95.617, 91.3310
6.220000, 95.713, 90.6371
6.300000, 95.820, 89.8597
6.400000, 95.949, 88.9050
6.500000, 96.075, 87.9619
6.600000, 96.197, 87.0445
6.700000, 96.316, 86.1403
6.800000, 96.431, 85.2563
6.900000, 96.543, 84.3844
7.000000, 96.652, 83.5352
7.100000, 96.758, 82.6975
7.200000, 96.862, 81.8784
7.300000, 96.963, 81.0703
7.400000, 97.062, 80.2800
7.500000, 97.159, 79.4981
7.620000, 97.272, 78.5794
7.750000, 97.390, 77.6059
7.880000, 97.506, 76.6441
8.000000, 97.609, 75.7773
8.120000, 97.709, 74.9237
8.250000, 97.814, 74.0142
8.380000, 97.916, 73.1243
