* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -33.2 dBFS, measurement signal peak level -32.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:25:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0377 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: Spring R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.481, -150.6473
1.015000, 70.534, -151.8385
1.030000, 70.592, -152.9842
1.044000, 70.652, -154.0213
1.060000, 70.727, -155.1784
1.075000, 70.802, -156.2448
1.090000, 70.883, -157.3000
1.106000, 70.977, -158.4106
1.120000, 71.069, -159.3541
1.138000, 71.201, -160.5101
1.150000, 71.298, -161.2404
1.172000, 71.491, -162.5800
1.180000, 71.566, -163.1306
1.206000, 71.826, -164.8040
1.220000, 71.975, -165.6374
1.241000, 72.208, -166.8028
1.250000, 72.311, -167.2725
1.265000, 72.486, -168.0178
1.280000, 72.665, -168.7188
1.315000, 73.092, -170.1997
1.320000, 73.154, -170.3954
1.340000, 73.401, -171.1428
1.360000, 73.648, -171.8354
1.380000, 73.892, -172.6127
1.400000, 74.131, -173.4025
1.430000, 74.477, -174.5317
1.450000, 74.697, -175.2563
1.475000, 74.961, -176.1293
1.500000, 75.219, -176.9443
1.525000, 75.476, -177.6893
1.550000, 75.733, -178.3648
1.575000, 75.988, -179.0471
1.600000, 76.242, -179.7991
1.625000, 76.494, 179.5029
1.650000, 76.745, 178.8518
1.675000, 76.994, 178.2409
1.700000, 77.241, 177.6633
1.725000, 77.485, 177.1123
1.750000, 77.727, 176.5821
1.775000, 77.967, 176.0133
1.800000, 78.203, 175.3497
1.825000, 78.437, 174.6943
1.850000, 78.667, 174.0484
1.875000, 78.895, 173.4233
1.900000, 79.121, 172.8247
1.925000, 79.344, 172.2542
1.950000, 79.565, 171.7135
1.975000, 79.784, 171.1505
2.000000, 80.000, 170.5153
2.030000, 80.256, 169.7897
2.060000, 80.509, 169.0948
2.090000, 80.759, 168.4259
2.120000, 81.005, 167.7780
2.140000, 81.168, 167.3551
2.180000, 81.489, 166.4727
2.200000, 81.647, 165.9881
2.240000, 81.958, 165.0337
2.270000, 82.188, 164.3361
2.300000, 82.414, 163.6580
2.330000, 82.637, 163.0013
2.360000, 82.856, 162.3658
2.400000, 83.144, 161.4334
2.430000, 83.356, 160.7417
2.470000, 83.635, 159.8491
2.500000, 83.841, 159.1990
2.540000, 84.111, 158.3535
2.580000, 84.376, 157.4847
2.620000, 84.636, 156.5450
2.650000, 84.828, 155.8513
2.690000, 85.078, 154.9439
2.720000, 85.263, 154.2792
2.760000, 85.505, 153.4201
2.800000, 85.742, 152.5004
2.850000, 86.032, 151.3772
2.900000, 86.315, 150.2961
2.950000, 86.591, 149.2461
3.000000, 86.859, 148.1390
3.040000, 87.068, 147.2378
3.070000, 87.222, 146.5716
3.110000, 87.423, 145.7002
3.150000, 87.620, 144.8513
3.200000, 87.860, 143.7680
3.250000, 88.094, 142.6989
3.300000, 88.323, 141.6673
3.350000, 88.546, 140.6581
3.400000, 88.762, 139.6021
3.450000, 88.972, 138.5397
