* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.5 dBFS, measurement signal peak level -32.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:15:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0328 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.5 ppm
* Measurement: W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.869, -169.5424
1.015000, 71.951, -170.5406
1.030000, 72.038, -171.5060
1.044000, 72.123, -172.3857
1.060000, 72.224, -173.3745
1.075000, 72.322, -174.2932
1.090000, 72.424, -175.2095
1.106000, 72.538, -176.1802
1.120000, 72.645, -177.0074
1.138000, 72.793, -178.0213
1.150000, 72.899, -178.6615
1.172000, 73.104, -179.8444
1.180000, 73.183, 179.6594
1.206000, 73.450, 178.1537
1.220000, 73.600, 177.4053
1.241000, 73.833, 176.3616
1.250000, 73.935, 175.9420
1.265000, 74.108, 175.2777
1.280000, 74.283, 174.6548
1.315000, 74.699, 173.3465
1.320000, 74.759, 173.1745
1.340000, 74.998, 172.5196
1.360000, 75.236, 171.9163
1.380000, 75.472, 171.2254
1.400000, 75.703, 170.5197
1.430000, 76.040, 169.5120
1.450000, 76.254, 168.8657
1.475000, 76.513, 168.0856
1.500000, 76.766, 167.3537
1.525000, 77.018, 166.6814
1.550000, 77.268, 166.0696
1.575000, 77.516, 165.4443
1.600000, 77.763, 164.7442
1.625000, 78.007, 164.0950
1.650000, 78.250, 163.4909
1.675000, 78.490, 162.9266
1.700000, 78.728, 162.3964
1.725000, 78.963, 161.8945
1.750000, 79.196, 161.4160
1.775000, 79.426, 160.9023
1.800000, 79.654, 160.2973
1.825000, 79.878, 159.7040
1.850000, 80.099, 159.1207
1.875000, 80.318, 158.5550
1.900000, 80.534, 158.0117
1.925000, 80.747, 157.4929
1.950000, 80.958, 157.0009
1.975000, 81.166, 156.4849
2.000000, 81.372, 155.8953
2.030000, 81.616, 155.2242
2.060000, 81.856, 154.5844
2.090000, 82.093, 153.9725
2.120000, 82.327, 153.3846
2.140000, 82.481, 153.0038
2.180000, 82.784, 152.2115
2.200000, 82.934, 151.7745
2.240000, 83.228, 150.9152
2.270000, 83.445, 150.2863
2.300000, 83.658, 149.6744
2.330000, 83.867, 149.0820
2.360000, 84.074, 148.5094
2.400000, 84.344, 147.6599
2.430000, 84.543, 147.0308
2.470000, 84.804, 146.2235
2.500000, 84.997, 145.6399
2.540000, 85.250, 144.8876
2.580000, 85.498, 144.1170
2.620000, 85.741, 143.2771
2.650000, 85.920, 142.6578
2.690000, 86.154, 141.8486
2.720000, 86.326, 141.2566
2.760000, 86.552, 140.4936
2.800000, 86.773, 139.6697
2.850000, 87.043, 138.6671
2.900000, 87.306, 137.7096
2.950000, 87.563, 136.7876
3.000000, 87.813, 135.8122
3.040000, 88.008, 135.0173
3.070000, 88.151, 134.4307
3.110000, 88.337, 133.6650
3.150000, 88.520, 132.9207
3.200000, 88.744, 131.9671
3.250000, 88.962, 131.0267
3.300000, 89.176, 130.1242
3.350000, 89.383, 129.2466
3.400000, 89.585, 128.3245
3.450000, 89.781, 127.3965
3.500000, 89.972, 126.4939
3.550000, 90.159, 125.6235
3.600000, 90.341, 124.7426
3.650000, 90.518, 123.8784
3.700000, 90.692, 123.0422
3.750000, 90.861, 122.2220
3.820000, 91.090, 121.0385
3.870000, 91.248, 120.2048
3.950000, 91.495, 118.9268
4.000000, 91.645, 118.1334
4.060000, 91.820, 117.1991
4.120000, 91.991, 116.2905
4.180000, 92.157, 115.3930
4.250000, 92.345, 114.3282
4.310000, 92.502, 113.4510
4.370000, 92.656, 112.6030
4.440000, 92.831, 111.6087
4.500000, 92.977, 110.7793
4.550000, 93.096, 110.1044
4.620000, 93.259, 109.1483
4.680000, 93.395, 108.3466
4.750000, 93.551, 107.4453
4.820000, 93.703, 106.5424
4.870000, 93.810, 105.9062
4.940000, 93.956, 105.0375
5.000000, 94.079, 104.2936
5.080000, 94.239, 103.3154
5.150000, 94.376, 102.4878
5.220000, 94.509, 101.6566
5.300000, 94.658, 100.7211
5.380000, 94.803, 99.8080
5.450000, 94.927, 99.0073
5.520000, 95.049, 98.2291
5.600000, 95.184, 97.3474
5.700000, 95.348, 96.2517
5.800000, 95.507, 95.1834
5.900000, 95.661, 94.1300
6.000000, 95.810, 93.0981
6.080000, 95.926, 92.2765
6.150000, 96.024, 91.5775
6.220000, 96.121, 90.8798
6.300000, 96.228, 90.0981
6.400000, 96.358, 89.1379
6.500000, 96.484, 88.1896
6.600000, 96.607, 87.2674
6.700000, 96.725, 86.3590
6.800000, 96.840, 85.4712
6.900000, 96.952, 84.5960
7.000000, 97.061, 83.7440
7.100000, 97.168, 82.9043
7.200000, 97.271, 82.0836
7.300000, 97.372, 81.2740
7.400000, 97.471, 80.4827
7.500000, 97.568, 79.7001
7.620000, 97.681, 78.7806
7.750000, 97.800, 77.8059
7.880000, 97.916, 76.8426
8.000000, 98.019, 75.9737
8.120000, 98.120, 75.1173
8.250000, 98.225, 74.2037
8.380000, 98.328, 73.3088
8.500000, 98.419, 72.4949
8.620000, 98.508, 71.6953
8.750000, 98.601, 70.8452
8.850000, 98.670, 70.2016
9.000000, 98.770, 69.2582
9.120000, 98.848, 68.5183
9.250000, 98.930, 67.7334
9.380000, 99.010, 66.9676
9.500000, 99.082, 66.2716
9.620000, 99.153, 65.5914
9.750000, 99.227, 64.8687
9.880000, 99.293, 64.1579
10.000000, 99.342, 63.5172
