* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -32.5 dBFS, measurement signal peak level -32.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.5 dBFS using an acoustic timing reference
* Dated: May 4, 2025 12:30:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay 0.0474 ms (16 mm, 0.64 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.031, -148.0157
1.015000, 71.066, -149.2289
1.030000, 71.109, -150.3986
1.044000, 71.154, -151.4599
1.060000, 71.214, -152.6462
1.075000, 71.277, -153.7413
1.090000, 71.346, -154.8265
1.106000, 71.431, -155.9710
1.120000, 71.514, -156.9466
1.138000, 71.637, -158.1470
1.150000, 71.728, -158.9085
1.172000, 71.912, -160.3077
1.180000, 71.984, -160.8804
1.206000, 72.235, -162.6266
1.220000, 72.379, -163.4992
1.241000, 72.607, -164.7226
1.250000, 72.707, -165.2168
1.265000, 72.879, -166.0023
1.280000, 73.055, -166.7426
1.315000, 73.476, -168.3114
1.320000, 73.536, -168.5191
1.340000, 73.781, -169.3138
1.360000, 74.025, -170.0517
1.380000, 74.266, -170.8726
1.400000, 74.503, -171.7041
1.430000, 74.847, -172.8931
1.450000, 75.065, -173.6557
1.475000, 75.325, -174.5745
1.500000, 75.582, -175.4335
1.525000, 75.837, -176.2204
1.550000, 76.093, -176.9359
1.575000, 76.348, -177.6560
1.600000, 76.603, -178.4437
1.625000, 76.856, -179.1754
1.650000, 77.108, -179.8583
1.675000, 77.358, 179.5005
1.700000, 77.607, 178.8941
1.725000, 77.853, 178.3156
1.750000, 78.097, 177.7590
1.775000, 78.338, 177.1648
1.800000, 78.576, 176.4765
1.825000, 78.811, 175.7970
1.850000, 79.042, 175.1276
1.875000, 79.272, 174.4798
1.900000, 79.499, 173.8594
1.925000, 79.723, 173.2682
1.950000, 79.946, 172.7076
1.975000, 80.166, 172.1257
2.000000, 80.383, 171.4723
2.030000, 80.642, 170.7262
2.060000, 80.897, 170.0117
2.090000, 81.148, 169.3239
2.120000, 81.397, 168.6579
2.140000, 81.560, 168.2233
2.180000, 81.883, 167.3181
2.200000, 82.043, 166.8223
2.240000, 82.356, 165.8460
2.270000, 82.588, 165.1325
2.300000, 82.815, 164.4392
2.330000, 83.040, 163.7679
2.360000, 83.261, 163.1183
2.400000, 83.551, 162.1681
2.430000, 83.765, 161.4636
2.470000, 84.045, 160.5546
2.500000, 84.252, 159.8927
2.540000, 84.524, 159.0320
2.580000, 84.791, 158.1482
2.620000, 85.053, 157.1937
2.650000, 85.246, 156.4892
2.690000, 85.498, 155.5677
2.720000, 85.684, 154.8927
2.760000, 85.928, 154.0204
2.800000, 86.166, 153.0881
2.850000, 86.458, 151.9500
2.900000, 86.743, 150.8547
2.950000, 87.020, 149.7911
3.000000, 87.290, 148.6706
3.040000, 87.500, 147.7588
3.070000, 87.654, 147.0848
3.110000, 87.856, 146.2033
3.150000, 88.054, 145.3446
3.200000, 88.295, 144.2499
