* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -16.4 dBFS, measurement signal peak level -13.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -38.1 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:12:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0704 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -24.9 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.048, -159.6122
1.015000, 82.188, -161.2175
1.030000, 82.332, -162.8359
1.044000, 82.468, -164.3620
1.060000, 82.628, -166.1288
1.075000, 82.783, -167.8116
1.090000, 82.942, -169.5235
1.106000, 83.117, -171.3813
1.120000, 83.276, -173.0249
1.138000, 83.488, -175.1460
1.150000, 83.633, -176.5572
1.172000, 83.906, -179.1264
1.180000, 84.007, 179.9456
1.206000, 84.342, 176.9837
1.220000, 84.525, 175.4290
1.241000, 84.803, 173.1569
1.250000, 84.923, 172.2063
1.265000, 85.122, 170.6539
1.280000, 85.322, 169.1420
1.315000, 85.783, 165.7692
1.320000, 85.848, 165.3046
1.340000, 86.106, 163.4872
1.360000, 86.358, 161.7333
1.380000, 86.603, 159.9997
1.400000, 86.839, 158.3040
1.430000, 87.175, 155.8461
1.450000, 87.384, 154.2567
1.475000, 87.628, 152.3229
1.500000, 87.855, 150.4626
1.525000, 88.068, 148.6873
1.550000, 88.268, 146.9996
1.575000, 88.457, 145.3809
1.600000, 88.637, 143.8138
1.625000, 88.808, 142.3239
1.650000, 88.973, 140.9049
1.675000, 89.132, 139.5498
1.700000, 89.288, 138.2517
1.725000, 89.442, 137.0034
1.750000, 89.594, 135.7980
1.775000, 89.748, 134.6147
1.800000, 89.904, 133.4340
1.825000, 90.063, 132.2790
1.850000, 90.224, 131.1501
1.875000, 90.385, 130.0547
1.900000, 90.545, 128.9968
1.925000, 90.703, 127.9774
1.950000, 90.860, 126.9968
1.975000, 91.014, 126.0428
2.000000, 91.168, 125.1033
2.030000, 91.349, 124.0213
2.060000, 91.527, 122.9835
2.090000, 91.702, 121.9852
2.120000, 91.874, 121.0214
2.140000, 91.986, 120.3955
2.180000, 92.207, 119.1575
2.200000, 92.315, 118.5340
2.240000, 92.525, 117.3147
2.270000, 92.679, 116.4270
2.300000, 92.829, 115.5647
2.330000, 92.976, 114.7289
2.360000, 93.120, 113.9198
2.400000, 93.307, 112.8440
2.430000, 93.444, 112.0616
2.470000, 93.622, 111.0555
2.500000, 93.754, 110.3264
2.540000, 93.925, 109.3844
2.580000, 94.093, 108.4554
2.620000, 94.256, 107.5171
2.650000, 94.375, 106.8282
2.690000, 94.529, 105.9317
2.720000, 94.642, 105.2773
2.760000, 94.789, 104.4318
2.800000, 94.932, 103.5799
2.850000, 95.105, 102.5515
2.900000, 95.274, 101.5682
2.950000, 95.438, 100.6224
3.000000, 95.596, 99.6736
3.040000, 95.718, 98.9211
3.070000, 95.807, 98.3681
3.110000, 95.923, 97.6480
3.150000, 96.036, 96.9489
3.200000, 96.173, 96.0767
3.250000, 96.307, 95.2262
3.300000, 96.437, 94.4091
3.350000, 96.563, 93.6167
3.400000, 96.685, 92.8173
3.450000, 96.803, 92.0274
3.500000, 96.917, 91.2605
3.550000, 97.028, 90.5196
3.600000, 97.136, 89.7795
3.650000, 97.242, 89.0549
3.700000, 97.346, 88.3524
3.750000, 97.448, 87.6658
3.820000, 97.585, 86.7022
3.870000, 97.680, 86.0278
3.950000, 97.827, 84.9865
4.000000, 97.917, 84.3361
4.060000, 98.023, 83.5645
4.120000, 98.126, 82.8102
4.180000, 98.226, 82.0655
4.250000, 98.340, 81.1890
4.310000, 98.434, 80.4576
4.370000, 98.526, 79.7403
4.440000, 98.631, 78.8923
4.500000, 98.719, 78.1751
4.550000, 98.790, 77.5854
4.620000, 98.887, 76.7499
4.680000, 98.967, 76.0421
4.750000, 99.058, 75.2331
4.820000, 99.146, 74.4139
4.870000, 99.207, 73.8286
4.940000, 99.289, 73.0179
5.000000, 99.357, 72.3193
5.080000, 99.444, 71.3951
5.150000, 99.516, 70.6035
5.220000, 99.585, 69.7997
5.300000, 99.660, 68.8826
5.380000, 99.730, 67.9801
5.450000, 99.788, 67.1908
5.520000, 99.841, 66.4229
5.600000, 99.898, 65.5486
5.700000, 99.961, 64.4593
5.800000, 100.019, 63.4034
5.900000, 100.071, 62.3788
6.000000, 100.117, 61.3831
6.080000, 100.150, 60.5996
6.150000, 100.177, 59.9419
6.220000, 100.202, 59.2946
6.300000, 100.227, 58.5819
6.400000, 100.256, 57.7215
6.500000, 100.282, 56.8897
6.600000, 100.307, 56.1021
6.700000, 100.332, 55.3442
6.800000, 100.356, 54.6240
6.900000, 100.379, 53.9305
7.000000, 100.404, 53.2750
7.100000, 100.428, 52.6473
7.200000, 100.453, 52.0507
7.300000, 100.480, 51.4722
7.400000, 100.511, 50.9201
7.500000, 100.545, 50.3867
7.620000, 100.589, 49.7679
7.750000, 100.641, 49.1134
7.880000, 100.698, 48.4669
8.000000, 100.755, 47.8783
8.120000, 100.816, 47.2801
8.250000, 100.887, 46.6264
8.380000, 100.963, 45.9590
8.500000, 101.035, 45.3170
8.620000, 101.109, 44.6562
8.750000, 101.192, 43.9086
8.850000, 101.256, 43.3032
9.000000, 101.352, 42.3546
9.120000, 101.427, 41.5520
9.250000, 101.505, 40.6342
9.380000, 101.578, 39.6743
9.500000, 101.639, 38.7498
9.620000, 101.692, 37.7971
9.750000, 101.738, 36.7353
9.880000, 101.765, 35.6690
10.000000, 101.768, 34.6931
10.150000, 101.747, 33.4605
10.300000, 101.701, 32.3024
10.440000, 101.636, 31.2982
10.600000, 101.544, 30.2754
10.750000, 101.447, 29.4717
10.900000, 101.344, 28.8233
11.060000, 101.237, 28.2944
11.200000, 101.149, 27.9519
11.380000, 101.053, 27.7081
11.500000, 101.003, 27.6597
11.720000, 100.949, 27.7216
11.800000, 100.944, 27.7680
12.060000, 100.982, 27.8916
12.200000, 101.034, 27.8434
12.410000, 101.140, 27.6147
12.500000, 101.190, 27.4420
12.650000, 101.275, 27.0528
12.800000, 101.357, 26.5479
13.150000, 101.508, 24.9463
13.200000, 101.524, 24.6816
13.400000, 101.568, 23.5909
13.600000, 101.584, 22.5156
13.800000, 101.573, 21.5165
14.000000, 101.542, 20.6450
14.300000, 101.475, 19.5739
14.500000, 101.430, 19.0690
14.750000, 101.388, 18.6292
15.000000, 101.373, 18.3240
15.250000, 101.391, 18.0000
15.500000, 101.431, 17.6208
15.750000, 101.479, 17.1393
16.000000, 101.524, 16.5434
16.250000, 101.556, 15.8213
16.500000, 101.568, 15.0687
16.750000, 101.560, 14.3483
17.000000, 101.537, 13.7077
17.250000, 101.507, 13.1450
17.500000, 101.476, 12.6957
17.750000, 101.451, 12.3415
18.000000, 101.435, 12.0416
18.250000, 101.429, 11.7262
18.500000, 101.431, 11.3896
18.750000, 101.435, 11.0193
19.000000, 101.438, 10.6144
19.250000, 101.437, 10.1611
19.500000, 101.431, 9.7092
19.750000, 101.420, 9.2781
20.000000, 101.406, 8.8795
20.299999, 101.391, 8.4117
20.600000, 101.379, 7.9787
20.900000, 101.374, 7.5574
21.200001, 101.372, 7.1058
21.400000, 101.372, 6.7853
21.799999, 101.369, 6.1105
22.000000, 101.365, 5.7595
22.400000, 101.349, 5.0300
22.700001, 101.328, 4.5127
23.000000, 101.301, 4.0491
23.299999, 101.270, 3.6448
23.600000, 101.241, 3.3197
24.000000, 101.213, 2.9849
24.299999, 101.204, 2.7505
24.700001, 101.202, 2.4219
25.000000, 101.202, 2.1437
25.400000, 101.197, 1.7235
25.799999, 101.182, 1.3116
26.200001, 101.163, 0.9189
26.500000, 101.151, 0.6194
26.900000, 101.139, 0.1790
27.200001, 101.127, -0.2161
27.600000, 101.098, -0.8199
28.000000, 101.048, -1.4454
28.500000, 100.961, -2.1482
29.000000, 100.871, -2.6432
29.500000, 100.808, -2.9906
30.000000, 100.784, -3.3700
30.400000, 100.780, -3.8256
