* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -17.2 dBFS, measurement signal peak level -13.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -38.1 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 11:15:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0710 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -24.6 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.124, 120.9102
1.015000, 82.336, 121.0978
1.030000, 82.546, 121.2723
1.044000, 82.741, 121.4230
1.060000, 82.961, 121.5805
1.075000, 83.165, 121.7138
1.090000, 83.368, 121.8349
1.106000, 83.582, 121.9615
1.120000, 83.769, 122.0877
1.138000, 84.009, 122.2789
1.150000, 84.168, 122.4219
1.172000, 84.459, 122.7030
1.180000, 84.564, 122.8060
1.206000, 84.903, 123.1514
1.220000, 85.083, 123.3392
1.241000, 85.351, 123.6165
1.250000, 85.464, 123.7322
1.265000, 85.651, 123.9187
1.280000, 85.835, 124.0955
1.315000, 86.253, 124.4602
1.320000, 86.311, 124.5059
1.340000, 86.540, 124.6710
1.360000, 86.762, 124.8067
1.380000, 86.976, 124.8727
1.400000, 87.183, 124.8902
1.430000, 87.476, 124.8503
1.450000, 87.660, 124.7805
1.475000, 87.875, 124.6645
1.500000, 88.071, 124.5658
1.525000, 88.248, 124.4997
1.550000, 88.410, 124.4571
1.575000, 88.557, 124.4099
1.600000, 88.693, 124.3348
1.625000, 88.818, 124.2538
1.650000, 88.937, 124.1595
1.675000, 89.050, 124.0455
1.700000, 89.161, 123.9063
1.725000, 89.271, 123.7371
1.750000, 89.382, 123.5343
1.775000, 89.498, 123.2804
1.800000, 89.619, 122.9601
1.825000, 89.747, 122.6038
1.850000, 89.882, 122.2302
1.875000, 90.019, 121.8651
1.900000, 90.157, 121.5146
1.925000, 90.296, 121.1759
1.950000, 90.435, 120.8451
1.975000, 90.574, 120.5072
2.000000, 90.713, 120.1477
2.030000, 90.880, 119.7119
2.060000, 91.045, 119.2647
2.090000, 91.209, 118.8004
2.120000, 91.372, 118.3143
2.140000, 91.479, 117.9758
2.180000, 91.690, 117.2411
2.200000, 91.794, 116.8383
2.240000, 92.000, 116.0249
2.270000, 92.153, 115.4219
2.300000, 92.304, 114.8276
2.330000, 92.454, 114.2412
2.360000, 92.602, 113.6608
2.400000, 92.798, 112.8554
2.430000, 92.942, 112.2479
2.470000, 93.132, 111.4357
2.500000, 93.272, 110.8214
2.540000, 93.455, 109.9906
2.580000, 93.635, 109.1301
2.620000, 93.811, 108.2334
2.650000, 93.941, 107.5639
2.690000, 94.112, 106.6794
2.720000, 94.237, 106.0242
2.760000, 94.401, 105.1645
2.800000, 94.562, 104.2829
2.850000, 94.759, 103.1944
2.900000, 94.949, 102.1231
2.950000, 95.134, 101.0602
3.000000, 95.313, 99.9697
3.040000, 95.452, 99.0915
3.070000, 95.554, 98.4392
3.110000, 95.688, 97.5824
3.150000, 95.817, 96.7436
3.200000, 95.975, 95.6949
3.250000, 96.129, 94.6672
3.300000, 96.278, 93.6712
3.350000, 96.422, 92.6930
3.400000, 96.560, 91.6996
3.450000, 96.694, 90.7128
3.500000, 96.824, 89.7513
3.550000, 96.950, 88.8230
3.600000, 97.073, 87.9061
3.650000, 97.193, 87.0172
3.700000, 97.310, 86.1594
3.750000, 97.424, 85.3210
