* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.6 dBFS, measurement signal peak level -33.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.7 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:27:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0287 ms (-9.8 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.2 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.619, -141.8461
1.015000, 62.764, -142.8936
1.030000, 62.911, -143.9038
1.044000, 63.051, -144.8202
1.060000, 63.212, -145.8439
1.075000, 63.363, -146.7863
1.090000, 63.515, -147.7133
1.106000, 63.678, -148.6654
1.120000, 63.828, -149.4294
1.138000, 64.032, -150.2934
1.150000, 64.175, -150.7979
1.172000, 64.450, -151.6777
1.180000, 64.554, -152.0509
1.206000, 64.905, -153.1283
1.220000, 65.101, -153.6366
1.241000, 65.403, -154.3195
1.250000, 65.534, -154.5866
1.265000, 65.756, -155.0021
1.280000, 65.981, -155.3850
1.315000, 66.510, -156.1780
1.320000, 66.586, -156.2821
1.340000, 66.890, -156.6807
1.360000, 67.192, -157.0525
1.380000, 67.490, -157.5364
1.400000, 67.783, -158.0589
1.430000, 68.208, -158.8326
1.450000, 68.481, -159.3458
1.475000, 68.809, -159.9657
1.500000, 69.131, -160.5060
1.525000, 69.448, -160.9487
1.550000, 69.763, -161.3056
1.575000, 70.074, -161.6633
1.600000, 70.382, -162.0933
1.625000, 70.687, -162.4781
1.650000, 70.990, -162.8297
1.675000, 71.289, -163.1581
1.700000, 71.585, -163.4724
1.725000, 71.878, -163.7805
1.750000, 72.168, -164.0887
1.775000, 72.455, -164.4561
1.800000, 72.739, -164.9382
1.825000, 73.021, -165.4278
1.850000, 73.299, -165.9102
1.875000, 73.575, -166.3596
1.900000, 73.847, -166.7699
1.925000, 74.116, -167.1440
1.950000, 74.382, -167.4854
1.975000, 74.646, -167.8500
2.000000, 74.906, -168.2915
2.030000, 75.214, -168.7942
2.060000, 75.519, -169.2805
2.090000, 75.820, -169.7576
2.120000, 76.117, -170.2321
2.140000, 76.313, -170.5502
2.180000, 76.700, -171.2481
2.200000, 76.891, -171.6493
2.240000, 77.268, -172.4331
2.270000, 77.546, -172.9918
2.300000, 77.820, -173.5245
2.330000, 78.090, -174.0334
2.360000, 78.356, -174.5224
2.400000, 78.706, -175.2672
2.430000, 78.964, -175.8273
2.470000, 79.303, -176.5604
2.500000, 79.553, -177.1049
2.540000, 79.882, -177.8294
2.580000, 80.206, -178.5931
2.620000, 80.524, -179.4253
2.650000, 80.759, 179.9672
2.690000, 81.066, 179.1790
2.720000, 81.293, 178.6042
2.760000, 81.590, 177.8616
2.800000, 81.883, 177.0507
2.850000, 82.240, 176.0469
