* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.4 dBFS, measurement signal peak level -33.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.7 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:29:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0310 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.2 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.979, -142.1962
1.015000, 62.145, -143.1913
1.030000, 62.312, -144.1477
1.044000, 62.469, -145.0129
1.060000, 62.647, -145.9770
1.075000, 62.812, -146.8626
1.090000, 62.975, -147.7321
1.106000, 63.149, -148.6218
1.120000, 63.306, -149.3303
1.138000, 63.519, -150.1230
1.150000, 63.666, -150.5803
1.172000, 63.949, -151.3759
1.180000, 64.055, -151.7193
1.206000, 64.411, -152.7036
1.220000, 64.609, -153.1643
1.241000, 64.912, -153.7794
1.250000, 65.044, -154.0187
1.265000, 65.266, -154.3894
1.280000, 65.491, -154.7296
1.315000, 66.019, -155.4302
1.320000, 66.094, -155.5218
1.340000, 66.396, -155.8724
1.360000, 66.696, -156.1989
1.380000, 66.993, -156.6399
1.400000, 67.284, -157.1216
1.430000, 67.708, -157.8377
1.450000, 67.980, -158.3146
1.475000, 68.308, -158.8912
1.500000, 68.629, -159.3905
1.525000, 68.946, -159.7949
1.550000, 69.260, -160.1159
1.575000, 69.570, -160.4403
1.600000, 69.876, -160.8394
1.625000, 70.180, -161.1954
1.650000, 70.480, -161.5201
1.675000, 70.777, -161.8235
1.700000, 71.070, -162.1142
1.725000, 71.361, -162.4001
1.750000, 71.649, -162.6872
1.775000, 71.935, -163.0345
1.800000, 72.218, -163.4973
1.825000, 72.498, -163.9683
1.850000, 72.775, -164.4326
1.875000, 73.049, -164.8645
1.900000, 73.320, -165.2579
1.925000, 73.588, -165.6158
1.950000, 73.853, -165.9419
1.975000, 74.116, -166.2921
2.000000, 74.375, -166.7198
2.030000, 74.682, -167.2070
2.060000, 74.986, -167.6786
2.090000, 75.286, -168.1419
2.120000, 75.582, -168.6034
2.140000, 75.778, -168.9131
2.180000, 76.164, -169.5945
2.200000, 76.355, -169.9876
2.240000, 76.731, -170.7549
2.270000, 77.009, -171.3011
2.300000, 77.283, -171.8214
2.330000, 77.553, -172.3181
2.360000, 77.819, -172.7953
2.400000, 78.169, -173.5250
2.430000, 78.427, -174.0742
2.470000, 78.766, -174.7937
2.500000, 79.017, -175.3284
2.540000, 79.347, -176.0404
2.580000, 79.672, -176.7916
2.620000, 79.991, -177.6103
2.650000, 80.227, -178.2071
2.690000, 80.535, -178.9807
2.720000, 80.763, -179.5446
2.760000, 81.063, 179.7271
2.800000, 81.356, 178.9299
2.850000, 81.717, 177.9422
2.900000, 82.069, 176.9724
2.950000, 82.414, 176.0139
3.000000, 82.751, 174.9992
3.040000, 83.014, 174.1770
3.070000, 83.209, 173.5714
3.110000, 83.463, 172.7797
3.150000, 83.713, 172.0063
3.200000, 84.020, 171.0072
3.250000, 84.320, 170.0060
3.300000, 84.614, 169.0251
3.350000, 84.901, 168.0603
3.400000, 85.181, 167.0512
3.450000, 85.455, 166.0370
3.500000, 85.722, 165.0466
3.550000, 85.983, 164.0841
3.600000, 86.240, 163.1030
3.650000, 86.490, 162.1281
3.700000, 86.736, 161.1721
3.750000, 86.976, 160.2283
3.820000, 87.302, 158.8698
3.870000, 87.529, 157.9093
3.950000, 87.882, 156.4228
4.000000, 88.097, 155.4929
4.060000, 88.350, 154.3875
4.120000, 88.597, 153.3024
4.180000, 88.837, 152.2257
4.250000, 89.109, 150.9500
4.310000, 89.337, 149.8903
4.370000, 89.560, 148.8573
4.440000, 89.814, 147.6425
4.500000, 90.026, 146.6203
4.550000, 90.198, 145.7834
4.620000, 90.435, 144.5997
4.680000, 90.633, 143.6031
4.750000, 90.860, 142.4744
4.820000, 91.081, 141.3428
4.870000, 91.236, 140.5422
4.940000, 91.449, 139.4425
5.000000, 91.627, 138.5011
5.080000, 91.859, 137.2610
5.150000, 92.058, 136.2054
5.220000, 92.252, 135.1460
5.300000, 92.468, 133.9496
5.380000, 92.679, 132.7767
5.450000, 92.859, 131.7495
5.520000, 93.036, 130.7455
5.600000, 93.234, 129.6056
5.700000, 93.474, 128.1871
5.800000, 93.707, 126.7962
5.900000, 93.933, 125.4196
6.000000, 94.152, 124.0620
6.080000, 94.322, 122.9787
6.150000, 94.468, 122.0502
6.220000, 94.610, 121.1220
6.300000, 94.769, 120.0745
6.400000, 94.962, 118.7785
6.500000, 95.148, 117.4923
6.600000, 95.329, 116.2313
6.700000, 95.504, 114.9804
6.800000, 95.672, 113.7468
6.900000, 95.836, 112.5264
7.000000, 95.993, 111.3307
7.100000, 96.146, 110.1458
7.200000, 96.293, 108.9805
7.300000, 96.436, 107.8314
7.400000, 96.574, 106.7054
7.500000, 96.707, 105.5907
7.620000, 96.862, 104.2801
7.750000, 97.023, 102.8952
