* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.2 dBFS, measurement signal peak level -33.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.7 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:37:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0297 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.4 ppm
* Measurement: Wide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.269, -138.7329
1.015000, 63.384, -139.8434
1.030000, 63.503, -140.9114
1.044000, 63.617, -141.8775
1.060000, 63.751, -142.9538
1.075000, 63.878, -143.9423
1.090000, 64.008, -144.9136
1.106000, 64.150, -145.9149
1.120000, 64.282, -146.7287
1.138000, 64.465, -147.6672
1.150000, 64.595, -148.2265
1.172000, 64.849, -149.2140
1.180000, 64.945, -149.6276
1.206000, 65.273, -150.8383
1.220000, 65.457, -151.4181
1.241000, 65.743, -152.2058
1.250000, 65.868, -152.5165
1.265000, 66.079, -153.0025
1.280000, 66.294, -153.4532
1.315000, 66.802, -154.3916
1.320000, 66.875, -154.5149
1.340000, 67.168, -154.9866
1.360000, 67.458, -155.4254
1.380000, 67.746, -155.9702
1.400000, 68.028, -156.5479
1.430000, 68.437, -157.3943
1.450000, 68.699, -157.9501
1.475000, 69.013, -158.6197
1.500000, 69.320, -159.2123
1.525000, 69.625, -159.7112
1.550000, 69.927, -160.1263
1.575000, 70.226, -160.5425
1.600000, 70.523, -161.0299
1.625000, 70.817, -161.4700
1.650000, 71.109, -161.8741
1.675000, 71.398, -162.2516
1.700000, 71.684, -162.6113
1.725000, 71.968, -162.9610
1.750000, 72.249, -163.3069
1.775000, 72.527, -163.7081
1.800000, 72.802, -164.2202
1.825000, 73.075, -164.7367
1.850000, 73.344, -165.2450
1.875000, 73.611, -165.7217
1.900000, 73.875, -166.1605
1.925000, 74.136, -166.5641
1.950000, 74.394, -166.9351
1.975000, 74.650, -167.3289
2.000000, 74.903, -167.7987
2.030000, 75.203, -168.3336
2.060000, 75.499, -168.8497
2.090000, 75.792, -169.3537
2.120000, 76.081, -169.8522
2.140000, 76.272, -170.1844
2.180000, 76.649, -170.9059
2.200000, 76.835, -171.3170
2.240000, 77.203, -172.1198
2.270000, 77.474, -172.6929
2.300000, 77.741, -173.2402
2.330000, 78.005, -173.7635
2.360000, 78.265, -174.2665
2.400000, 78.607, -175.0285
2.430000, 78.860, -175.6003
2.470000, 79.191, -176.3470
2.500000, 79.437, -176.8997
2.540000, 79.760, -177.6325
2.580000, 80.078, -178.4016
2.620000, 80.390, -179.2372
2.650000, 80.620, -179.8466
2.690000, 80.923, 179.3633
2.720000, 81.146, 178.7874
2.760000, 81.439, 178.0437
2.800000, 81.727, 177.2323
2.850000, 82.080, 176.2289
2.900000, 82.426, 175.2460
2.950000, 82.765, 174.2770
3.000000, 83.095, 173.2532
3.040000, 83.354, 172.4242
3.070000, 83.545, 171.8136
3.110000, 83.795, 171.0156
3.150000, 84.041, 170.2362
3.200000, 84.342, 169.2299
3.250000, 84.637, 168.2220
3.300000, 84.927, 167.2354
3.350000, 85.210, 166.2655
3.400000, 85.486, 165.2521
3.450000, 85.756, 164.2339
3.500000, 86.020, 163.2394
3.550000, 86.278, 162.2722
3.600000, 86.531, 161.2858
3.650000, 86.779, 160.3049
3.700000, 87.022, 159.3424
3.750000, 87.259, 158.3923
3.820000, 87.582, 157.0247
3.870000, 87.807, 156.0571
3.950000, 88.158, 154.5569
4.000000, 88.372, 153.6166
4.060000, 88.623, 152.4968
4.120000, 88.868, 151.3959
4.180000, 89.106, 150.3025
4.250000, 89.377, 149.0056
4.310000, 89.604, 147.9259
4.370000, 89.825, 146.8708
4.440000, 90.078, 145.6273
4.500000, 90.289, 144.5782
4.550000, 90.460, 143.7174
4.620000, 90.695, 142.4991
4.680000, 90.892, 141.4716
4.750000, 91.116, 140.3055
4.820000, 91.335, 139.1341
4.870000, 91.488, 138.3032
4.940000, 91.697, 137.1594
5.000000, 91.873, 136.1798
5.080000, 92.101, 134.8896
5.150000, 92.295, 133.7906
5.220000, 92.484, 132.6866
5.300000, 92.694, 131.4382
5.380000, 92.898, 130.2142
5.450000, 93.072, 129.1454
5.520000, 93.242, 128.1028
5.600000, 93.431, 126.9201
5.700000, 93.660, 125.4505
5.800000, 93.881, 124.0150
5.900000, 94.095, 122.6030
6.000000, 94.301, 121.2169
6.080000, 94.461, 120.1151
6.150000, 94.598, 119.1744
6.220000, 94.731, 118.2386
6.300000, 94.880, 117.1880
6.400000, 95.061, 115.8951
6.500000, 95.236, 114.6181
6.600000, 95.405, 113.3721
6.700000, 95.570, 112.1430
6.800000, 95.730, 110.9367
6.900000, 95.886, 109.7457
7.000000, 96.038, 108.5803
7.100000, 96.185, 107.4279
7.200000, 96.329, 106.2954
7.300000, 96.468, 105.1759
7.400000, 96.605, 104.0754
7.500000, 96.738, 102.9835
7.620000, 96.892, 101.6942
7.750000, 97.054, 100.3211
7.880000, 97.210, 98.9601
8.000000, 97.349, 97.7264
8.120000, 97.483, 96.5086
8.250000, 97.622, 95.2056
8.380000, 97.756, 93.9259
8.500000, 97.875, 92.7620
8.620000, 97.988, 91.6161
8.750000, 98.106, 90.3970
8.850000, 98.194, 89.4749
9.000000, 98.319, 88.1209
9.120000, 98.415, 87.0600
9.250000, 98.516, 85.9359
9.380000, 98.613, 84.8383
9.500000, 98.699, 83.8439
9.620000, 98.784, 82.8729
9.750000, 98.871, 81.8427
9.880000, 98.949, 80.8325
10.000000, 99.010, 79.9225
10.150000, 99.073, 78.7834
10.300000, 99.127, 77.6747
10.440000, 99.171, 76.6651
10.600000, 99.219, 75.5382
10.750000, 99.264, 74.5054
10.900000, 99.309, 73.4936
11.060000, 99.355, 72.4191
11.200000, 99.394, 71.4714
11.380000, 99.441, 70.2768
11.500000, 99.470, 69.4949
11.720000, 99.521, 68.0927
11.800000, 99.539, 67.5934
12.060000, 99.597, 65.9965
12.200000, 99.628, 65.1399
12.410000, 99.674, 63.8902
12.500000, 99.692, 63.3682
12.650000, 99.721, 62.5158
12.800000, 99.749, 61.6853
13.150000, 99.808, 59.8041
13.200000, 99.816, 59.5393
13.400000, 99.850, 58.5004
13.600000, 99.885, 57.4912
13.800000, 99.919, 56.5086
14.000000, 99.953, 55.5474
14.300000, 100.000, 54.1107
14.500000, 100.030, 53.1764
14.750000, 100.063, 52.0371
15.000000, 100.096, 50.9291
15.250000, 100.129, 49.8299
15.500000, 100.162, 48.7649
15.750000, 100.191, 47.7353
16.000000, 100.219, 46.7392
16.250000, 100.245, 45.7532
16.500000, 100.269, 44.7956
16.750000, 100.292, 43.8647
17.000000, 100.315, 42.9570
17.250000, 100.337, 42.0574
17.500000, 100.358, 41.1792
17.750000, 100.378, 40.3235
18.000000, 100.396, 39.4877
18.250000, 100.412, 38.6589
18.500000, 100.427, 37.8476
18.750000, 100.441, 37.0546
19.000000, 100.455, 36.2794
19.250000, 100.468, 35.5095
19.500000, 100.479, 34.7589
19.750000, 100.490, 34.0288
20.000000, 100.499, 33.3195
20.299999, 100.509, 32.4812
20.600000, 100.518, 31.6689
20.900000, 100.528, 30.8788
21.200001, 100.536, 30.0983
21.400000, 100.541, 29.5836
21.799999, 100.549, 28.5731
22.000000, 100.552, 28.0771
22.400000, 100.555, 27.0956
22.700001, 100.556, 26.3815
23.000000, 100.556, 25.6871
23.299999, 100.555, 25.0055
23.600000, 100.553, 24.3414
24.000000, 100.551, 23.4798
24.299999, 100.549, 22.8427
24.700001, 100.545, 22.0142
25.000000, 100.541, 21.4111
25.400000, 100.534, 20.6257
25.799999, 100.527, 19.8700
26.200001, 100.520, 19.1318
26.500000, 100.514, 18.5831
26.900000, 100.506, 17.8599
27.200001, 100.499, 17.3230
27.600000, 100.486, 16.6263
28.000000, 100.472, 15.9620
28.500000, 100.455, 15.1622
29.000000, 100.442, 14.3696
29.500000, 100.425, 13.5586
30.000000, 100.399, 12.7666
30.400000, 100.373, 12.1790
30.700001, 100.353, 11.7757
31.100000, 100.331, 11.2719
31.500000, 100.316, 10.7695
32.000000, 100.303, 10.1027
32.500000, 100.284, 9.3915
33.000000, 100.256, 8.6965
33.500000, 100.224, 8.0574
34.000000, 100.197, 7.4645
34.500000, 100.176, 6.8743
35.000000, 100.155, 6.2747
35.500000, 100.130, 5.6827
36.000000, 100.103, 5.1215
36.500000, 100.078, 4.5825
37.000000, 100.053, 4.0519
37.500000, 100.027, 3.5256
38.200001, 99.987, 2.8218
38.700001, 99.958, 2.3430
39.500000, 99.914, 1.5885
40.000000, 99.885, 1.1245
40.599998, 99.849, 0.5868
41.200001, 99.814, 0.0700
41.799999, 99.779, -0.4403
42.500000, 99.737, -1.0234
43.099998, 99.701, -1.5013
43.700001, 99.668, -1.9700
44.400002, 99.629, -2.5159
45.000000, 99.592, -2.9690
