* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.4 dBFS, measurement signal peak level -32.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.7 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:34:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0325 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.3 ppm
* Measurement: Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.729, -138.7781
1.015000, 62.839, -139.7839
1.030000, 62.953, -140.7614
1.044000, 63.063, -141.6547
1.060000, 63.193, -142.6595
1.075000, 63.318, -143.5911
1.090000, 63.446, -144.5138
1.106000, 63.588, -145.4699
1.120000, 63.720, -146.2468
1.138000, 63.902, -147.1401
1.150000, 64.032, -147.6707
1.172000, 64.283, -148.6086
1.180000, 64.378, -149.0053
1.206000, 64.702, -150.1651
1.220000, 64.885, -150.7202
1.241000, 65.166, -151.4746
1.250000, 65.290, -151.7725
1.265000, 65.499, -152.2390
1.280000, 65.710, -152.6723
1.315000, 66.212, -153.5791
1.320000, 66.285, -153.6989
1.340000, 66.573, -154.1589
1.360000, 66.861, -154.5896
1.380000, 67.146, -155.1300
1.400000, 67.426, -155.7065
1.430000, 67.833, -156.5570
1.450000, 68.094, -157.1188
1.475000, 68.409, -157.7980
1.500000, 68.719, -158.3985
1.525000, 69.026, -158.9024
1.550000, 69.331, -159.3200
1.575000, 69.635, -159.7371
1.600000, 69.937, -160.2242
1.625000, 70.236, -160.6637
1.650000, 70.534, -161.0668
1.675000, 70.828, -161.4437
1.700000, 71.121, -161.8032
1.725000, 71.410, -162.1534
1.750000, 71.697, -162.5005
1.775000, 71.981, -162.9039
1.800000, 72.262, -163.4191
1.825000, 72.539, -163.9394
1.850000, 72.814, -164.4512
1.875000, 73.086, -164.9299
1.900000, 73.354, -165.3693
1.925000, 73.621, -165.7721
1.950000, 73.884, -166.1413
1.975000, 74.144, -166.5326
2.000000, 74.402, -166.9993
2.030000, 74.708, -167.5302
2.060000, 75.010, -168.0421
2.090000, 75.309, -168.5420
2.120000, 75.604, -169.0367
2.140000, 75.798, -169.3665
2.180000, 76.182, -170.0840
2.200000, 76.372, -170.4933
2.240000, 76.746, -171.2919
2.270000, 77.022, -171.8610
2.300000, 77.294, -172.4037
2.330000, 77.562, -172.9217
2.360000, 77.826, -173.4190
2.400000, 78.174, -174.1729
2.430000, 78.430, -174.7382
2.470000, 78.767, -175.4758
2.500000, 79.016, -176.0216
2.540000, 79.344, -176.7450
2.580000, 79.666, -177.5044
2.620000, 79.983, -178.3300
2.650000, 80.216, -178.9316
2.690000, 80.523, -179.7109
2.720000, 80.749, 179.7215
2.760000, 81.045, 178.9896
2.800000, 81.336, 178.1904
2.850000, 81.694, 177.2031
2.900000, 82.043, 176.2372
2.950000, 82.385, 175.2862
3.000000, 82.719, 174.2812
3.040000, 82.980, 173.4675
3.070000, 83.172, 172.8687
3.110000, 83.425, 172.0868
3.150000, 83.672, 171.3237
3.200000, 83.976, 170.3385
3.250000, 84.274, 169.3527
3.300000, 84.565, 168.3890
3.350000, 84.850, 167.4432
3.400000, 85.129, 166.4548
3.450000, 85.400, 165.4621
3.500000, 85.666, 164.4935
3.550000, 85.926, 163.5526
3.600000, 86.180, 162.5928
3.650000, 86.430, 161.6390
3.700000, 86.675, 160.7046
3.750000, 86.914, 159.7835
3.820000, 87.239, 158.4578
3.870000, 87.466, 157.5204
3.950000, 87.819, 156.0683
4.000000, 88.035, 155.1578
4.060000, 88.288, 154.0739
