* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -33.8 dBFS, measurement signal peak level -30.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -30.0 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:50:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0280 ms (-9.6 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.9 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.930, -163.8888
1.015000, 62.548, -163.1551
1.030000, 62.164, -162.3687
1.044000, 61.804, -161.5802
1.060000, 61.391, -160.6059
1.075000, 61.003, -159.6124
1.090000, 60.613, -158.5344
1.106000, 60.187, -157.3022
1.120000, 59.791, -156.1855
1.138000, 59.243, -154.7165
1.150000, 58.854, -153.7135
1.172000, 58.103, -151.9006
1.180000, 57.819, -151.3088
1.206000, 56.870, -149.2569
1.220000, 56.347, -148.0576
1.241000, 55.558, -146.0998
1.250000, 55.220, -145.1915
1.265000, 54.662, -143.5683
1.280000, 54.113, -141.7863
1.315000, 52.894, -136.8471
1.320000, 52.730, -136.0340
1.340000, 52.102, -132.4542
1.360000, 51.532, -128.2746
1.380000, 51.030, -123.5336
1.400000, 50.606, -118.0812
1.430000, 50.144, -108.4700
1.450000, 49.966, -101.2652
1.475000, 49.909, -91.7108
1.500000, 50.037, -81.8734
1.525000, 50.334, -72.2392
1.550000, 50.780, -63.3311
1.575000, 51.350, -55.5476
1.600000, 52.023, -49.0479
1.625000, 52.775, -43.6499
1.650000, 53.584, -39.2285
1.675000, 54.429, -35.6404
1.700000, 55.285, -32.7529
1.725000, 56.133, -30.4539
1.750000, 56.948, -28.6524
1.775000, 57.711, -27.3297
1.800000, 58.400, -26.4788
1.825000, 59.005, -25.9325
1.850000, 59.542, -25.5889
1.875000, 60.047, -25.3334
1.900000, 60.534, -25.1255
1.925000, 61.006, -24.9579
1.950000, 61.462, -24.8281
1.975000, 61.903, -24.7876
2.000000, 62.331, -24.8866
2.030000, 62.826, -25.0579
2.060000, 63.301, -25.2972
2.090000, 63.759, -25.6116
2.120000, 64.200, -26.0088
2.140000, 64.485, -26.3240
2.180000, 65.033, -27.1395
2.200000, 65.296, -27.6646
2.240000, 65.794, -28.8227
2.270000, 66.142, -29.7489
2.300000, 66.469, -30.6971
2.330000, 66.777, -31.6515
2.360000, 67.069, -32.6031
2.400000, 67.435, -33.9780
2.430000, 67.695, -35.0162
2.470000, 68.026, -36.3943
2.500000, 68.265, -37.4320
2.540000, 68.575, -38.8412
2.580000, 68.875, -40.3612
2.620000, 69.159, -42.0798
2.650000, 69.360, -43.4308
2.690000, 69.612, -45.2776
2.720000, 69.790, -46.6733
2.760000, 70.014, -48.5196
2.800000, 70.223, -50.4240
2.850000, 70.465, -52.7612
2.900000, 70.690, -55.0425
2.950000, 70.897, -57.3445
3.000000, 71.085, -59.8796
3.040000, 71.219, -62.0493
3.070000, 71.312, -63.7157
3.110000, 71.424, -65.9556
3.150000, 71.524, -68.1844
3.200000, 71.633, -70.9704
3.250000, 71.724, -73.6922
3.300000, 71.799, -76.3510
3.350000, 71.857, -79.1011
3.400000, 71.897, -82.0963
3.450000, 71.919, -85.2508
3.500000, 71.924, -88.4582
3.550000, 71.911, -91.6392
3.600000, 71.880, -94.7756
3.650000, 71.832, -97.8190
3.700000, 71.767, -100.8622
3.750000, 71.686, -104.0735
3.820000, 71.544, -108.9279
3.870000, 71.421, -112.5244
3.950000, 71.183, -118.2328
4.000000, 71.008, -121.6857
4.060000, 70.774, -125.7432
4.120000, 70.516, -129.9810
4.180000, 70.233, -134.5176
4.250000, 69.862, -140.1015
4.310000, 69.500, -144.8933
4.370000, 69.093, -149.4997
4.440000, 68.579, -154.7191
4.500000, 68.121, -159.3862
4.550000, 67.715, -163.5231
4.620000, 67.068, -169.6575
4.680000, 66.397, -174.9943
4.750000, 65.416, 179.0814
4.820000, 64.111, 173.4289
4.870000, 62.958, 169.2134
4.940000, 61.155, 162.7189
5.000000, 59.608, 156.4770
5.080000, 57.873, 147.4608
5.150000, 56.907, 139.3332
5.220000, 56.440, 128.5741
5.300000, 56.387, 66.5671
5.380000, 56.795, -32.4894
5.450000, 57.537, -45.1512
5.520000, 58.712, -54.1183
5.600000, 60.652, -63.0126
5.700000, 63.538, -72.3110
5.800000, 66.227, -80.3231
5.900000, 68.266, -88.1749
6.000000, 69.775, -96.1570
6.080000, 70.758, -102.2453
6.150000, 71.527, -107.2402
6.220000, 72.252, -112.0690
6.300000, 73.025, -117.6182
6.400000, 73.877, -124.6045
6.500000, 74.618, -131.2606
6.600000, 75.274, -137.4891
6.700000, 75.847, -143.6810
6.800000, 76.333, -149.8585
6.900000, 76.741, -155.7014
7.000000, 77.078, -161.1722
7.100000, 77.341, -166.5988
7.200000, 77.534, -171.9093
7.300000, 77.659, -176.8371
7.400000, 77.717, 178.6052
7.500000, 77.709, 174.1948
7.620000, 77.619, 169.2691
7.750000, 77.428, 164.7457
7.880000, 77.139, 160.9263
8.000000, 76.822, 158.0678
8.120000, 76.479, 156.1354
8.250000, 76.083, 155.1706
8.380000, 75.753, 155.1651
8.500000, 75.581, 155.9589
8.620000, 75.538, 157.4629
8.750000, 75.648, 159.1786
8.850000, 75.865, 160.1715
9.000000, 76.381, 161.0472
9.120000, 76.866, 160.8840
9.250000, 77.401, 159.6389
9.380000, 77.935, 157.5164
9.500000, 78.381, 154.9264
9.620000, 78.756, 151.7248
9.750000, 79.082, 147.7089
9.880000, 79.307, 143.4002
10.000000, 79.417, 139.1608
10.150000, 79.424, 133.5368
10.300000, 79.285, 127.9712
10.440000, 79.025, 122.7725
10.600000, 78.569, 117.0843
10.750000, 77.985, 112.3227
10.900000, 77.251, 108.1798
11.060000, 76.293, 105.0400
11.200000, 75.322, 103.7770
11.380000, 74.073, 104.9229
11.500000, 73.313, 108.0132
11.720000, 72.512, 117.9348
11.800000, 72.564, 122.1588
12.060000, 73.726, 133.3411
12.200000, 74.662, 136.0958
12.410000, 76.150, 136.6237
12.500000, 76.721, 135.8464
12.650000, 77.557, 133.6260
12.800000, 78.251, 130.7224
13.150000, 79.339, 122.6969
13.200000, 79.441, 121.5372
13.400000, 79.730, 117.0289
13.600000, 79.858, 113.0068
13.800000, 79.857, 109.6796
14.000000, 79.769, 107.1953
14.300000, 79.567, 105.1368
14.500000, 79.450, 104.8195
14.750000, 79.378, 105.2794
15.000000, 79.409, 106.2822
15.250000, 79.528, 107.3835
15.500000, 79.694, 108.4130
15.750000, 79.879, 109.3246
16.000000, 80.070, 110.1495
16.250000, 80.273, 110.8566
16.500000, 80.492, 111.3945
16.750000, 80.721, 111.6549
17.000000, 80.941, 111.5659
17.250000, 81.127, 111.1443
17.500000, 81.262, 110.5208
17.750000, 81.347, 109.8798
18.000000, 81.403, 109.3596
18.250000, 81.471, 108.9874
18.500000, 81.590, 108.6355
18.750000, 81.781, 108.0180
19.000000, 82.032, 106.8252
19.250000, 82.295, 104.8214
19.500000, 82.505, 102.0286
19.750000, 82.602, 98.6410
20.000000, 82.538, 95.0371
20.299999, 82.212, 91.1812
20.600000, 81.636, 88.9895
20.900000, 80.964, 89.8381
21.200001, 80.566, 94.4615
21.400000, 80.686, 98.9330
21.799999, 81.928, 106.2713
22.000000, 82.826, 107.5345
22.400000, 84.540, 105.2344
22.700001, 85.504, 100.7673
23.000000, 86.117, 95.2496
23.299999, 86.380, 89.5878
23.600000, 86.320, 84.5342
24.000000, 85.838, 79.8816
24.299999, 85.301, 78.6342
24.700001, 84.635, 80.3258
25.000000, 84.370, 83.4692
25.400000, 84.438, 88.0395
25.799999, 84.816, 91.0357
26.200001, 85.227, 91.8589
26.500000, 85.441, 91.3723
26.900000, 85.526, 89.9855
27.200001, 85.431, 88.9350
27.600000, 85.149, 88.3031
28.000000, 84.852, 89.0237
28.500000, 84.776, 90.9284
29.000000, 85.059, 91.4197
29.500000, 85.331, 89.6171
30.000000, 85.377, 87.3485
30.400000, 85.390, 86.3409
30.700001, 85.503, 85.9043
31.100000, 85.796, 84.9044
31.500000, 86.081, 82.9854
32.000000, 86.171, 80.5548
32.500000, 86.105, 80.3937
33.000000, 86.399, 82.0413
33.500000, 87.026, 81.7548
34.000000, 87.317, 79.0256
34.500000, 86.991, 77.8079
35.000000, 86.731, 81.3455
35.500000, 87.355, 84.9232
36.000000, 88.154, 82.4005
36.500000, 88.031, 76.5930
37.000000, 86.895, 75.5774
37.500000, 86.390, 85.0627
38.200001, 88.663, 89.4671
38.700001, 89.682, 78.8990
39.500000, 88.091, 61.8724
40.000000, 86.412, 70.1685
40.599998, 88.171, 88.2734
41.200001, 90.691, 78.3083
41.799999, 91.131, 58.4272
42.500000, 88.869, 39.8955
43.099998, 85.724, 51.3105
43.700001, 86.015, 87.7991
44.400002, 88.829, 90.8850
45.000000, 90.308, 83.5366
