* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -32.8 dBFS, measurement signal peak level -29.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -30.0 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:48:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0274 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.0 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.559, 131.5503
1.015000, 69.668, 134.3683
1.030000, 69.781, 136.9712
1.044000, 69.888, 139.2212
1.060000, 70.011, 141.5977
1.075000, 70.127, 143.6527
1.090000, 70.241, 145.5573
1.106000, 70.365, 147.4536
1.120000, 70.483, 149.0354
1.138000, 70.651, 150.9900
1.150000, 70.774, 152.2481
1.172000, 71.019, 154.3766
1.180000, 71.114, 155.0309
1.206000, 71.441, 157.0719
1.220000, 71.627, 158.1153
1.241000, 71.918, 159.6119
1.250000, 72.045, 160.2294
1.265000, 72.262, 161.2281
1.280000, 72.482, 162.1902
1.315000, 73.003, 164.3020
1.320000, 73.078, 164.5893
1.340000, 73.375, 165.7043
1.360000, 73.669, 166.7711
1.380000, 73.956, 167.6602
1.400000, 74.234, 168.4533
1.430000, 74.629, 169.5607
1.450000, 74.873, 170.2475
1.475000, 75.158, 171.0643
1.500000, 75.428, 171.8683
1.525000, 75.689, 172.6720
1.550000, 75.942, 173.4720
1.575000, 76.187, 174.1920
1.600000, 76.426, 174.7705
1.625000, 76.659, 175.3342
1.650000, 76.887, 175.8798
1.675000, 77.111, 176.4050
1.700000, 77.331, 176.9078
1.725000, 77.549, 177.3864
1.750000, 77.765, 177.8402
1.775000, 77.979, 178.2147
1.800000, 78.194, 178.4586
1.825000, 78.408, 178.6806
1.850000, 78.621, 178.8897
1.875000, 78.832, 179.1017
1.900000, 79.040, 179.3201
1.925000, 79.245, 179.5430
1.950000, 79.447, 179.7692
1.975000, 79.647, 179.9452
2.000000, 79.845, -179.9799
