* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.3 dBFS, measurement signal peak level -24.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -37.5 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 5:03:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0221 ms (-7.6 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.1 ppm
* Measurement: UC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 58.809, 10.9242
1.015000, 58.631, 10.6113
1.030000, 58.474, 10.2416
1.044000, 58.347, 9.8505
1.060000, 58.228, 9.3569
1.075000, 58.143, 8.8585
1.090000, 58.085, 8.3406
1.106000, 58.055, 7.8106
1.120000, 58.054, 7.4255
1.138000, 58.088, 7.0667
1.150000, 58.129, 6.9061
1.172000, 58.245, 6.6592
1.180000, 58.298, 6.5144
1.206000, 58.509, 6.1621
1.220000, 58.646, 6.0288
1.241000, 58.875, 5.8823
1.250000, 58.982, 5.8344
1.265000, 59.171, 5.7691
1.280000, 59.370, 5.7164
1.315000, 59.871, 5.6155
1.320000, 59.945, 5.6014
1.340000, 60.249, 5.5420
1.360000, 60.559, 5.4779
1.380000, 60.871, 5.2738
1.400000, 61.181, 5.0075
1.430000, 61.637, 4.5854
1.450000, 61.928, 4.2954
1.475000, 62.283, 3.9774
1.500000, 62.645, 3.8235
1.525000, 63.024, 3.8506
1.550000, 63.418, 4.0153
1.575000, 63.823, 4.2034
1.600000, 64.239, 4.3232
1.625000, 64.662, 4.4771
1.650000, 65.090, 4.6429
1.675000, 65.520, 4.8035
1.700000, 65.950, 4.9459
1.725000, 66.378, 5.0604
1.750000, 66.800, 5.1407
1.775000, 67.214, 5.1291
1.800000, 67.618, 4.9733
1.825000, 68.010, 4.7902
1.850000, 68.393, 4.6227
1.875000, 68.772, 4.5241
1.900000, 69.147, 4.4971
1.925000, 69.519, 4.5247
1.950000, 69.889, 4.5909
1.975000, 70.254, 4.6297
2.000000, 70.616, 4.5796
2.030000, 71.045, 4.5227
2.060000, 71.468, 4.4491
2.090000, 71.885, 4.3468
2.120000, 72.295, 4.2064
2.140000, 72.564, 4.0881
2.180000, 73.093, 3.7374
2.200000, 73.353, 3.4910
2.240000, 73.862, 3.0203
2.270000, 74.235, 2.7131
2.300000, 74.602, 2.4401
2.330000, 74.962, 2.1915
2.360000, 75.315, 1.9564
2.400000, 75.777, 1.5309
2.430000, 76.116, 1.1902
2.470000, 76.559, 0.7160
2.500000, 76.885, 0.3375
2.540000, 77.310, -0.2056
2.580000, 77.727, -0.8251
2.620000, 78.132, -1.5254
2.650000, 78.429, -2.0348
2.690000, 78.815, -2.6939
2.720000, 79.099, -3.1751
2.760000, 79.468, -3.8004
2.800000, 79.827, -4.5061
2.850000, 80.263, -5.4012
2.900000, 80.686, -6.3093
2.950000, 81.095, -7.2412
3.000000, 81.489, -8.2589
3.040000, 81.794, -9.0969
3.070000, 82.016, -9.7190
3.110000, 82.305, -10.5358
3.150000, 82.585, -11.3363
3.200000, 82.924, -12.3705
3.250000, 83.251, -13.4085
3.300000, 83.567, -14.4334
3.350000, 83.871, -15.4642
3.400000, 84.161, -16.5638
3.450000, 84.439, -17.6814
3.500000, 84.705, -18.7758
3.550000, 84.961, -19.8335
3.600000, 85.206, -20.8937
3.650000, 85.442, -21.9306
3.700000, 85.667, -22.9457
3.750000, 85.881, -23.9630
3.820000, 86.163, -25.4403
3.870000, 86.353, -26.4810
3.950000, 86.640, -28.0566
4.000000, 86.810, -29.0047
4.060000, 87.004, -30.0987
4.120000, 87.186, -31.1626
4.180000, 87.356, -32.2130
4.250000, 87.542, -33.4368
4.310000, 87.693, -34.4172
4.370000, 87.839, -35.3250
4.440000, 88.001, -36.3344
4.500000, 88.132, -37.1452
4.550000, 88.236, -37.7871
4.620000, 88.376, -38.6696
4.680000, 88.494, -39.3793
4.750000, 88.632, -40.1329
4.820000, 88.770, -40.8360
4.870000, 88.868, -41.2987
4.940000, 89.003, -41.8949
5.000000, 89.119, -42.3902
5.080000, 89.278, -43.0325
5.150000, 89.423, -43.5628
5.220000, 89.572, -44.0758
5.300000, 89.747, -44.6285
5.380000, 89.927, -45.1739
5.450000, 90.087, -45.6926
5.520000, 90.251, -46.2329
5.600000, 90.444, -46.8742
5.700000, 90.690, -47.7154
5.800000, 90.936, -48.6193
5.900000, 91.178, -49.6296
6.000000, 91.418, -50.7223
6.080000, 91.607, -51.6517
6.150000, 91.767, -52.4857
6.220000, 91.920, -53.3592
6.300000, 92.088, -54.3977
6.400000, 92.286, -55.7530
6.500000, 92.472, -57.1414
6.600000, 92.642, -58.5212
6.700000, 92.795, -59.9174
6.800000, 92.934, -61.3185
6.900000, 93.061, -62.6899
7.000000, 93.176, -63.9951
7.100000, 93.278, -65.2594
7.200000, 93.371, -66.4725
7.300000, 93.460, -67.6180
7.400000, 93.545, -68.6750
7.500000, 93.628, -69.6630
7.620000, 93.729, -70.7683
7.750000, 93.848, -71.8719
7.880000, 93.976, -72.8871
8.000000, 94.105, -73.7857
8.120000, 94.247, -74.6892
8.250000, 94.415, -75.6677
8.380000, 94.593, -76.6867
8.500000, 94.762, -77.7034
8.620000, 94.936, -78.7813
8.750000, 95.122, -80.0202
8.850000, 95.260, -81.0340
9.000000, 95.458, -82.6376
9.120000, 95.604, -83.9622
9.250000, 95.747, -85.4245
9.380000, 95.873, -86.9045
9.500000, 95.976, -88.2493
9.620000, 96.066, -89.5500
9.750000, 96.148, -90.9114
9.880000, 96.212, -92.1932
10.000000, 96.254, -93.2840
10.150000, 96.290, -94.5620
10.300000, 96.321, -95.7090
10.440000, 96.349, -96.6628
10.600000, 96.390, -97.6587
10.750000, 96.445, -98.5304
10.900000, 96.513, -99.3686
11.060000, 96.597, -100.2988
11.200000, 96.678, -101.1665
11.380000, 96.784, -102.3477
11.500000, 96.853, -103.1862
11.720000, 96.969, -104.8023
11.800000, 97.006, -105.4102
12.060000, 97.102, -107.4260
12.200000, 97.137, -108.5110
12.410000, 97.168, -110.0662
12.500000, 97.174, -110.6878
12.650000, 97.176, -111.6571
12.800000, 97.171, -112.5352
13.150000, 97.157, -114.2386
13.200000, 97.157, -114.4503
13.400000, 97.166, -115.2231
13.600000, 97.190, -115.9209
13.800000, 97.230, -116.5872
14.000000, 97.282, -117.2673
14.300000, 97.373, -118.3950
14.500000, 97.435, -119.2119
14.750000, 97.508, -120.2954
15.000000, 97.575, -121.4312
15.250000, 97.635, -122.6190
15.500000, 97.686, -123.8146
15.750000, 97.725, -124.9991
16.000000, 97.752, -126.1545
16.250000, 97.768, -127.2773
16.500000, 97.776, -128.3228
16.750000, 97.779, -129.2700
17.000000, 97.788, -130.1196
