* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.3 dBFS, measurement signal peak level -34.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -37.5 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 5:06:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0200 ms (-6.9 mm, -0.27 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.1 ppm
* Measurement: UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.388, -55.0779
1.015000, 65.234, -52.8343
1.030000, 65.094, -50.5949
1.044000, 64.976, -48.5100
1.060000, 64.859, -46.1358
1.075000, 64.768, -43.9200
1.090000, 64.696, -41.7151
1.106000, 64.640, -39.3724
1.120000, 64.607, -37.3235
1.138000, 64.584, -34.6882
1.150000, 64.579, -32.9328
1.172000, 64.592, -29.8149
1.180000, 64.602, -28.7791
1.206000, 64.660, -25.4329
1.220000, 64.703, -23.6532
1.241000, 64.783, -21.0205
1.250000, 64.822, -19.9077
1.265000, 64.893, -18.0760
1.280000, 64.972, -16.2757
1.315000, 65.176, -12.2117
1.320000, 65.207, -11.6481
1.340000, 65.336, -9.4388
1.360000, 65.470, -7.3008
1.380000, 65.607, -5.3697
1.400000, 65.745, -3.5687
1.430000, 65.951, -1.0221
1.450000, 66.084, 0.5726
1.475000, 66.249, 2.4713
1.500000, 66.422, 4.3181
1.525000, 66.608, 6.1313
1.550000, 66.805, 7.9041
1.575000, 67.013, 9.5560
1.600000, 67.229, 11.0226
1.625000, 67.451, 12.4286
1.650000, 67.678, 13.7696
1.675000, 67.908, 15.0425
1.700000, 68.139, 16.2452
1.725000, 68.369, 17.3763
1.750000, 68.598, 18.4354
1.775000, 68.822, 19.3689
1.800000, 69.041, 20.1266
1.825000, 69.253, 20.8198
1.850000, 69.460, 21.4658
1.875000, 69.665, 22.0907
1.900000, 69.870, 22.7012
1.925000, 70.073, 23.2953
1.950000, 70.276, 23.8718
1.975000, 70.478, 24.3768
2.000000, 70.679, 24.7595
2.030000, 70.918, 25.1893
2.060000, 71.154, 25.5784
2.090000, 71.388, 25.9240
2.120000, 71.620, 26.2237
2.140000, 71.772, 26.3969
2.180000, 72.072, 26.6269
2.200000, 72.219, 26.6643
2.240000, 72.509, 26.7090
2.270000, 72.723, 26.7294
2.300000, 72.934, 26.7400
2.330000, 73.141, 26.7394
2.360000, 73.346, 26.7252
2.400000, 73.616, 26.5646
2.430000, 73.815, 26.4083
2.470000, 74.079, 26.1716
2.500000, 74.274, 25.9708
2.540000, 74.533, 25.6701
2.580000, 74.790, 25.2970
2.620000, 75.043, 24.8283
2.650000, 75.230, 24.4756
2.690000, 75.477, 24.0010
2.720000, 75.660, 23.6409
2.760000, 75.902, 23.1563
2.800000, 76.141, 22.5713
2.850000, 76.438, 21.8056
2.900000, 76.733, 21.0132
2.950000, 77.027, 20.1979
3.000000, 77.317, 19.3101
3.040000, 77.548, 18.5780
3.070000, 77.719, 18.0306
3.110000, 77.947, 17.3007
3.150000, 78.173, 16.5680
3.200000, 78.455, 15.5863
3.250000, 78.735, 14.5631
3.300000, 79.016, 13.5254
3.350000, 79.296, 12.4893
3.400000, 79.575, 11.4070
3.450000, 79.853, 10.3111
3.500000, 80.129, 9.2212
3.550000, 80.405, 8.1327
3.600000, 80.680, 6.9926
3.650000, 80.953, 5.8235
3.700000, 81.226, 4.6506
3.750000, 81.498, 3.4854
3.820000, 81.877, 1.8116
3.870000, 82.146, 0.6133
3.950000, 82.573, -1.2951
4.000000, 82.838, -2.5233
4.060000, 83.152, -4.0188
4.120000, 83.463, -5.5089
4.180000, 83.773, -6.9962
4.250000, 84.129, -8.7616
4.310000, 84.430, -10.2571
4.370000, 84.726, -11.7478
4.440000, 85.065, -13.5265
4.500000, 85.351, -15.0482
4.550000, 85.585, -16.3061
4.620000, 85.908, -18.0808
4.680000, 86.178, -19.5844
4.750000, 86.486, -21.3085
4.820000, 86.786, -23.0486
4.870000, 86.995, -24.2923
4.940000, 87.280, -26.0138
5.000000, 87.519, -27.4800
5.080000, 87.827, -29.3986
5.150000, 88.087, -31.0311
5.220000, 88.337, -32.6667
5.300000, 88.613, -34.5175
5.380000, 88.877, -36.3202
5.450000, 89.100, -37.8642
5.520000, 89.315, -39.3533
5.600000, 89.551, -41.0273
5.700000, 89.831, -43.0821
5.800000, 90.096, -45.0469
5.900000, 90.349, -46.9195
6.000000, 90.588, -48.7165
6.080000, 90.771, -50.1144
6.150000, 90.925, -51.2857
6.220000, 91.075, -52.4221
6.300000, 91.242, -53.6675
6.400000, 91.442, -55.1619
6.500000, 91.634, -56.5991
6.600000, 91.821, -57.9651
6.700000, 92.002, -59.2751
6.800000, 92.178, -60.5295
6.900000, 92.349, -61.7444
7.000000, 92.515, -62.9148
7.100000, 92.677, -64.0537
7.200000, 92.835, -65.1569
7.300000, 92.987, -66.2359
7.400000, 93.134, -67.2884
7.500000, 93.276, -68.3247
7.620000, 93.439, -69.5332
7.750000, 93.606, -70.8001
7.880000, 93.762, -72.0381
8.000000, 93.898, -73.1355
8.120000, 94.027, -74.1878
