* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -31.0 dBFS, measurement signal peak level -30.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -16.4 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 3:42:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.0502 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT L with no timing offset
* Measurement: L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 30.248, -172.3337
1.015000, 29.744, -172.8107
1.030000, 29.284, -173.3517
1.044000, 28.902, -173.9320
1.060000, 28.526, -174.7148
1.075000, 28.239, -175.6092
1.090000, 28.021, -176.7353
1.106000, 27.864, -178.3927
1.120000, 27.782, 179.4593
1.138000, 27.741, 175.2596
1.150000, 27.751, 171.2691
1.172000, 27.843, 160.4767
1.180000, 27.897, 155.1420
1.206000, 28.148, 133.2071
1.220000, 28.324, 119.9940
1.241000, 28.638, 102.1822
1.250000, 28.788, 95.8993
1.265000, 29.057, 87.3113
1.280000, 29.347, 80.7172
1.315000, 30.089, 70.5585
1.320000, 30.201, 69.5104
1.340000, 30.658, 65.9666
1.360000, 31.126, 63.2006
1.380000, 31.598, 60.7905
1.400000, 32.066, 58.6754
1.430000, 32.747, 55.9504
1.450000, 33.178, 54.3416
1.475000, 33.700, 52.5707
1.500000, 34.242, 51.1992
1.525000, 34.821, 50.2219
1.550000, 35.432, 49.5496
1.575000, 36.069, 49.0106
1.600000, 36.724, 48.4696
1.625000, 37.391, 48.0458
1.650000, 38.063, 47.7022
1.675000, 38.734, 47.4105
1.700000, 39.396, 47.1490
1.725000, 40.044, 46.9008
1.750000, 40.670, 46.6532
1.775000, 41.268, 46.3339
1.800000, 41.831, 45.8764
1.825000, 42.355, 45.4085
1.850000, 42.843, 44.9591
1.875000, 43.303, 44.5712
1.900000, 43.740, 44.2521
1.925000, 44.156, 43.9928
1.950000, 44.554, 43.7849
1.975000, 44.934, 43.5581
2.000000, 45.300, 43.2460
2.030000, 45.723, 42.9081
2.060000, 46.131, 42.5920
2.090000, 46.528, 42.2874
2.120000, 46.918, 41.9854
2.140000, 47.176, 41.7817
2.180000, 47.688, 41.3002
2.200000, 47.944, 40.9979
2.240000, 48.445, 40.4209
2.270000, 48.808, 40.0284
2.300000, 49.160, 39.6705
2.330000, 49.502, 39.3433
2.360000, 49.835, 39.0415
2.400000, 50.266, 38.5326
2.430000, 50.582, 38.1513
2.470000, 50.994, 37.6621
2.500000, 51.298, 37.3047
2.540000, 51.698, 36.8356
2.580000, 52.092, 36.3300
2.620000, 52.476, 35.7551
2.650000, 52.757, 35.3473
2.690000, 53.123, 34.8323
2.720000, 53.391, 34.4664
2.760000, 53.740, 34.0073
2.800000, 54.082, 33.4709
2.850000, 54.500, 32.8143
2.900000, 54.910, 32.1846
2.950000, 55.310, 31.5788
3.000000, 55.700, 30.9213
3.040000, 56.004, 30.3898
3.070000, 56.227, 30.0058
3.110000, 56.519, 29.5127
3.150000, 56.806, 29.0399
3.200000, 57.157, 28.4099
3.250000, 57.502, 27.7751
3.300000, 57.840, 27.1639
3.350000, 58.172, 26.5788
3.400000, 58.496, 25.9526
