* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.4 dBFS, measurement signal peak level -30.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -16.4 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 3:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.2826 ms (-97 mm, -3.82 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT R with no timing offset Clock adjustment: -3.1 ppm
* Measurement: R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 52.990, 74.2388
1.015000, 52.827, 74.2072
1.030000, 52.677, 74.1404
1.044000, 52.551, 74.0426
1.060000, 52.424, 73.8845
1.075000, 52.324, 73.6875
1.090000, 52.245, 73.4406
1.106000, 52.182, 73.1297
1.120000, 52.139, 72.8364
1.138000, 52.097, 72.4475
1.150000, 52.076, 72.1842
1.172000, 52.053, 71.5839
1.180000, 52.049, 71.2491
1.206000, 52.052, 70.1689
1.220000, 52.063, 69.5871
1.241000, 52.092, 68.7145
1.250000, 52.109, 68.3404
1.265000, 52.142, 67.7165
1.280000, 52.182, 67.0916
1.315000, 52.297, 65.6251
1.320000, 52.316, 65.4143
1.340000, 52.398, 64.5660
1.360000, 52.488, 63.7141
1.380000, 52.586, 62.6855
1.400000, 52.691, 61.5810
1.430000, 52.860, 59.8987
1.450000, 52.980, 58.7600
1.475000, 53.140, 57.3407
1.500000, 53.318, 55.9911
1.525000, 53.516, 54.7444
1.550000, 53.732, 53.6017
1.575000, 53.965, 52.4642
1.600000, 54.212, 51.2493
1.625000, 54.472, 50.1131
1.650000, 54.741, 49.0441
1.675000, 55.018, 48.0315
1.700000, 55.300, 47.0647
1.725000, 55.586, 46.1339
1.750000, 55.873, 45.2309
1.775000, 56.159, 44.2855
