* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -38.0 dBFS, measurement signal peak level -31.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -16.4 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 3:35:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay 0.0105 ms (3.6 mm, 0.14 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT R with no timing offset Clock adjustment: 21.5 ppm
* Measurement: R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 51.445, 8.0064
1.015000, 51.217, 8.7914
1.030000, 51.000, 9.5721
1.044000, 50.807, 10.2969
1.060000, 50.600, 11.1206
1.075000, 50.421, 11.8883
1.090000, 50.257, 12.6515
1.106000, 50.099, 13.4594
1.120000, 49.971, 14.1594
1.138000, 49.818, 15.0495
1.150000, 49.722, 15.6370
1.172000, 49.560, 16.5905
1.180000, 49.505, 16.8183
1.206000, 49.340, 17.5578
1.220000, 49.259, 17.9505
1.241000, 49.148, 18.5336
1.250000, 49.103, 18.7818
1.265000, 49.033, 19.1936
1.280000, 48.968, 19.6038
1.315000, 48.833, 20.5581
1.320000, 48.815, 20.6945
1.340000, 48.748, 21.2411
1.360000, 48.686, 21.7960
1.380000, 48.627, 22.1898
1.400000, 48.572, 22.5263
1.430000, 48.494, 23.0464
1.450000, 48.443, 23.4043
1.475000, 48.382, 23.8642
1.500000, 48.327, 24.3338
1.525000, 48.281, 24.8106
1.550000, 48.244, 25.2946
1.575000, 48.215, 25.6939
1.600000, 48.194, 25.9351
1.625000, 48.180, 26.1856
1.650000, 48.174, 26.4458
1.675000, 48.174, 26.7167
1.700000, 48.180, 26.9993
1.725000, 48.192, 27.2949
1.750000, 48.209, 27.6052
1.775000, 48.231, 27.8693
1.800000, 48.257, 28.0289
1.825000, 48.287, 28.2109
1.850000, 48.323, 28.4145
1.875000, 48.364, 28.6417
1.900000, 48.412, 28.8913
1.925000, 48.466, 29.1610
1.950000, 48.526, 29.4503
1.975000, 48.592, 29.6968
2.000000, 48.663, 29.8409
2.030000, 48.754, 30.0371
2.060000, 48.852, 30.2497
2.090000, 48.955, 30.4772
2.120000, 49.064, 30.7184
2.140000, 49.140, 30.8863
2.180000, 49.296, 31.1780
2.200000, 49.377, 31.2772
2.240000, 49.548, 31.5173
2.270000, 49.684, 31.7373
2.300000, 49.826, 31.9859
2.330000, 49.975, 32.2570
2.360000, 50.129, 32.5434
2.400000, 50.341, 32.8015
2.430000, 50.505, 32.9820
2.470000, 50.729, 33.2242
2.500000, 50.900, 33.4030
2.540000, 51.132, 33.6346
2.580000, 51.367, 33.8220
2.620000, 51.609, 33.9453
