* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.8 dBFS, measurement signal peak level -30.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -16.4 dBFS using an acoustic timing reference
* Dated: Feb 18, 2025 3:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.3057 ms (-105 mm, -4.13 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT R with no timing offset
* Measurement: R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.766, -34.8052
1.015000, 45.478, -33.2941
1.030000, 45.217, -31.7139
1.044000, 45.000, -30.1772
1.060000, 44.787, -28.3504
1.075000, 44.624, -26.5726
1.090000, 44.499, -24.7334
1.106000, 44.408, -22.6878
1.120000, 44.361, -20.7963
1.138000, 44.343, -18.2220
1.150000, 44.355, -16.4318
1.172000, 44.424, -13.1517
1.180000, 44.463, -12.0501
1.206000, 44.636, -8.4226
1.220000, 44.757, -6.4712
1.241000, 44.969, -3.5873
1.250000, 45.070, -2.3765
1.265000, 45.252, -0.4039
1.280000, 45.447, 1.5012
1.315000, 45.945, 5.6286
1.320000, 46.020, 6.1777
1.340000, 46.327, 8.2653
1.360000, 46.642, 10.1786
1.380000, 46.960, 11.7436
1.400000, 47.277, 13.0638
1.430000, 47.739, 14.7163
1.450000, 48.034, 15.6166
1.475000, 48.391, 16.6001
1.500000, 48.760, 17.5979
1.525000, 49.149, 18.6595
1.550000, 49.559, 19.7536
1.575000, 49.984, 20.7554
1.600000, 50.422, 21.5661
1.625000, 50.869, 22.3332
1.650000, 51.322, 23.0423
1.675000, 51.778, 23.6834
1.700000, 52.233, 24.2496
1.725000, 52.684, 24.7366
1.750000, 53.128, 25.1428
1.775000, 53.561, 25.4051
1.800000, 53.980, 25.4657
1.825000, 54.383, 25.4627
1.850000, 54.773, 25.4412
1.875000, 55.155, 25.4591
1.900000, 55.532, 25.5258
1.925000, 55.904, 25.6302
1.950000, 56.270, 25.7616
1.975000, 56.632, 25.8484
2.000000, 56.988, 25.8234
2.030000, 57.409, 25.7948
2.060000, 57.824, 25.7497
2.090000, 58.231, 25.6785
2.120000, 58.632, 25.5733
2.140000, 58.896, 25.4814
2.180000, 59.414, 25.1801
2.200000, 59.669, 24.9507
2.240000, 60.168, 24.5074
2.270000, 60.533, 24.2132
2.300000, 60.891, 23.9501
2.330000, 61.242, 23.7119
2.360000, 61.586, 23.4906
2.400000, 62.036, 23.0724
2.430000, 62.366, 22.7443
2.470000, 62.799, 22.3040
2.500000, 63.118, 21.9654
2.540000, 63.536, 21.4966
2.580000, 63.946, 20.9681
2.620000, 64.347, 20.3611
2.650000, 64.641, 19.9277
2.690000, 65.025, 19.3762
2.720000, 65.307, 18.9804
2.760000, 65.676, 18.4765
2.800000, 66.036, 17.8877
2.850000, 66.476, 17.1519
2.900000, 66.906, 16.4246
2.950000, 67.325, 15.7019
3.000000, 67.732, 14.9149
3.040000, 68.049, 14.2752
3.070000, 68.282, 13.8084
3.110000, 68.586, 13.2034
3.150000, 68.884, 12.6173
3.200000, 69.248, 11.8436
3.250000, 69.604, 11.0619
3.300000, 69.952, 10.2986
3.350000, 70.292, 9.5535
3.400000, 70.622, 8.7604
3.450000, 70.943, 7.9624
3.500000, 71.257, 7.1906
3.550000, 71.562, 6.4477
3.600000, 71.862, 5.6804
3.650000, 72.155, 4.9165
3.700000, 72.442, 4.1733
3.750000, 72.722, 3.4466
3.820000, 73.102, 2.3895
3.870000, 73.366, 1.6444
3.950000, 73.777, 0.5013
4.000000, 74.029, -0.2204
4.060000, 74.324, -1.0786
4.120000, 74.612, -1.9121
4.180000, 74.893, -2.7349
4.250000, 75.212, -3.7212
4.310000, 75.479, -4.5362
4.370000, 75.741, -5.3303
4.440000, 76.041, -6.2755
4.500000, 76.291, -7.0653
4.550000, 76.496, -7.7080
4.620000, 76.777, -8.6271
4.680000, 77.013, -9.4036
4.750000, 77.284, -10.2846
4.820000, 77.548, -11.1796
4.870000, 77.734, -11.8135
4.940000, 77.989, -12.6822
5.000000, 78.203, -13.4318
5.080000, 78.482, -14.4273
5.150000, 78.721, -15.2788
5.220000, 78.955, -16.1442
5.300000, 79.216, -17.1254
5.380000, 79.470, -18.0894
5.450000, 79.688, -18.9423
5.520000, 79.900, -19.7772
5.600000, 80.137, -20.7313
5.700000, 80.425, -21.9251
5.800000, 80.702, -23.0938
5.900000, 80.971, -24.2503
6.000000, 81.230, -25.3900
6.080000, 81.431, -26.3001
6.150000, 81.602, -27.0731
6.220000, 81.770, -27.8425
6.300000, 81.957, -28.7028
6.400000, 82.184, -29.7580
6.500000, 82.404, -30.7957
6.600000, 82.618, -31.7967
6.700000, 82.827, -32.7755
6.800000, 83.030, -33.7254
6.900000, 83.228, -34.6558
7.000000, 83.424, -35.5538
7.100000, 83.616, -36.4316
7.200000, 83.805, -37.2849
7.300000, 83.992, -38.1258
7.400000, 84.177, -38.9466
7.500000, 84.360, -39.7572
7.620000, 84.577, -40.7134
7.750000, 84.809, -41.7387
7.880000, 85.038, -42.7624
8.000000, 85.246, -43.6982
8.120000, 85.450, -44.6374
8.250000, 85.666, -45.6566
8.380000, 85.877, -46.6712
8.500000, 86.066, -47.6091
8.620000, 86.250, -48.5446
8.750000, 86.443, -49.5495
8.850000, 86.586, -50.3159
9.000000, 86.794, -51.4486
9.120000, 86.954, -52.3382
9.250000, 87.121, -53.2795
9.380000, 87.284, -54.1958
9.500000, 87.430, -55.0221
9.620000, 87.573, -55.8224
9.750000, 87.722, -56.6657
9.880000, 87.862, -57.4867
10.000000, 87.979, -58.2193
10.150000, 88.112, -59.1366
10.300000, 88.236, -60.0233
10.440000, 88.346, -60.8258
10.600000, 88.468, -61.7178
10.750000, 88.583, -62.5337
10.900000, 88.697, -63.3312
11.060000, 88.816, -64.1815
11.200000, 88.917, -64.9374
11.380000, 89.044, -65.8860
11.500000, 89.125, -66.5036
11.720000, 89.272, -67.6048
11.800000, 89.326, -67.9948
12.060000, 89.499, -69.2425
12.200000, 89.592, -69.9201
12.410000, 89.732, -70.9149
12.500000, 89.791, -71.3349
12.650000, 89.887, -72.0278
12.800000, 89.982, -72.7131
13.150000, 90.193, -74.3152
13.200000, 90.222, -74.5461
13.400000, 90.337, -75.4595
13.600000, 90.449, -76.3509
13.800000, 90.556, -77.2152
14.000000, 90.660, -78.0499
14.300000, 90.811, -79.2789
14.500000, 90.910, -80.0621
14.750000, 91.035, -81.0117
15.000000, 91.162, -81.9463
15.250000, 91.294, -82.9109
15.500000, 91.426, -83.8890
15.750000, 91.553, -84.8800
16.000000, 91.671, -85.8759
16.250000, 91.780, -86.8824
16.500000, 91.879, -87.8575
16.750000, 91.972, -88.7827
17.000000, 92.060, -89.6485
17.250000, 92.148, -90.4664
17.500000, 92.235, -91.2230
17.750000, 92.324, -91.9234
18.000000, 92.416, -92.5785
18.250000, 92.512, -93.2112
18.500000, 92.612, -93.8187
18.750000, 92.718, -94.4104
19.000000, 92.830, -94.9986
19.250000, 92.947, -95.6118
19.500000, 93.068, -96.2488
19.750000, 93.191, -96.9201
20.000000, 93.312, -97.6323
20.299999, 93.452, -98.5546
20.600000, 93.582, -99.5211
20.900000, 93.698, -100.5079
21.200001, 93.801, -101.4960
21.400000, 93.861, -102.1405
21.799999, 93.968, -103.3648
22.000000, 94.016, -103.9404
22.400000, 94.108, -105.0323
22.700001, 94.175, -105.7984
23.000000, 94.241, -106.5329
23.299999, 94.306, -107.2547
23.600000, 94.371, -107.9657
24.000000, 94.453, -108.9025
24.299999, 94.511, -109.6011
24.700001, 94.581, -110.5018
25.000000, 94.628, -111.1398
25.400000, 94.686, -111.9336
25.799999, 94.742, -112.6444
26.200001, 94.802, -113.2883
26.500000, 94.850, -113.7417
26.900000, 94.920, -114.3209
27.200001, 94.975, -114.7487
27.600000, 95.050, -115.3110
28.000000, 95.126, -115.8551
28.500000, 95.222, -116.5047
29.000000, 95.322, -117.1065
29.500000, 95.431, -117.6818
30.000000, 95.551, -118.2622
30.400000, 95.652, -118.7669
30.700001, 95.730, -119.1797
31.100000, 95.835, -119.7850
31.500000, 95.935, -120.4542
32.000000, 96.051, -121.3526
32.500000, 96.154, -122.2910
33.000000, 96.246, -123.2331
33.500000, 96.328, -124.1680
34.000000, 96.405, -125.0926
34.500000, 96.477, -126.0148
35.000000, 96.541, -126.9261
35.500000, 96.597, -127.8127
36.000000, 96.645, -128.6543
36.500000, 96.689, -129.4502
37.000000, 96.731, -130.2061
37.500000, 96.771, -130.9343
38.200001, 96.821, -131.9054
38.700001, 96.852, -132.5609
39.500000, 96.895, -133.5386
40.000000, 96.919, -134.1050
40.599998, 96.947, -134.7460
41.200001, 96.973, -135.3480
41.799999, 96.996, -135.9137
42.500000, 97.020, -136.5105
43.099998, 97.040, -136.9504
43.700001, 97.065, -137.3266
44.400002, 97.099, -137.6941
45.000000, 97.134, -137.9524
45.500000, 97.169, -138.1311
46.200001, 97.230, -138.3365
46.799999, 97.296, -138.4942
47.500000, 97.386, -138.6922
48.200001, 97.489, -138.9285
48.700001, 97.567, -139.1250
49.400002, 97.683, -139.4357
50.000000, 97.786, -139.7311
50.799999, 97.931, -140.1630
51.500000, 98.068, -140.5873
52.200001, 98.212, -141.0936
53.000000, 98.380, -141.8047
53.799999, 98.541, -142.6309
54.500000, 98.677, -143.4251
55.200001, 98.808, -144.2962
56.000000, 98.946, -145.3765
57.000000, 99.097, -146.7735
58.000000, 99.235, -148.1951
59.000000, 99.356, -149.6624
60.000000, 99.459, -151.1191
60.799999, 99.533, -152.2650
61.500000, 99.590, -153.2592
62.200001, 99.640, -154.2341
63.000000, 99.688, -155.3054
64.000000, 99.740, -156.5665
65.000000, 99.790, -157.7469
66.000000, 99.843, -158.8823
67.000000, 99.900, -160.0117
68.000000, 99.959, -161.1638
69.000000, 100.016, -162.3637
70.000000, 100.065, -163.5811
71.000000, 100.109, -164.7656
72.000000, 100.154, -165.9332
73.000000, 100.198, -167.1039
74.000000, 100.241, -168.2747
75.000000, 100.283, -169.4671
76.199997, 100.330, -170.9547
77.500000, 100.374, -172.6485
78.800003, 100.405, -174.4124
80.000000, 100.424, -176.0809
81.199997, 100.432, -177.7955
82.500000, 100.425, -179.7024
83.800003, 100.398, 178.3508
85.000000, 100.349, 176.4996
86.199997, 100.268, 174.6331
87.500000, 100.139, 172.6779
88.500000, 100.010, 171.2849
90.000000, 99.774, 169.4882
91.199997, 99.557, 168.4268
92.500000, 99.318, 167.8015
93.800003, 99.119, 167.7309
95.000000, 99.004, 167.9772
96.199997, 98.969, 168.2531
97.500000, 99.005, 168.2957
98.800003, 99.088, 167.9163
100.000000, 99.173, 167.1753
101.500000, 99.262, 165.8731
103.000000, 99.319, 164.2967
104.400002, 99.339, 162.6633
106.000000, 99.316, 160.6817
107.500000, 99.254, 158.8074
109.000000, 99.158, 156.9389
110.599998, 99.020, 155.0205
112.000000, 98.875, 153.4773
113.800003, 98.673, 151.7187
115.000000, 98.536, 150.6632
117.199997, 98.295, 148.9369
118.000000, 98.213, 148.3494
120.599998, 97.965, 146.4916
122.000000, 97.841, 145.4900
124.099998, 97.648, 143.8877
125.000000, 97.560, 143.1722
126.500000, 97.403, 141.9463
128.000000, 97.233, 140.7134
131.500000, 96.792, 137.9564
132.000000, 96.724, 137.5847
134.000000, 96.437, 136.1812
136.000000, 96.138, 134.9267
138.000000, 95.831, 133.8010
140.000000, 95.518, 132.8289
143.000000, 95.048, 131.6348
145.000000, 94.735, 130.9547
147.500000, 94.346, 130.1801
150.000000, 93.961, 129.4805
152.500000, 93.573, 128.9044
155.000000, 93.180, 128.4849
157.500000, 92.784, 128.2145
160.000000, 92.390, 128.0396
162.500000, 91.996, 127.9338
165.000000, 91.601, 127.9583
167.500000, 91.208, 128.1305
170.000000, 90.818, 128.3994
172.500000, 90.421, 128.7562
175.000000, 90.027, 129.2517
177.500000, 89.645, 129.8780
180.000000, 89.275, 130.6339
182.500000, 88.916, 131.5031
185.000000, 88.573, 132.4227
187.500000, 88.240, 133.3739
190.000000, 87.912, 134.3799
192.500000, 87.591, 135.3088
195.000000, 87.267, 136.2108
197.500000, 86.951, 137.2656
200.000000, 86.644, 138.4969
203.000000, 86.280, 140.1639
206.000000, 85.923, 141.8171
209.000000, 85.584, 143.4582
212.000000, 85.278, 145.1204
214.000000, 85.081, 146.2541
218.000000, 84.677, 148.6231
220.000000, 84.471, 149.8498
224.000000, 84.066, 152.4218
227.000000, 83.772, 154.4319
230.000000, 83.492, 156.4914
233.000000, 83.215, 158.6277
236.000000, 82.933, 160.9526
240.000000, 82.581, 164.1936
243.000000, 82.357, 166.7762
247.000000, 82.117, 170.2704
250.000000, 81.953, 172.7199
254.000000, 81.736, 175.8675
258.000000, 81.524, 179.1592
262.000000, 81.317, -177.4169
265.000000, 81.162, -174.7306
269.000000, 80.980, -170.9359
272.000000, 80.881, -167.9797
276.000000, 80.799, -163.9117
280.000000, 80.757, -159.7267
285.000000, 80.760, -154.5568
290.000000, 80.816, -149.4248
295.000000, 80.949, -144.5478
300.000000, 81.149, -139.8647
304.000000, 81.361, -136.2775
307.000000, 81.543, -133.7634
311.000000, 81.805, -130.6327
315.000000, 82.076, -127.7487
320.000000, 82.429, -124.4638
325.000000, 82.790, -121.5481
330.000000, 83.143, -118.9249
335.000000, 83.480, -116.5252
340.000000, 83.810, -114.2027
345.000000, 84.137, -111.9921
350.000000, 84.468, -109.9008
355.000000, 84.814, -107.9940
360.000000, 85.166, -106.2890
365.000000, 85.502, -104.7276
370.000000, 85.829, -103.3192
375.000000, 86.162, -102.1035
382.000000, 86.616, -100.6443
387.000000, 86.920, -99.7640
395.000000, 87.379, -98.4897
400.000000, 87.657, -97.7756
406.000000, 87.989, -97.0840
412.000000, 88.307, -96.5958
418.000000, 88.600, -96.3264
425.000000, 88.903, -96.1767
431.000000, 89.127, -96.1611
437.000000, 89.308, -96.1928
444.000000, 89.462, -96.1677
450.000000, 89.549, -95.9763
455.000000, 89.597, -95.5915
462.000000, 89.654, -94.6028
468.000000, 89.733, -93.4173
475.000000, 89.893, -91.8243
482.000000, 90.117, -90.2887
487.000000, 90.298, -89.3409
494.000000, 90.565, -88.2292
500.000000, 90.795, -87.4490
508.000000, 91.102, -86.5710
515.000000, 91.368, -85.9323
522.000000, 91.626, -85.4354
530.000000, 91.913, -84.9987
538.000000, 92.197, -84.6763
545.000000, 92.435, -84.5019
552.000000, 92.661, -84.4001
560.000000, 92.910, -84.3748
570.000000, 93.200, -84.5102
580.000000, 93.455, -84.7812
590.000000, 93.673, -85.0728
600.000000, 93.862, -85.2941
608.000000, 94.008, -85.3758
615.000000, 94.142, -85.4845
622.000000, 94.267, -85.7132
630.000000, 94.387, -86.0490
640.000000, 94.512, -86.4293
650.000000, 94.619, -86.7421
660.000000, 94.708, -87.0422
670.000000, 94.778, -87.3174
680.000000, 94.831, -87.5350
690.000000, 94.869, -87.6703
700.000000, 94.899, -87.7010
710.000000, 94.927, -87.6285
720.000000, 94.958, -87.4996
730.000000, 94.992, -87.3612
740.000000, 95.022, -87.2220
750.000000, 95.047, -87.0694
762.000000, 95.073, -86.8540
775.000000, 95.096, -86.6132
788.000000, 95.113, -86.3634
800.000000, 95.121, -86.1352
812.000000, 95.119, -85.8876
825.000000, 95.113, -85.5862
838.000000, 95.106, -85.2890
850.000000, 95.088, -85.0416
862.000000, 95.057, -84.7646
875.000000, 95.012, -84.4173
885.000000, 94.971, -84.1252
900.000000, 94.898, -83.6187
912.000000, 94.836, -83.1649
925.000000, 94.763, -82.6335
938.000000, 94.681, -82.0480
950.000000, 94.600, -81.4580
962.000000, 94.514, -80.8108
975.000000, 94.414, -80.0613
988.000000, 94.309, -79.2481
1000.000000, 94.207, -78.4274
1015.000000, 94.077, -77.2974
1030.000000, 93.946, -76.0586
1044.000000, 93.825, -74.7858
1060.000000, 93.698, -73.1904
