* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -36.3 dBFS, measurement signal peak level -36.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -26.9 dBFS using an acoustic timing reference
* Dated: Apr 13, 2025 3:44:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0184 ms (-6.3 mm, -0.25 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.7 ppm
* Measurement: L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 47.412, -34.3739
1.015000, 47.448, -30.4752
1.030000, 47.496, -27.0192
1.044000, 47.551, -24.1415
1.060000, 47.627, -21.2090
1.075000, 47.709, -18.7579
1.090000, 47.804, -16.5524
1.106000, 47.921, -14.4103
1.120000, 48.046, -12.6524
1.138000, 48.240, -10.5070
1.150000, 48.390, -9.1404
1.172000, 48.701, -6.8465
1.180000, 48.826, -6.1417
1.206000, 49.265, -3.9667
1.220000, 49.521, -2.8684
1.241000, 49.925, -1.3089
1.250000, 50.105, -0.6710
1.265000, 50.412, 0.3536
1.280000, 50.725, 1.3325
1.315000, 51.469, 3.4510
1.320000, 51.576, 3.7358
1.340000, 52.001, 4.8333
1.360000, 52.419, 5.8708
1.380000, 52.824, 6.7200
1.400000, 53.212, 7.4630
1.430000, 53.751, 8.4772
1.450000, 54.076, 9.0911
1.475000, 54.441, 9.8094
1.500000, 54.779, 10.5176
1.525000, 55.098, 11.2321
1.550000, 55.402, 11.9485
1.575000, 55.692, 12.5891
1.600000, 55.969, 13.0911
1.625000, 56.236, 13.5802
1.650000, 56.493, 14.0523
1.675000, 56.743, 14.5041
1.700000, 56.986, 14.9329
1.725000, 57.225, 15.3361
1.750000, 57.461, 15.7124
1.775000, 57.695, 16.0068
1.800000, 57.929, 16.1670
1.825000, 58.164, 16.3014
1.850000, 58.398, 16.4183
1.875000, 58.628, 16.5341
1.900000, 58.852, 16.6537
1.925000, 59.072, 16.7770
1.950000, 59.288, 16.9042
1.975000, 59.499, 16.9828
2.000000, 59.707, 16.9626
2.030000, 59.951, 16.9413
2.060000, 60.191, 16.9148
2.090000, 60.428, 16.8807
2.120000, 60.661, 16.8368
2.140000, 60.815, 16.8007
2.180000, 61.121, 16.6583
2.200000, 61.272, 16.5298
2.240000, 61.570, 16.2681
2.270000, 61.789, 16.0748
2.300000, 62.005, 15.8858
2.330000, 62.216, 15.7017
2.360000, 62.424, 15.5211
2.400000, 62.697, 15.1678
2.430000, 62.899, 14.8901
2.470000, 63.164, 14.5236
2.500000, 63.361, 14.2504
2.540000, 63.620, 13.8865
2.580000, 63.877, 13.4824
2.620000, 64.129, 13.0002
2.650000, 64.315, 12.6453
2.690000, 64.559, 12.1801
2.720000, 64.740, 11.8382
