* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -36.5 dBFS, measurement signal peak level -36.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -26.9 dBFS using an acoustic timing reference
* Dated: Apr 13, 2025 3:46:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0523 ms (-18 mm, -0.71 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.7 ppm
* Measurement: L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 46.753, -2.8960
1.015000, 47.090, -2.1348
1.030000, 47.416, -1.4056
1.044000, 47.707, -0.7531
1.060000, 48.021, -0.0392
1.075000, 48.296, 0.6007
1.090000, 48.550, 1.2155
1.106000, 48.799, 1.8594
1.120000, 49.005, 2.4366
1.138000, 49.259, 3.2098
1.150000, 49.422, 3.7424
1.172000, 49.711, 4.6547
1.180000, 49.812, 4.9000
1.206000, 50.132, 5.7197
1.220000, 50.297, 6.1667
1.241000, 50.538, 6.8392
1.250000, 50.638, 7.1268
1.265000, 50.803, 7.6041
1.280000, 50.965, 8.0773
1.315000, 51.333, 9.1586
1.320000, 51.385, 9.3099
1.340000, 51.590, 9.9060
1.360000, 51.794, 10.4906
1.380000, 51.998, 10.9307
1.400000, 52.203, 11.3044
1.430000, 52.513, 11.8328
1.450000, 52.724, 12.1643
1.475000, 52.992, 12.5739
1.500000, 53.260, 13.0207
1.525000, 53.525, 13.5150
1.550000, 53.788, 14.0452
1.575000, 54.049, 14.5266
1.600000, 54.307, 14.8914
1.625000, 54.563, 15.2601
1.650000, 54.818, 15.6252
1.675000, 55.071, 15.9802
1.700000, 55.322, 16.3198
1.725000, 55.573, 16.6401
1.750000, 55.822, 16.9380
1.775000, 56.070, 17.1579
1.800000, 56.318, 17.2476
1.825000, 56.566, 17.3174
1.850000, 56.813, 17.3854
1.875000, 57.059, 17.4775
1.900000, 57.304, 17.5969
1.925000, 57.549, 17.7372
1.950000, 57.792, 17.8931
1.975000, 58.034, 18.0067
2.000000, 58.275, 18.0241
2.030000, 58.562, 18.0459
2.060000, 58.848, 18.0560
2.090000, 59.131, 18.0482
2.120000, 59.413, 18.0172
2.140000, 59.599, 17.9814
2.180000, 59.969, 17.8199
2.200000, 60.153, 17.6761
2.240000, 60.517, 17.3999
2.270000, 60.788, 17.2177
2.300000, 61.057, 17.0540
2.330000, 61.325, 16.9027
2.360000, 61.590, 16.7570
2.400000, 61.940, 16.4439
2.430000, 62.200, 16.1862
2.470000, 62.543, 15.8259
2.500000, 62.797, 15.5382
2.540000, 63.132, 15.1264
2.580000, 63.463, 14.6498
2.620000, 63.789, 14.0959
2.650000, 64.032, 13.6942
2.690000, 64.351, 13.1727
2.720000, 64.588, 12.7897
2.760000, 64.900, 12.2885
2.800000, 65.207, 11.6992
2.850000, 65.585, 10.9414
2.900000, 65.954, 10.1656
2.950000, 66.316, 9.3691
3.000000, 66.670, 8.4985
3.040000, 66.947, 7.7836
3.070000, 67.152, 7.2535
3.110000, 67.421, 6.5559
3.150000, 67.685, 5.8679
3.200000, 68.009, 4.9624
3.250000, 68.325, 4.0383
3.300000, 68.634, 3.1168
3.350000, 68.935, 2.1944
3.400000, 69.228, 1.2150
3.450000, 69.514, 0.2220
3.500000, 69.793, -0.7518
3.550000, 70.064, -1.7002
3.600000, 70.329, -2.6681
3.650000, 70.587, -3.6310
3.700000, 70.838, -4.5804
3.750000, 71.082, -5.5268
3.820000, 71.411, -6.8977
3.870000, 71.638, -7.8659
3.950000, 71.989, -9.3503
4.000000, 72.202, -10.2649
4.060000, 72.450, -11.3406
4.120000, 72.689, -12.3940
4.180000, 72.920, -13.4370
4.250000, 73.179, -14.6615
4.310000, 73.395, -15.6586
4.370000, 73.606, -16.6050
4.440000, 73.845, -17.6897
4.500000, 74.043, -18.5836
4.550000, 74.204, -19.3038
4.620000, 74.423, -20.3063
4.680000, 74.608, -21.1283
4.750000, 74.821, -22.0258
4.820000, 75.031, -22.8937
4.870000, 75.178, -23.4878
4.940000, 75.382, -24.2791
5.000000, 75.555, -24.9431
5.080000, 75.785, -25.7999
5.150000, 75.986, -26.5057
5.220000, 76.188, -27.1926
5.300000, 76.418, -27.9413
5.380000, 76.648, -28.6632
5.450000, 76.850, -29.3068
5.520000, 77.054, -29.9382
5.600000, 77.288, -30.6505
5.700000, 77.582, -31.5387
5.800000, 77.875, -32.4385
5.900000, 78.167, -33.3824
6.000000, 78.458, -34.3448
6.080000, 78.690, -35.1382
6.150000, 78.890, -35.8406
6.220000, 79.086, -36.5739
6.300000, 79.307, -37.4342
6.400000, 79.577, -38.5374
6.500000, 79.840, -39.6707
6.600000, 80.092, -40.8194
6.700000, 80.333, -42.0005
6.800000, 80.565, -43.1970
6.900000, 80.786, -44.3976
7.000000, 80.996, -45.5862
7.100000, 81.194, -46.7808
7.200000, 81.383, -47.9635
7.300000, 81.561, -49.1229
7.400000, 81.730, -50.2486
7.500000, 81.890, -51.3562
7.620000, 82.071, -52.6423
7.750000, 82.258, -53.9677
7.880000, 82.435, -55.2387
8.000000, 82.591, -56.3564
8.120000, 82.744, -57.4240
8.250000, 82.904, -58.5280
8.380000, 83.062, -59.5854
8.500000, 83.206, -60.5291
8.620000, 83.348, -61.4414
8.750000, 83.501, -62.4047
8.850000, 83.617, -63.1358
