* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.5 dBFS, measurement signal peak level -34.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -26.9 dBFS using an acoustic timing reference
* Dated: Apr 13, 2025 3:40:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0162 ms (-5.6 mm, -0.22 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.6 ppm
* Measurement: R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.672, 57.0876
1.015000, 48.578, 57.3111
1.030000, 48.493, 57.4735
1.044000, 48.425, 57.5681
1.060000, 48.361, 57.6070
1.075000, 48.315, 57.5753
1.090000, 48.284, 57.4796
1.106000, 48.267, 57.3265
1.120000, 48.264, 57.1839
1.138000, 48.274, 57.0135
1.150000, 48.289, 56.9097
1.172000, 48.332, 56.6464
1.180000, 48.353, 56.4624
1.206000, 48.437, 55.8840
1.220000, 48.493, 55.5775
1.241000, 48.588, 55.1193
1.250000, 48.633, 54.9223
1.265000, 48.714, 54.5912
1.280000, 48.800, 54.2550
1.315000, 49.022, 53.4399
1.320000, 49.056, 53.3190
1.340000, 49.196, 52.8217
1.360000, 49.342, 52.3042
1.380000, 49.494, 51.6318
1.400000, 49.649, 50.8810
1.430000, 49.887, 49.6972
1.450000, 50.048, 48.8702
1.475000, 50.253, 47.8235
1.500000, 50.471, 46.8391
1.525000, 50.703, 45.9498
1.550000, 50.950, 45.1501
1.575000, 51.209, 44.3564
1.600000, 51.479, 43.4989
1.625000, 51.757, 42.6951
1.650000, 52.043, 41.9330
1.675000, 52.333, 41.2017
1.700000, 52.627, 40.4910
1.725000, 52.922, 39.7922
1.750000, 53.217, 39.0979
1.775000, 53.510, 38.3482
1.800000, 53.799, 37.4874
1.825000, 54.084, 36.6240
1.850000, 54.367, 35.7809
1.875000, 54.651, 34.9939
1.900000, 54.938, 34.2713
1.925000, 55.227, 33.6083
1.950000, 55.518, 32.9990
1.975000, 55.810, 32.3845
2.000000, 56.103, 31.7089
2.030000, 56.453, 30.9425
2.060000, 56.802, 30.2077
2.090000, 57.148, 29.4939
2.120000, 57.490, 28.7914
2.140000, 57.716, 28.3253
2.180000, 58.158, 27.3386
2.200000, 58.375, 26.7977
2.240000, 58.804, 25.7551
2.270000, 59.122, 25.0246
2.300000, 59.437, 24.3381
2.330000, 59.748, 23.6910
2.360000, 60.056, 23.0771
2.400000, 60.462, 22.1824
2.430000, 60.761, 21.5197
2.470000, 61.155, 20.6592
2.500000, 61.445, 20.0242
2.540000, 61.826, 19.1834
2.580000, 62.198, 18.3089
2.620000, 62.564, 17.3776
2.650000, 62.833, 16.7049
2.690000, 63.186, 15.8415
2.720000, 63.446, 15.2183
2.760000, 63.786, 14.4206
2.800000, 64.120, 13.5633
2.850000, 64.528, 12.5114
2.900000, 64.926, 11.4867
2.950000, 65.314, 10.4798
3.000000, 65.690, 9.4217
3.040000, 65.983, 8.5697
3.070000, 66.199, 7.9454
3.110000, 66.480, 7.1344
3.150000, 66.756, 6.3486
3.200000, 67.092, 5.3442
3.250000, 67.420, 4.3490
3.300000, 67.740, 3.3838
3.350000, 68.051, 2.4392
3.400000, 68.352, 1.4526
3.450000, 68.645, 0.4654
3.500000, 68.929, -0.4906
3.550000, 69.206, -1.4089
3.600000, 69.476, -2.3339
3.650000, 69.739, -3.2401
3.700000, 69.996, -4.1176
3.750000, 70.245, -4.9780
3.820000, 70.581, -6.2117
3.870000, 70.814, -7.0751
3.950000, 71.175, -8.3874
4.000000, 71.395, -9.1939
4.060000, 71.653, -10.1356
4.120000, 71.903, -11.0437
4.180000, 72.145, -11.9333
4.250000, 72.420, -12.9799
4.310000, 72.650, -13.8340
4.370000, 72.877, -14.6515
4.440000, 73.136, -15.5992
4.500000, 73.353, -16.3775
4.550000, 73.531, -17.0038
4.620000, 73.775, -17.8868
4.680000, 73.981, -18.6250
4.750000, 74.219, -19.4539
4.820000, 74.455, -20.2812
4.870000, 74.622, -20.8580
4.940000, 74.853, -21.6408
5.000000, 75.048, -22.3146
5.080000, 75.306, -23.2142
5.150000, 75.530, -23.9893
5.220000, 75.752, -24.7742
5.300000, 76.002, -25.6628
5.380000, 76.250, -26.5458
5.450000, 76.463, -27.3434
5.520000, 76.674, -28.1425
5.600000, 76.911, -29.0695
5.700000, 77.202, -30.2480
5.800000, 77.485, -31.4354
5.900000, 77.759, -32.6527
6.000000, 78.025, -33.8899
6.080000, 78.230, -34.8973
6.150000, 78.405, -35.7705
6.220000, 78.574, -36.6532
6.300000, 78.761, -37.6631
6.400000, 78.984, -38.9317
6.500000, 79.198, -40.1975
6.600000, 79.400, -41.4326
6.700000, 79.593, -42.6553
6.800000, 79.775, -43.8582
6.900000, 79.948, -45.0321
7.000000, 80.115, -46.1566
7.100000, 80.274, -47.2495
7.200000, 80.427, -48.3034
7.300000, 80.575, -49.3181
7.400000, 80.721, -50.2819
7.500000, 80.863, -51.2089
7.620000, 81.032, -52.2740
7.750000, 81.216, -53.3752
7.880000, 81.400, -54.4317
8.000000, 81.571, -55.3766
8.120000, 81.744, -56.3123
8.250000, 81.933, -57.3142
8.380000, 82.123, -58.3155
8.500000, 82.297, -59.2561
8.620000, 82.471, -60.2067
8.750000, 82.657, -61.2497
8.850000, 82.796, -62.0671
9.000000, 82.998, -63.3074
9.120000, 83.154, -64.3051
9.250000, 83.315, -65.3858
9.380000, 83.470, -66.4615
9.500000, 83.606, -67.4418
9.620000, 83.737, -68.3994
9.750000, 83.871, -69.4144
9.880000, 83.993, -70.4001
10.000000, 84.093, -71.2742
10.150000, 84.202, -72.3511
10.300000, 84.303, -73.3786
10.440000, 84.392, -74.2952
10.600000, 84.492, -75.3045
10.750000, 84.588, -76.2218
10.900000, 84.687, -77.1169
11.060000, 84.792, -78.0745
11.200000, 84.883, -78.9279
11.380000, 84.996, -80.0136
11.500000, 85.069, -80.7313
11.720000, 85.199, -82.0271
11.800000, 85.245, -82.4899
12.060000, 85.392, -83.9715
12.200000, 85.469, -84.7645
12.410000, 85.583, -85.9174
12.500000, 85.631, -86.3983
12.650000, 85.709, -87.1835
12.800000, 85.786, -87.9525
13.150000, 85.961, -89.7277
13.200000, 85.985, -89.9828
13.400000, 86.083, -90.9966
13.600000, 86.176, -91.9973
13.800000, 86.266, -92.9806
14.000000, 86.349, -93.9376
14.300000, 86.464, -95.3378
14.500000, 86.538, -96.2166
14.750000, 86.630, -97.2570
15.000000, 86.727, -98.2519
15.250000, 86.834, -99.2572
15.500000, 86.947, -100.2799
15.750000, 87.059, -101.3376
16.000000, 87.165, -102.4337
16.250000, 87.262, -103.5703
16.500000, 87.347, -104.6987
16.750000, 87.423, -105.7882
17.000000, 87.495, -106.8227
17.250000, 87.569, -107.8175
17.500000, 87.646, -108.7766
17.750000, 87.727, -109.7298
18.000000, 87.811, -110.7067
18.250000, 87.893, -111.7359
18.500000, 87.967, -112.8023
18.750000, 88.030, -113.8818
19.000000, 88.080, -114.9420
19.250000, 88.119, -115.9597
19.500000, 88.151, -116.8989
19.750000, 88.181, -117.7526
20.000000, 88.214, -118.5335
20.299999, 88.261, -119.4268
20.600000, 88.317, -120.3075
20.900000, 88.377, -121.2148
21.200001, 88.432, -122.1691
21.400000, 88.464, -122.8232
21.799999, 88.513, -124.1316
22.000000, 88.530, -124.7701
22.400000, 88.554, -126.0002
22.700001, 88.566, -126.8672
23.000000, 88.577, -127.6940
23.299999, 88.587, -128.4995
23.600000, 88.597, -129.2919
24.000000, 88.612, -130.3560
24.299999, 88.621, -131.1858
24.700001, 88.623, -132.3398
25.000000, 88.611, -133.2283
25.400000, 88.571, -134.3969
25.799999, 88.506, -135.4485
26.200001, 88.427, -136.3170
26.500000, 88.369, -136.8490
26.900000, 88.305, -137.4547
27.200001, 88.265, -137.8892
27.600000, 88.212, -138.4864
28.000000, 88.146, -139.0729
28.500000, 88.035, -139.6420
29.000000, 87.911, -139.8412
29.500000, 87.811, -139.6377
30.000000, 87.763, -139.1506
30.400000, 87.767, -138.6785
30.700001, 87.796, -138.3317
31.100000, 87.869, -137.9548
31.500000, 87.974, -137.7662
32.000000, 88.126, -137.8932
32.500000, 88.266, -138.4218
33.000000, 88.368, -139.2021
33.500000, 88.430, -140.0584
34.000000, 88.466, -140.8883
34.500000, 88.484, -141.6797
35.000000, 88.486, -142.4227
35.500000, 88.473, -143.0862
36.000000, 88.453, -143.6551
36.500000, 88.434, -144.1825
37.000000, 88.408, -144.7177
37.500000, 88.359, -145.2113
38.200001, 88.263, -145.5563
38.700001, 88.216, -145.5181
39.500000, 88.219, -145.5258
40.000000, 88.225, -145.7981
40.599998, 88.193, -146.1656
41.200001, 88.154, -146.3367
41.799999, 88.147, -146.5479
42.500000, 88.111, -147.1467
43.099998, 87.996, -147.4625
43.700001, 87.878, -147.0871
44.400002, 87.864, -146.2974
45.000000, 87.903, -146.0395
45.500000, 87.895, -145.9678
46.200001, 87.848, -145.3515
46.799999, 87.876, -144.3670
47.500000, 87.997, -143.4148
48.200001, 88.122, -142.7671
48.700001, 88.212, -142.2713
49.400002, 88.375, -141.5807
50.000000, 88.540, -141.2124
50.799999, 88.747, -141.0247
51.500000, 88.919, -140.9640
52.200001, 89.097, -141.0207
53.000000, 89.298, -141.3000
53.799999, 89.488, -141.7628
54.500000, 89.644, -142.2754
55.200001, 89.795, -142.8858
56.000000, 89.955, -143.7239
57.000000, 90.120, -144.8655
58.000000, 90.272, -145.9965
59.000000, 90.407, -147.3245
60.000000, 90.490, -148.7149
60.799999, 90.538, -149.7242
61.500000, 90.577, -150.6114
62.200001, 90.602, -151.5271
63.000000, 90.610, -152.5267
64.000000, 90.602, -153.6308
65.000000, 90.578, -154.5699
66.000000, 90.547, -155.2189
67.000000, 90.543, -155.6288
68.000000, 90.564, -155.9983
69.000000, 90.607, -156.3881
70.000000, 90.668, -156.9819
71.000000, 90.707, -157.7739
72.000000, 90.730, -158.5509
73.000000, 90.756, -159.3919
74.000000, 90.766, -160.3276
75.000000, 90.759, -161.2325
