* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.6 dBFS, measurement signal peak level -35.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -26.9 dBFS using an acoustic timing reference
* Dated: Apr 13, 2025 3:41:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.1196 ms (-41 mm, -1.62 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -50.1 ppm
* Measurement: R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 38.943, 21.2000
1.015000, 39.847, 21.3081
1.030000, 40.706, 21.3970
1.044000, 41.459, 21.4616
1.060000, 42.249, 21.5136
1.075000, 42.915, 21.5422
1.090000, 43.499, 21.5577
1.106000, 44.041, 21.5947
1.120000, 44.470, 21.6972
1.138000, 44.979, 21.9448
1.150000, 45.294, 22.1722
1.172000, 45.827, 22.5984
1.180000, 46.007, 22.6857
1.206000, 46.547, 23.0432
1.220000, 46.812, 23.2654
1.241000, 47.180, 23.6211
1.250000, 47.328, 23.7782
1.265000, 47.563, 24.0421
1.280000, 47.785, 24.3047
1.315000, 48.264, 24.8933
1.320000, 48.329, 24.9731
1.340000, 48.584, 25.2782
1.360000, 48.834, 25.5622
1.380000, 49.083, 25.6899
1.400000, 49.336, 25.7384
1.430000, 49.734, 25.7526
1.450000, 50.016, 25.7245
1.475000, 50.386, 25.6777
1.500000, 50.757, 25.6910
1.525000, 51.119, 25.7850
1.550000, 51.472, 25.9434
1.575000, 51.816, 26.0761
1.600000, 52.151, 26.1098
1.625000, 52.480, 26.1613
1.650000, 52.802, 26.2189
1.675000, 53.119, 26.2732
1.700000, 53.430, 26.3164
1.725000, 53.738, 26.3421
1.750000, 54.043, 26.3453
1.775000, 54.345, 26.2688
1.800000, 54.645, 26.0588
1.825000, 54.944, 25.8254
1.850000, 55.241, 25.5892
1.875000, 55.535, 25.3814
1.900000, 55.824, 25.2081
1.925000, 56.109, 25.0645
1.950000, 56.389, 24.9456
1.975000, 56.667, 24.7943
2.000000, 56.940, 24.5564
2.030000, 57.264, 24.2843
2.060000, 57.583, 24.0138
2.090000, 57.898, 23.7377
2.120000, 58.209, 23.4496
2.140000, 58.414, 23.2483
2.180000, 58.820, 22.7673
2.200000, 59.021, 22.4679
2.240000, 59.417, 21.8821
2.270000, 59.708, 21.4692
2.300000, 59.995, 21.0792
2.330000, 60.278, 20.7086
2.360000, 60.557, 20.3524
2.400000, 60.922, 19.7755
2.430000, 61.192, 19.3338
2.470000, 61.547, 18.7480
2.500000, 61.809, 18.3064
2.540000, 62.154, 17.7093
2.580000, 62.493, 17.0649
2.620000, 62.827, 16.3497
2.650000, 63.072, 15.8293
2.690000, 63.395, 15.1553
2.720000, 63.633, 14.6640
2.760000, 63.945, 14.0290
2.800000, 64.251, 13.3203
2.850000, 64.626, 12.4365
2.900000, 64.994, 11.5631
2.950000, 65.354, 10.6950
3.000000, 65.705, 9.7683
3.040000, 65.979, 9.0155
3.070000, 66.181, 8.4613
3.110000, 66.447, 7.7371
3.150000, 66.707, 7.0297
3.200000, 67.026, 6.1111
3.250000, 67.339, 5.1879
3.300000, 67.645, 4.2830
3.350000, 67.944, 3.3931
3.400000, 68.236, 2.4588
3.450000, 68.520, 1.5193
3.500000, 68.799, 0.6037
3.550000, 69.071, -0.2840
3.600000, 69.337, -1.1901
3.650000, 69.599, -2.0894
3.700000, 69.855, -2.9691
3.750000, 70.104, -3.8355
3.820000, 70.444, -5.0838
3.870000, 70.680, -5.9641
3.950000, 71.048, -7.3195
4.000000, 71.272, -8.1655
4.060000, 71.536, -9.1675
4.120000, 71.794, -10.1458
4.180000, 72.044, -11.1125
4.250000, 72.329, -12.2568
4.310000, 72.568, -13.2013
4.370000, 72.802, -14.1165
4.440000, 73.069, -15.1896
4.500000, 73.292, -16.0856
4.550000, 73.474, -16.8147
4.620000, 73.724, -17.8439
4.680000, 73.934, -18.7060
4.750000, 74.176, -19.6758
4.820000, 74.412, -20.6449
4.870000, 74.578, -21.3261
4.940000, 74.806, -22.2551
5.000000, 74.999, -23.0487
5.080000, 75.251, -24.0915
5.150000, 75.467, -24.9745
5.220000, 75.680, -25.8580
5.300000, 75.919, -26.8497
5.380000, 76.153, -27.8182
5.450000, 76.355, -28.6698
5.520000, 76.554, -29.5010
5.600000, 76.778, -30.4426
5.700000, 77.051, -31.6131
5.800000, 77.319, -32.7634
5.900000, 77.582, -33.9105
6.000000, 77.838, -35.0432
6.080000, 78.039, -35.9508
6.150000, 78.212, -36.7315
6.220000, 78.382, -37.5188
6.300000, 78.572, -38.4121
6.400000, 78.805, -39.5225
6.500000, 79.032, -40.6334
6.600000, 79.253, -41.7329
6.700000, 79.468, -42.8348
6.800000, 79.677, -43.9291
6.900000, 79.879, -45.0207
7.000000, 80.076, -46.1000
7.100000, 80.266, -47.1798
7.200000, 80.450, -48.2487
7.300000, 80.628, -49.3091
7.400000, 80.799, -50.3545
7.500000, 80.965, -51.3953
7.620000, 81.155, -52.6229
7.750000, 81.353, -53.9213
7.880000, 81.541, -55.2001
8.000000, 81.707, -56.3468
8.120000, 81.866, -57.4615
8.250000, 82.031, -58.6365
8.380000, 82.190, -59.7707
8.500000, 82.333, -60.7813
8.620000, 82.471, -61.7571
8.750000, 82.618, -62.7784
8.850000, 82.729, -63.5408
9.000000, 82.894, -64.6430
9.120000, 83.025, -65.5006
9.250000, 83.167, -66.4089
9.380000, 83.309, -67.2961
9.500000, 83.441, -68.1110
9.620000, 83.573, -68.9218
9.750000, 83.716, -69.7999
9.880000, 83.851, -70.6882
10.000000, 83.964, -71.5153
10.150000, 84.093, -72.5861
10.300000, 84.212, -73.6668
10.440000, 84.313, -74.6854
10.600000, 84.422, -75.8525
10.750000, 84.519, -76.9454
10.900000, 84.611, -78.0310
11.060000, 84.701, -79.1833
11.200000, 84.773, -80.1943
11.380000, 84.857, -81.4494
11.500000, 84.909, -82.2541
11.720000, 84.998, -83.6584
11.800000, 85.030, -84.1443
12.060000, 85.136, -85.6526
12.200000, 85.195, -86.4390
12.410000, 85.287, -87.5656
12.500000, 85.327, -88.0335
12.650000, 85.395, -88.7967
12.800000, 85.464, -89.5455
13.150000, 85.628, -91.2895
13.200000, 85.652, -91.5419
13.400000, 85.746, -92.5499
13.600000, 85.840, -93.5546
13.800000, 85.932, -94.5553
14.000000, 86.020, -95.5504
14.300000, 86.143, -97.0573
14.500000, 86.218, -98.0447
14.750000, 86.306, -99.2535
15.000000, 86.388, -100.4309
15.250000, 86.468, -101.5958
15.500000, 86.543, -102.7191
15.750000, 86.612, -103.7974
16.000000, 86.679, -104.8331
16.250000, 86.743, -105.8563
16.500000, 86.808, -106.8594
16.750000, 86.872, -107.8581
17.000000, 86.935, -108.8677
17.250000, 86.995, -109.9071
17.500000, 87.048, -110.9583
17.750000, 87.091, -112.0050
18.000000, 87.124, -113.0306
18.250000, 87.148, -114.0305
18.500000, 87.168, -114.9846
18.750000, 87.185, -115.8953
19.000000, 87.203, -116.7757
19.250000, 87.223, -117.6579
19.500000, 87.240, -118.5428
19.750000, 87.252, -119.4345
20.000000, 87.254, -120.3238
20.299999, 87.242, -121.3709
20.600000, 87.213, -122.3381
20.900000, 87.171, -123.1872
21.200001, 87.121, -123.9084
21.400000, 87.086, -124.3179
21.799999, 87.014, -124.9753
22.000000, 86.978, -125.2275
22.400000, 86.901, -125.5729
22.700001, 86.843, -125.6490
23.000000, 86.790, -125.5425
23.299999, 86.754, -125.2655
23.600000, 86.742, -124.8554
24.000000, 86.773, -124.2299
24.299999, 86.824, -123.7991
24.700001, 86.912, -123.3318
25.000000, 86.983, -123.0473
25.400000, 87.079, -122.7067
25.799999, 87.183, -122.3615
26.200001, 87.303, -122.0439
26.500000, 87.404, -121.8650
26.900000, 87.546, -121.7355
27.200001, 87.653, -121.7173
27.600000, 87.794, -121.7579
28.000000, 87.938, -121.8370
28.500000, 88.136, -122.0263
29.000000, 88.360, -122.4342
29.500000, 88.592, -123.1818
30.000000, 88.809, -124.2642
30.400000, 88.959, -125.3107
30.700001, 89.057, -126.1547
31.100000, 89.171, -127.3168
31.500000, 89.270, -128.4972
32.000000, 89.379, -129.9944
32.500000, 89.472, -131.5574
33.000000, 89.539, -133.1977
33.500000, 89.567, -134.8575
34.000000, 89.556, -136.4220
34.500000, 89.518, -137.8242
35.000000, 89.464, -139.0858
35.500000, 89.391, -140.2626
36.000000, 89.287, -141.3154
36.500000, 89.153, -142.1062
37.000000, 89.015, -142.5348
37.500000, 88.910, -142.7016
38.200001, 88.824, -142.9354
38.700001, 88.769, -143.2317
39.500000, 88.659, -143.5788
40.000000, 88.612, -143.6414
40.599998, 88.591, -143.8165
41.200001, 88.556, -144.1813
41.799999, 88.479, -144.4102
42.500000, 88.399, -144.2078
43.099998, 88.377, -143.8921
43.700001, 88.361, -143.6154
44.400002, 88.333, -143.0822
45.000000, 88.343, -142.4200
45.500000, 88.376, -141.9257
46.200001, 88.411, -141.3316
46.799999, 88.433, -140.6065
47.500000, 88.527, -139.5589
48.200001, 88.690, -138.8573
48.700001, 88.805, -138.6245
49.400002, 88.953, -138.4026
50.000000, 89.098, -138.2701
50.799999, 89.311, -138.4255
51.500000, 89.481, -138.8454
52.200001, 89.635, -139.3648
53.000000, 89.803, -140.0767
53.799999, 89.953, -140.9549
54.500000, 90.062, -141.8318
55.200001, 90.145, -142.7783
56.000000, 90.203, -143.9123
57.000000, 90.200, -145.2178
58.000000, 90.141, -145.9278
59.000000, 90.133, -146.0419
60.000000, 90.199, -146.1138
60.799999, 90.287, -146.3153
61.500000, 90.376, -146.6712
62.200001, 90.457, -147.2013
63.000000, 90.528, -147.9292
64.000000, 90.583, -148.9009
65.000000, 90.605, -149.8102
66.000000, 90.617, -150.5658
67.000000, 90.632, -151.2610
68.000000, 90.649, -151.8381
69.000000, 90.694, -152.3868
70.000000, 90.745, -153.1193
71.000000, 90.775, -153.9019
72.000000, 90.798, -154.6514
73.000000, 90.815, -155.4507
74.000000, 90.820, -156.3195
75.000000, 90.805, -157.2266
76.199997, 90.766, -158.2713
77.500000, 90.713, -159.3172
78.800003, 90.648, -160.3350
80.000000, 90.568, -161.1904
81.199997, 90.476, -161.9097
82.500000, 90.375, -162.5671
83.800003, 90.268, -163.1532
85.000000, 90.167, -163.5578
86.199997, 90.077, -163.8497
87.500000, 89.990, -164.1131
88.500000, 89.925, -164.2728
90.000000, 89.839, -164.4659
91.199997, 89.774, -164.7140
92.500000, 89.694, -165.0678
93.800003, 89.600, -165.4844
95.000000, 89.498, -165.8499
96.199997, 89.383, -166.1571
97.500000, 89.240, -166.3682
98.800003, 89.086, -166.3603
100.000000, 88.943, -166.1777
101.500000, 88.770, -165.6952
103.000000, 88.632, -164.9753
104.400002, 88.531, -164.2854
106.000000, 88.429, -163.3327
107.500000, 88.382, -162.1234
109.000000, 88.414, -161.0033
110.599998, 88.488, -160.3082
112.000000, 88.543, -160.0431
113.800003, 88.596, -159.9598
115.000000, 88.615, -160.0279
117.199997, 88.621, -160.1485
118.000000, 88.618, -160.2104
120.599998, 88.556, -160.4322
122.000000, 88.508, -160.4209
124.099998, 88.435, -160.3747
125.000000, 88.404, -160.3158
126.500000, 88.353, -160.2025
128.000000, 88.293, -160.0354
131.500000, 88.143, -159.1533
132.000000, 88.125, -159.0042
134.000000, 88.062, -158.4150
136.000000, 88.017, -157.8349
138.000000, 87.986, -157.2824
140.000000, 87.956, -156.7297
143.000000, 87.914, -155.8847
145.000000, 87.884, -155.3348
147.500000, 87.845, -154.5670
150.000000, 87.806, -153.7801
152.500000, 87.772, -152.9376
155.000000, 87.759, -152.0343
157.500000, 87.764, -151.0247
160.000000, 87.784, -150.0017
162.500000, 87.809, -149.1512
165.000000, 87.834, -148.4044
167.500000, 87.872, -147.4777
170.000000, 87.916, -146.5813
172.500000, 87.954, -145.7563
175.000000, 88.005, -145.1347
177.500000, 88.044, -144.6233
180.000000, 88.058, -143.9668
182.500000, 88.072, -143.0933
185.000000, 88.121, -142.0770
187.500000, 88.214, -141.0580
190.000000, 88.328, -140.3221
192.500000, 88.428, -139.8792
195.000000, 88.518, -139.3846
197.500000, 88.587, -138.9051
200.000000, 88.640, -138.4779
203.000000, 88.765, -138.1496
206.000000, 88.916, -137.7729
209.000000, 88.984, -137.0617
212.000000, 89.017, -136.4842
214.000000, 89.064, -136.3176
218.000000, 89.203, -135.9003
220.000000, 89.263, -135.6153
224.000000, 89.370, -135.1813
227.000000, 89.457, -134.8981
230.000000, 89.542, -134.6139
233.000000, 89.623, -134.3766
236.000000, 89.699, -134.1826
240.000000, 89.794, -133.9497
243.000000, 89.868, -133.7711
247.000000, 89.965, -133.5505
250.000000, 90.029, -133.4120
254.000000, 90.102, -133.2467
258.000000, 90.168, -133.0881
262.000000, 90.234, -132.9509
265.000000, 90.285, -132.8346
269.000000, 90.347, -132.6124
272.000000, 90.393, -132.4644
276.000000, 90.455, -132.3262
280.000000, 90.509, -132.1485
285.000000, 90.565, -131.9104
290.000000, 90.618, -131.6793
295.000000, 90.663, -131.4258
300.000000, 90.704, -131.1065
304.000000, 90.740, -130.8231
307.000000, 90.768, -130.6055
311.000000, 90.804, -130.3162
315.000000, 90.838, -130.0303
320.000000, 90.878, -129.6346
325.000000, 90.916, -129.1803
330.000000, 90.954, -128.6945
335.000000, 90.989, -128.1541
340.000000, 91.025, -127.5263
345.000000, 91.071, -126.8011
350.000000, 91.134, -126.0130
355.000000, 91.227, -125.2135
360.000000, 91.350, -124.5294
365.000000, 91.489, -124.0591
370.000000, 91.621, -123.7975
375.000000, 91.735, -123.6636
382.000000, 91.865, -123.5518
387.000000, 91.943, -123.4784
395.000000, 92.049, -123.3458
400.000000, 92.108, -123.2557
406.000000, 92.171, -123.1564
412.000000, 92.229, -122.9888
418.000000, 92.290, -122.7862
425.000000, 92.360, -122.5484
431.000000, 92.423, -122.3559
437.000000, 92.486, -122.2068
444.000000, 92.551, -122.0948
450.000000, 92.598, -121.9871
455.000000, 92.634, -121.8647
462.000000, 92.684, -121.6884
468.000000, 92.723, -121.5451
475.000000, 92.767, -121.3805
482.000000, 92.812, -121.2329
487.000000, 92.841, -121.1364
494.000000, 92.877, -121.0021
500.000000, 92.901, -120.8775
508.000000, 92.926, -120.6714
515.000000, 92.946, -120.4509
522.000000, 92.966, -120.1988
530.000000, 92.988, -119.8738
538.000000, 93.012, -119.5382
545.000000, 93.035, -119.2741
552.000000, 93.056, -119.0062
560.000000, 93.078, -118.6805
570.000000, 93.101, -118.2649
580.000000, 93.118, -117.8168
590.000000, 93.138, -117.2772
600.000000, 93.166, -116.7416
608.000000, 93.184, -116.3707
615.000000, 93.193, -116.0601
622.000000, 93.196, -115.7276
630.000000, 93.196, -115.2897
640.000000, 93.197, -114.6606
650.000000, 93.205, -113.9733
660.000000, 93.224, -113.2502
670.000000, 93.259, -112.5498
680.000000, 93.298, -111.9253
690.000000, 93.337, -111.3535
700.000000, 93.372, -110.8354
710.000000, 93.399, -110.3187
720.000000, 93.422, -109.7873
730.000000, 93.446, -109.2587
740.000000, 93.467, -108.7392
750.000000, 93.485, -108.2148
762.000000, 93.503, -107.5701
775.000000, 93.518, -106.8773
788.000000, 93.527, -106.1730
800.000000, 93.532, -105.5062
812.000000, 93.534, -104.8409
825.000000, 93.530, -104.0733
838.000000, 93.525, -103.2446
850.000000, 93.519, -102.4357
862.000000, 93.513, -101.5920
875.000000, 93.504, -100.6245
885.000000, 93.501, -99.8068
900.000000, 93.519, -98.5332
912.000000, 93.547, -97.6024
925.000000, 93.575, -96.6659
938.000000, 93.595, -95.7016
950.000000, 93.614, -94.7637
962.000000, 93.639, -93.7920
975.000000, 93.672, -92.7387
988.000000, 93.714, -91.7033
1000.000000, 93.760, -90.7784
1015.000000, 93.825, -89.6907
1030.000000, 93.893, -88.6571
1044.000000, 93.962, -87.7430
1060.000000, 94.048, -86.7940
1075.000000, 94.133, -86.0677
1090.000000, 94.212, -85.5750
1106.000000, 94.261, -85.2552
1120.000000, 94.257, -84.9133
1138.000000, 94.215, -84.1388
1150.000000, 94.182, -83.4497
1172.000000, 94.116, -81.8245
1180.000000, 94.100, -81.0754
1206.000000, 94.136, -78.3792
1220.000000, 94.203, -77.0465
1241.000000, 94.331, -75.1935
1250.000000, 94.396, -74.4686
1265.000000, 94.505, -73.4013
1280.000000, 94.604, -72.4631
1315.000000, 94.792, -70.3521
1320.000000, 94.816, -70.0410
1340.000000, 94.902, -68.7629
1360.000000, 94.973, -67.4491
1380.000000, 95.048, -66.1218
1400.000000, 95.146, -64.7622
1430.000000, 95.327, -62.7317
1450.000000, 95.466, -61.4646
1475.000000, 95.651, -60.0187
1500.000000, 95.838, -58.7660
1525.000000, 96.011, -57.7089
1550.000000, 96.158, -56.7343
1575.000000, 96.290, -55.7458
1600.000000, 96.417, -54.7589
1625.000000, 96.545, -53.7557
1650.000000, 96.680, -52.7530
1675.000000, 96.825, -51.8153
1700.000000, 96.977, -50.9992
1725.000000, 97.129, -50.3383
1750.000000, 97.274, -49.8120
1775.000000, 97.416, -49.4035
1800.000000, 97.557, -49.1673
1825.000000, 97.687, -49.1833
1850.000000, 97.789, -49.4800
1875.000000, 97.846, -50.0203
1900.000000, 97.843, -50.7222
1925.000000, 97.772, -51.4900
1950.000000, 97.624, -52.2365
1975.000000, 97.391, -52.8080
2000.000000, 97.074, -52.9658
2030.000000, 96.611, -52.2830
2060.000000, 96.121, -50.4534
2090.000000, 95.679, -47.5285
2120.000000, 95.342, -43.7487
2140.000000, 95.193, -40.9323
2180.000000, 95.080, -35.0475
2200.000000, 95.108, -32.1512
2240.000000, 95.301, -26.7401
2270.000000, 95.541, -23.1588
2300.000000, 95.837, -20.0723
2330.000000, 96.167, -17.4725
2360.000000, 96.520, -15.3755
2400.000000, 96.979, -13.3812
2430.000000, 97.299, -12.2961
2470.000000, 97.700, -11.3302
2500.000000, 97.967, -10.9917
2540.000000, 98.251, -10.9279
2580.000000, 98.439, -10.9753
2620.000000, 98.571, -10.8531
2650.000000, 98.659, -10.6636
2690.000000, 98.773, -10.4200
2720.000000, 98.853, -10.3018
2760.000000, 98.948, -10.2876
2800.000000, 99.022, -10.4908
2850.000000, 99.062, -11.0191
2900.000000, 99.032, -11.7330
2950.000000, 98.936, -12.5933
3000.000000, 98.755, -13.6025
3040.000000, 98.529, -14.3529
3070.000000, 98.326, -14.7258
3110.000000, 98.061, -15.0397
3150.000000, 97.825, -15.7238
3200.000000, 97.435, -18.0844
3250.000000, 96.603, -22.0648
3300.000000, 94.907, -24.9048
3350.000000, 92.332, -17.7310
3400.000000, 91.138, 10.3495
3450.000000, 93.129, 29.6399
3500.000000, 95.085, 29.4673
3550.000000, 95.878, 23.9569
3600.000000, 95.826, 19.2965
3650.000000, 95.363, 17.0652
3700.000000, 94.769, 17.0099
3750.000000, 94.176, 18.4379
3820.000000, 93.390, 21.9157
3870.000000, 92.865, 25.3197
3950.000000, 92.164, 31.9886
4000.000000, 91.845, 36.5509
4060.000000, 91.606, 41.7789
4120.000000, 91.443, 45.8343
4180.000000, 91.137, 48.3685
4250.000000, 90.248, 50.9591
4310.000000, 88.917, 56.7026
4370.000000, 87.570, 70.7487
4440.000000, 87.688, 96.5774
4500.000000, 89.477, 112.4123
4550.000000, 91.102, 117.3870
4620.000000, 92.722, 117.8856
4680.000000, 93.488, 116.6993
4750.000000, 93.901, 115.9634
4820.000000, 94.048, 116.6993
4870.000000, 94.094, 118.1111
4940.000000, 94.184, 121.1347
5000.000000, 94.367, 124.1403
5080.000000, 94.673, 127.4215
5150.000000, 94.864, 130.1268
5220.000000, 95.053, 133.3422
5300.000000, 95.370, 137.2874
5380.000000, 95.807, 140.9812
5450.000000, 96.284, 143.7690
5520.000000, 96.860, 145.8854
5600.000000, 97.634, 146.9196
5700.000000, 98.608, 144.8558
5800.000000, 99.166, 138.8840
5900.000000, 98.955, 131.1362
6000.000000, 97.927, 124.9583
6080.000000, 96.716, 122.8300
6150.000000, 95.560, 123.2813
6220.000000, 94.427, 125.6446
6300.000000, 93.247, 130.2405
6400.000000, 92.040, 138.1281
6500.000000, 91.234, 147.1852
6600.000000, 90.782, 155.5831
6700.000000, 90.433, 162.7677
6800.000000, 90.065, 169.9221
6900.000000, 89.831, 177.7446
7000.000000, 89.857, -174.9011
7100.000000, 89.977, -169.3915
7200.000000, 89.928, -165.2213
7300.000000, 89.682, -160.7966
7400.000000, 89.363, -155.6880
7500.000000, 89.021, -150.0650
7620.000000, 88.603, -142.5271
7750.000000, 88.169, -132.9372
7880.000000, 87.896, -120.3468
8000.000000, 88.318, -107.5938
8120.000000, 89.317, -98.5118
8250.000000, 90.459, -94.0797
8380.000000, 91.137, -94.0488
8500.000000, 91.231, -95.0950
8620.000000, 90.822, -96.1348
8750.000000, 89.761, -93.6737
8850.000000, 89.065, -87.2274
9000.000000, 89.173, -77.3199
9120.000000, 89.747, -74.3099
9250.000000, 90.295, -76.3877
9380.000000, 90.126, -83.5192
9500.000000, 88.961, -90.5993
9620.000000, 87.175, -95.3772
9750.000000, 85.089, -100.3927
9880.000000, 82.810, -109.6344
10000.000000, 80.352, -126.4033
10150.000000, 77.974, -171.3520
10300.000000, 79.421, 143.7594
10440.000000, 82.345, 126.9061
10600.000000, 85.654, 119.8436
10750.000000, 88.766, 114.7481
10900.000000, 91.159, 104.7128
11060.000000, 92.209, 90.8514
11200.000000, 91.906, 80.8704
11380.000000, 90.714, 75.2832
11500.000000, 90.028, 74.9431
11720.000000, 88.984, 73.1021
11800.000000, 88.265, 72.0675
12060.000000, 84.264, 85.5088
12200.000000, 83.233, 111.9819
12410.000000, 85.791, 140.5070
12500.000000, 87.184, 143.8736
12650.000000, 89.123, 143.2762
12800.000000, 90.446, 137.5658
13150.000000, 90.808, 113.1221
13200.000000, 90.533, 108.7876
13400.000000, 88.485, 90.0008
13600.000000, 84.760, 69.0228
13800.000000, 79.358, 34.4066
14000.000000, 74.931, -71.9082
14300.000000, 78.250, -91.7884
14500.000000, 80.526, -95.1484
14750.000000, 81.829, -100.9535
15000.000000, 81.053, -106.2690
15250.000000, 78.288, -94.3108
15500.000000, 77.519, -66.5429
15750.000000, 78.286, -51.9948
16000.000000, 78.277, -43.2469
16250.000000, 76.943, -29.9468
16500.000000, 77.155, 13.3283
16750.000000, 81.621, 45.6276
17000.000000, 85.125, 45.8257
17250.000000, 86.098, 38.2291
17500.000000, 85.548, 36.4026
17750.000000, 84.917, 40.2524
18000.000000, 84.276, 45.7159
18250.000000, 83.397, 52.7893
18500.000000, 82.197, 61.6040
18750.000000, 80.508, 75.8588
19000.000000, 79.599, 106.3110
19250.000000, 81.812, 141.9568
19500.000000, 84.941, 155.0478
19750.000000, 87.079, 155.9535
20000.000000, 88.083, 152.8996
20300.000000, 87.980, 148.4707
20600.000000, 86.799, 146.8744
20900.000000, 85.082, 149.7243
21200.000000, 83.035, 155.4594
21400.000000, 81.363, 164.4075
21800.000000, 80.234, -170.9014
22000.000000, 79.900, -167.6851
22400.000000, 76.457, -139.1220
22700.000000, 77.385, -85.5053
23000.000000, 78.417, -72.8710
23300.000000, 75.682, -62.5735
23600.000000, 70.566, -28.9519
24000.000000, 64.119, -56.9027
