* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -31.1 dBFS, measurement signal peak level -31.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -21.6 dBFS using an acoustic timing reference
* Dated: Mar 10, 2025 9:13:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.0553 ms (-19 mm, -0.75 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT L with no timing offset
* Measurement: L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.690, 35.5107
1.015000, 45.362, 37.6562
1.030000, 45.052, 39.7084
1.044000, 44.782, 41.5275
1.060000, 44.498, 43.4784
1.075000, 44.257, 45.1712
1.090000, 44.043, 46.7267
1.106000, 43.843, 48.2625
1.120000, 43.689, 49.5623
1.138000, 43.515, 51.2115
1.150000, 43.413, 52.2950
1.172000, 43.255, 54.1199
1.180000, 43.206, 54.6480
1.206000, 43.078, 56.2816
1.220000, 43.027, 57.0940
1.241000, 42.972, 58.2106
1.250000, 42.956, 58.6484
1.265000, 42.940, 59.3197
1.280000, 42.935, 59.9137
1.315000, 42.963, 60.9743
1.320000, 42.971, 61.0863
1.340000, 43.013, 61.4293
1.360000, 43.069, 61.6023
1.380000, 43.136, 61.4246
1.400000, 43.213, 60.9889
1.430000, 43.344, 59.9511
1.450000, 43.439, 58.9939
1.475000, 43.569, 57.5411
1.500000, 43.724, 55.9534
1.525000, 43.908, 54.3338
1.550000, 44.120, 52.7210
1.575000, 44.356, 51.0433
1.600000, 44.615, 49.2378
1.625000, 44.892, 47.4748
1.650000, 45.187, 45.7517
1.675000, 45.495, 44.0627
1.700000, 45.815, 42.3996
1.725000, 46.142, 40.7534
1.750000, 46.476, 39.1154
1.775000, 46.812, 37.4148
1.800000, 47.149, 35.5858
1.825000, 47.485, 33.7588
1.850000, 47.827, 31.9771
1.875000, 48.182, 30.3099
1.900000, 48.552, 28.7827
1.925000, 48.935, 27.3938
1.950000, 49.328, 26.1354
1.975000, 49.729, 24.9338
2.000000, 50.135, 23.7170
2.030000, 50.625, 22.3762
2.060000, 51.114, 21.1351
2.090000, 51.598, 19.9707
2.120000, 52.073, 18.8618
2.140000, 52.382, 18.1442
2.180000, 52.978, 16.6800
2.200000, 53.264, 15.9058
2.240000, 53.821, 14.4309
2.270000, 54.229, 13.4138
2.300000, 54.631, 12.4761
2.330000, 55.026, 11.6133
2.360000, 55.414, 10.8178
2.400000, 55.920, 9.7094
2.430000, 56.290, 8.9170
2.470000, 56.773, 7.9228
2.500000, 57.126, 7.2131
2.540000, 57.584, 6.3001
2.580000, 58.027, 5.3677
2.620000, 58.455, 4.3722
