* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -29.2 dBFS, measurement signal peak level -29.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -21.6 dBFS using an acoustic timing reference
* Dated: Mar 10, 2025 9:09:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; E2x2 Delay -0.0552 ms (-19 mm, -0.74 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT R with no timing offset
* Measurement: R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.112, 24.5573
1.015000, 40.062, 23.1773
1.030000, 40.019, 21.9625
1.044000, 39.986, 20.9608
1.060000, 39.956, 19.9528
1.075000, 39.936, 19.1221
1.090000, 39.924, 18.3832
1.106000, 39.922, 17.6645
1.120000, 39.933, 17.0607
1.138000, 39.966, 16.3029
1.150000, 40.000, 15.8117
1.172000, 40.084, 14.8390
1.180000, 40.121, 14.3854
1.206000, 40.262, 12.9901
1.220000, 40.350, 12.2890
1.241000, 40.494, 11.3117
1.250000, 40.559, 10.9221
1.265000, 40.672, 10.3136
1.280000, 40.790, 9.7583
1.315000, 41.075, 8.6778
1.320000, 41.116, 8.5485
1.340000, 41.280, 8.0953
1.360000, 41.441, 7.7496
1.380000, 41.596, 7.3402
1.400000, 41.743, 6.9683
1.430000, 41.940, 6.5968
1.450000, 42.054, 6.4670
1.475000, 42.175, 6.4072
1.500000, 42.283, 6.3912
1.525000, 42.382, 6.3901
1.550000, 42.476, 6.4078
1.575000, 42.563, 6.3598
1.600000, 42.645, 6.1799
1.625000, 42.722, 6.0423
1.650000, 42.795, 5.9537
1.675000, 42.865, 5.9210
1.700000, 42.931, 5.9504
1.725000, 42.995, 6.0483
1.750000, 43.058, 6.2209
1.775000, 43.119, 6.4111
1.800000, 43.179, 6.5636
1.825000, 43.239, 6.8027
1.850000, 43.297, 7.1035
1.875000, 43.350, 7.4357
1.900000, 43.397, 7.7900
1.925000, 43.440, 8.1675
1.950000, 43.480, 8.5732
1.975000, 43.518, 8.9503
2.000000, 43.554, 9.2449
2.030000, 43.598, 9.6558
2.060000, 43.643, 10.1297
2.090000, 43.691, 10.6743
2.120000, 43.744, 11.2971
2.140000, 43.783, 11.7594
2.180000, 43.872, 12.7432
2.200000, 43.921, 13.2391
2.240000, 44.025, 14.3473
2.270000, 44.105, 15.2660
2.300000, 44.188, 16.2472
2.330000, 44.274, 17.2808
2.360000, 44.364, 18.3559
2.400000, 44.494, 19.6994
2.430000, 44.599, 20.7136
2.470000, 44.753, 22.0853
2.500000, 44.879, 23.1185
2.540000, 45.065, 24.4918
2.580000, 45.273, 25.8288
2.620000, 45.503, 27.1309
2.650000, 45.689, 28.1477
2.690000, 45.953, 29.5240
2.720000, 46.161, 30.5503
2.760000, 46.449, 31.8860
2.800000, 46.747, 33.0494
2.850000, 47.127, 34.3518
2.900000, 47.510, 35.4726
2.950000, 47.898, 36.4300
3.000000, 48.298, 37.2365
3.040000, 48.629, 37.8209
3.070000, 48.882, 38.2341
3.110000, 49.221, 38.7413
3.150000, 49.562, 39.1884
3.200000, 49.984, 39.5836
3.250000, 50.397, 39.8266
3.300000, 50.797, 39.9479
3.350000, 51.187, 39.9825
3.400000, 51.572, 39.8974
3.450000, 51.951, 39.7448
3.500000, 52.322, 39.5587
3.550000, 52.685, 39.3434
3.600000, 53.038, 39.0466
3.650000, 53.379, 38.6959
3.700000, 53.707, 38.3084
3.750000, 54.025, 37.8856
3.820000, 54.452, 37.1927
3.870000, 54.746, 36.6820
3.950000, 55.198, 35.8996
4.000000, 55.470, 35.4053
4.060000, 55.786, 34.8187
4.120000, 56.089, 34.2390
4.180000, 56.378, 33.6565
4.250000, 56.703, 32.9554
4.310000, 56.974, 32.4080
4.370000, 57.240, 31.9172
4.440000, 57.545, 31.3726
4.500000, 57.798, 30.9529
4.550000, 58.003, 30.6324
4.620000, 58.287, 30.1846
4.680000, 58.530, 29.8330
4.750000, 58.816, 29.4786
4.820000, 59.104, 29.1568
4.870000, 59.311, 28.9610
4.940000, 59.600, 28.7264
5.000000, 59.850, 28.5202
5.080000, 60.188, 28.2249
5.150000, 60.491, 27.9638
5.220000, 60.799, 27.6959
5.300000, 61.158, 27.3976
5.380000, 61.521, 27.0689
5.450000, 61.839, 26.6992
5.520000, 62.158, 26.2754
5.600000, 62.526, 25.7401
5.700000, 62.987, 24.9979
5.800000, 63.441, 24.1541
5.900000, 63.882, 23.1651
6.000000, 64.312, 22.0718
6.080000, 64.647, 21.1339
6.150000, 64.930, 20.2916
6.220000, 65.203, 19.4073
6.300000, 65.502, 18.3548
6.400000, 65.857, 16.9860
6.500000, 66.191, 15.5994
6.600000, 66.501, 14.2430
6.700000, 66.788, 12.8838
6.800000, 67.053, 11.5392
6.900000, 67.299, 10.2560
7.000000, 67.527, 9.0745
7.100000, 67.736, 7.9598
7.200000, 67.930, 6.9290
7.300000, 68.115, 6.0102
7.400000, 68.293, 5.2252
7.500000, 68.464, 4.5466
7.620000, 68.667, 3.8712
7.750000, 68.895, 3.3164
7.880000, 69.132, 2.9260
8.000000, 69.362, 2.6654
8.120000, 69.609, 2.4585
8.250000, 69.895, 2.2921
8.380000, 70.196, 2.1233
8.500000, 70.487, 1.9179
8.620000, 70.790, 1.6736
8.750000, 71.124, 1.3379
8.850000, 71.380, 1.0122
9.000000, 71.765, 0.4369
9.120000, 72.068, -0.0924
9.250000, 72.389, -0.7295
9.380000, 72.700, -1.4171
9.500000, 72.979, -2.0818
9.620000, 73.249, -2.7605
9.750000, 73.531, -3.5101
9.880000, 73.798, -4.2632
10.000000, 74.028, -4.9489
10.150000, 74.298, -5.8288
10.300000, 74.555, -6.6989
10.440000, 74.786, -7.5032
10.600000, 75.043, -8.4243
10.750000, 75.280, -9.2978
10.900000, 75.513, -10.1803
11.060000, 75.753, -11.1526
11.200000, 75.953, -12.0385
11.380000, 76.198, -13.1688
11.500000, 76.351, -13.9119
11.720000, 76.617, -15.2254
11.800000, 76.709, -15.6797
12.060000, 77.000, -17.0747
12.200000, 77.153, -17.7801
12.410000, 77.382, -18.7530
12.500000, 77.481, -19.1429
12.650000, 77.648, -19.7625
12.800000, 77.818, -20.3611
13.150000, 78.227, -21.7756
13.200000, 78.286, -21.9886
13.400000, 78.527, -22.8637
13.600000, 78.765, -23.7771
13.800000, 78.999, -24.7254
14.000000, 79.224, -25.6927
14.300000, 79.544, -27.1796
14.500000, 79.749, -28.1480
14.750000, 80.001, -29.3242
15.000000, 80.252, -30.4724
15.250000, 80.507, -31.6429
15.500000, 80.763, -32.8312
15.750000, 81.014, -34.0453
16.000000, 81.256, -35.2805
16.250000, 81.487, -36.5380
16.500000, 81.709, -37.7726
16.750000, 81.925, -38.9682
17.000000, 82.142, -40.1312
17.250000, 82.361, -41.2988
17.500000, 82.583, -42.4866
17.750000, 82.802, -43.7214
18.000000, 83.014, -45.0149
18.250000, 83.212, -46.3696
18.500000, 83.390, -47.7400
18.750000, 83.550, -49.0831
